id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q109065587,David Sangulia,male,1980-08-04,11,,,,
Q110969212,Aslan Bartsits,male,,,,,,
Q110969349,Oleg Arshba,male,,,,,,
Q110974709,Vladimir Anua,male,1957,9,,,,
Q110974746,Beslan Kvicinija,,,,,,,
Q110974753,Jansuch Nanba,,,,,,,
Q110974755,Roman Šoua,,,,,,,
Q110974776,Astamur Kecba,,,,,,,
Q110974800,Zurab Maršanija,,,,,,,
Q110974834,Ramin Gablaia,male,,,,,,
Q110974847,Abesalom Beia,male,,,,,,
Q110974999,Tamaz Tsakhnakia,,,,,,,
Q1359023,Raul Khadjimba,male,1958-03-21,11,,,Raul Khajimba 2015.jpg,Raul Khajimba
Q15637429,Leonid Enik,male,1960-06-02,11,,,,Leonid Enik
Q15830732,Bezhan Ubiria,male,1967-03-07,11,,,,
Q18043980,Inal Ardzinba,male,1990-07-26,11,,,2022 Inal Ardzinba.jpg,Inal Ardzinba
Q18201796,Vitali Gabnia,male,1968-06-12,11,,,,Vitali Gabnia
Q19667703,Artur Mikvabia,male,1949-05-02,11,,,,Artur Mikvabia
Q19918209,Andzor Goov,male,1961-01-13,11,,,,Andzor Goov
Q21097107,Vladimir Zantariya,male,1953-09-27,11,,,,Vladimir Zantaria
Q21141558,Beslan Khagba,male,1956-05-23,11,,,,Beslan Khagba
Q21572779,Elvira Arsalia,female,1978,9,,,Эльвира Анатольевна Арсалия 08.jpg,Elvira Arsalia
Q21933463,Adgur Kakoba,male,1965-11-24,11,,,,Adgur Kakoba
Q21933471,Rafik Otyrba,male,,,,,,Rafik Otyrba
Q21933571,Diana Pilia,female,1967,9,,,,Diana Pilia
Q21933592,Raul Lolua,male,,,,,,Raul Lolua
Q21933618,Leila Dzyba,male,,,,,,Leila Dzyba
Q21933744,Amra Kvarandzia,male,,,,,,Amra Kvarandzia
Q21933830,Astamur Tania,male,,,,,,Astamur Tania
Q21933959,Suren Kerselyan,male,1956,9,,,,Suren Kerselyan
Q21933967,Dmitri Serikov,male,1976-11-29,11,,,,Dmitri Serikov
Q21933968,Mukhamed Kilba,male,,,,,,Mukhamed Kilba
Q21933987,Lev Kvitsinia,male,,,,,,Lev Kvitsinia
Q21933996,Nikolai Achba,male,,,,,,Nikolai Achba
Q21934028,Timur Eshba,male,,,,,,Timur Eshba
Q21934045,Viktor Khilchevski,male,,,,,,Viktor Khilchevski
