id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q101094690,Bert Häggblom,male,1957-02-24,11,,,,
Q107724895,Roger Höglund,male,1964-06-22,11,,,,
Q2160390,Britt Lundberg,female,1963-04-19,11,,,Plenum toppmotet. Nordiska Radet session i Helsingfors 29.10.2012 (1).jpg,Britt Lundberg
Q2160820,Harry Jansson,male,1959-10-04,11,,,Harry Jansson BSPC 19 Mariehamn aland (cropped).jpg,
Q2269243,Katrin Sjögren,female,1966-02-02,11,,,Katrin Sjogren vid Nordiska Radets session pa Island 2010-11-04.jpg,Katrin Sjögren
Q2269671,Gun-Mari Lindholm,female,1962-03-29,11,,,Gun-Mari Lindholm at the 136th Plenary Session of the European Committee of the Regions (48874649746).jpg,Gun-Mari Lindholm
Q2270143,Barbro Sundback,female,1945-12-22,11,,,,
Q2270153,Gunnar Jansson,male,1944-06-25,11,,,Gunnarjansson.jpg,
Q2270164,Camilla Gunell,female,1970-09-07,11,,,Nordiska radets session i Helsingfors (7).jpg,Camilla Gunell
Q2356023,Lasse Wiklöf,male,1944-09-21,11,2008-08-23,11,Lasse Wiklöf.jpg,Lasse Wiklöf
Q2378990,Johan Ehn,male,1975-07-02,11,,,Johan Ehn talar vid Nordiska Radets session i Helsingfors 2008-10-27.jpg,Johan Ehn
Q3371504,Fredrik Karlström,male,1973-05-18,11,,,"Fredrik Karlstrom, alands delegation till Nordiska radet, talar vid sessionen i Stockholm 2009.jpg",
Q4353587,Ragnar Erlandsson,male,1941-09-21,11,,,,
Q4354530,Jörgen Strand,male,1962-03-15,11,,,,Jörgen Strand
Q4354820,Olof Erland,male,1944-02-16,11,2013-05-23,11,Oloferland2.jpg,Olof Erland
Q43861413,Annette Holmberg-Jansson,female,1969-03-11,11,,,,Annette Holmberg-Jansson
Q451038,Viveka Eriksson,female,1956-08-18,11,,,Viveka Eriksson.jpg,Viveka Eriksson
Q4532458,Sune Eriksson,male,1939-03-19,11,,,,Sune Eriksson
Q4982779,Veronica Thörnroos,female,1962-07-16,11,,,,Veronica Thörnroos
Q6086545,Alfons Röblom,male,1983-08-03,11,,,,
Q713308,Roger Nordlund,male,1957-11-19,11,,,"Roger Nordlund, alands landskapsregering.jpg",Roger Nordlund
Q85686346,Annika Hambrudd,female,1972,9,,,,
Q85686737,Christian Wikström,male,1987-02-10,11,,,,
