id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107039986,Abderrahmane Benguerrah,male,1955-11-08,11,,,,Abderrahmane Benguerrah
Q107447247,Ben Attou Ziane,male,1960-08-09,11,,,Ziane Benattou.jpg,
Q107447250,Laïd Rebigua,male,1973-12-28,11,,,,
Q107447253,Yacine Merabi,male,1966-08-07,11,,,Yacine merabi.jpg,
Q107447278,Wafa Chaâlal,female,1980-02-15,11,,,,
Q107447340,Abderezak Sebgag,male,1967-01-19,11,,,,Abderezak Sebgag
Q107447367,Karim Bibi Triki,male,1968-08-18,11,,,,Karim Bibi Triki
Q107447407,Ahmed Zeghdar,male,1966-04-17,11,,,,
Q107452336,Hocine Charhabil,male,,,,,,Hocine Cherhabil
Q107452340,Karim Hasni,male,,,,,,
Q107452345,Yacine Hammadi,male,,,,,,
Q107452346,Abderrahmane Lahfaya,male,1971-12-03,11,,,,
Q107452351,Samia Moualfi,female,1972-05-26,11,,,Samia Moualfi - Radio Algérienne.png,
Q107452352,Hicham Sofiane Salawatchi,male,1983-08-26,11,,,,
Q107464379,Ibrahim Boughali,male,1963-03-03,11,,,,Ibrahim Boughali
Q107693953,Tarek Belarbi,male,1972-02-20,11,,,,
Q108861195,Abdelatif Benachenhou,male,,7,,,,
Q108861201,Mourad Redjimi,male,,7,,,,
Q109649669,Mohamed Abdelhafid Henni,male,,,,,Mohamed Abdelhafid Henni - Radio Algérienne.png,
Q109650142,Rosthom Fadli,male,,,,,,
Q109650286,Mohamed Bouslimani,male,,,,,,
Q110953625,Soraya Mouloudji,female,1977-10-08,11,,,,Soraya Mouloudji
Q112032385,Mohamed Miraoui,male,,,,,,
Q112032400,Mokhtar Hazbellaoui,male,,,,,,
Q112032507,Mohamed Larbi Abdelmoumene,male,,,,,,
Q112134607,Abdallah Mongi,male,1964-02-06,11,,,,
Q112913805,Brahim Djamel Kessali,male,1954,9,,,,
Q113947618,Kamel Bidari,male,,,,,,
Q113947620,Abdelhak Saihi,male,,,,,,
Q113947621,Ali Aoun,male,,,,,,
Q113947623,Brahim Merad,male,,,,,,
Q113947624,Lakhdar Rakhroukh,male,,,,,,
Q12178421,أحسن طافر,male,1943,9,,,,
Q12222589,Abdelhamid Aberkane,male,1945-07-30,11,,,,
Q1398046,Mohammed Bedjaoui,male,1929-09-21,11,,,,Mohammed Bedjaoui
Q139873,Yazid Zerhouni,male,1937-09-05,11,2020-12-18,11,Yazid Zerhouni (cropped).jpg,Yazid Zerhouni
Q15613756,Nouria Benghabrit-Remaoun,female,1952-03-05,11,,,Nouria Benghabrit-Remaoun in Blida.JPG,Nouria Benghabrit-Remaoun
Q15714150,Chems Eddine Chitour,male,1944-10-13,11,,,Official Portrait Minister Chitour.jpg,Chems-Eddine Chitour
Q16020853,Abdelatif Baba Ahmed,male,1951-06-10,11,,,,
Q16855291,Mohamed Djellab,male,1951-03-07,11,,,,
Q18213891,Mohamed Aïssa,male,1963-09-08,11,,,,
Q19953017,Abderrahmane Benkhalfa,male,1949-07-02,11,2021-04-23,11,,Abderrahmane Benkhalfa
Q20109520,Noureddine Bedoui,male,1959-12-22,11,,,Noureddine Bedoui - 2018.jpg,Noureddine Bedoui
Q20109531,Abdelmalek Boudiaf,male,1955-05-24,11,,,Abdelmalek Boudiaf-IMG 3485.jpg,
Q20382373,Tayeb Louh,male,1951-07-17,11,,,,
Q20995417,Sid Ahmed Ferroukhi,male,1967-07-11,11,2022-06-17,11,Sid Ahmed Ferroukhi ministre de la Pêche et des Produits halieutiques 28-54 screenshot.png,Sid Ahmed Ferroukhi
Q21093010,Youcef Cherfa,male,1954,9,,,Youcef Chorfa - Radio Algérienne.png,
Q2130427,Ramtane Lamamra,male,1952-06-15,11,,,"Ramtane Lamamra, 2014.jpg",Ramtane Lamamra
