id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q10348943,Peter Johnstone,male,1944,9,,,,Peter Johnstone (diplomat)
Q105315161,Dileeni Daniel-Selvaratnam,female,,,,,Dileeni Daniel-Selvaratnam.jpg,Dileeni Daniel-Selvaratnam
Q106063294,David Carty,male,,7,,,,
Q107772272,Kyle Hodge,male,,,,,,
Q107772438,Haydn Hughes,male,1971-10-13,11,,,,
Q107772586,Kenneth Hodge,male,,,,,,
Q112973440,Leroy Rogers,,,,,,,
Q112973441,Terry Harrigan,,,,,,,
Q113158735,Quincia Gumbs-Marie,female,,,,,,
Q16105640,Robert Harris,male,1941,9,,,,Robert Harris (diplomat)
Q1754042,Hubert Hughes,male,1933-10-15,11,2021-05-07,11,Hubert Hughes (cropped).jpg,Hubert Hughes
Q19661213,Christina Scott,female,1974-12-25,11,,,Christina Scott.jpg,Christina Scott
Q19831099,Victor Banks,male,1947-11-08,11,,,Victor Banks 2015.jpg,Victor Banks
Q2282952,Osbourne Fleming,male,1940-02-18,11,,,Osbourne Fleming (cropped).jpg,Osbourne Fleming
Q39808026,Tim Foy,male,,,,,Tim Foy.jpg,Tim Foy
Q43044441,Evalie A. Bradley,female,1954-10-12,11,,,,Evalie A. Bradley
Q43284547,Barbara Webster-Bourne,female,,,,,,Barbara Webster-Bourne
Q4727292,Alistair Harrison,male,1954-11-14,11,,,Alistair Harrison.jpg,Alistair Harrison
Q5038504,Cardigan Connor,male,1961-03-24,11,,,,Cardigan Connor
Q55639564,Dee-Ann Kentish-Rogers,female,1993-01-13,11,,,"Dee-Ann Kentish-Rogers, Commonwealth Games 2014 - Athletics Day 4 (14821413683) (cropped).jpg",Dee-Ann Kentish-Rogers
Q56235949,Evans McNiel Rogers,male,,,,,,
Q56235950,Cora Richardson-Hodge,female,,,,,,Cora Richardson-Hodge
Q56235952,Palmavon Webster,female,,,,,,Palmavon Webster
Q56235953,Curtis A. Richardson,male,,,,,,
Q575354,Alan Huckle,male,1948-06-15,11,,,Alan Huckle.jpg,Alan Huckle
Q597765,Andrew George,male,1952-10-09,11,,,,Andrew George (diplomat)
Q98079363,Ellis Webster,male,,7,,,Ellis Webster 2021.jpg,Ellis Webster
