catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Argentina,President,Alberto Fernández,Q2642828,2019-12-10,male,1959-04-02,,Alberto fernandez presidente (cropped).jpg,Alberto Fernández
Argentina,Vice President,Cristina Fernández de Kirchner,Q40649,2019-12-10,female,1953-02-19,,Cristinakirchnermensaje2010.jpg,Cristina Fernández de Kirchner
Argentina,Minister of Agriculture,Julián Domínguez,Q5474594,2021-09-20,male,1963-11-24,,Ministro Julián Andrés Domínguez.jpg,Julián Domínguez
Argentina,Minister of Culture,Tristán Bauer,Q2454290,2019-12-10,male,1959-06-22,,Tristán Bauer 2020.jpg,Tristán Bauer
Argentina,Minister of Defence,Jorge Taiana,Q721561,2021-08-10,male,1950-05-31,,Ministro Jorge Enrique Taiana.jpg,Jorge Taiana
Argentina,Minister of Economy,Martín Guzmán,Q77605455,2019-12-10,male,1982-10-12,,"Martín Guzmán (cropped, portrait).jpg",Martín Guzmán
Argentina,Minister of Education,Jaime Perczyk,Q108578670,2021-09-20,male,1964,,Jaime Perczyk (cropped).jpg,Jaime Perczyk
Argentina,Minister of the Environment and Sustainable Development,Juan Cabandié,Q5948039,2019-12-10,male,1978-03-16,,Ministro Juan Cabandié en 2020.jpg,Juan Cabandié
Argentina,Minister of Foreign Affairs and Worship,Santiago Cafiero,Q68869954,2021-09-20,male,1979-08-30,,Santiago Cafiero 2019.jpg,Santiago Cafiero
Argentina,Minister of Health,Carla Vizzotti,Q93147520,2021-02-20,female,1972-06-01,,Carla Vizzotti - foto institucional (cropped).jpg,Carla Vizzotti
Argentina,Minister of the Interior,Eduardo de Pedro,Q12164058,2019-12-10,male,1976-11-11,,De Pedro.jpg,Eduardo de Pedro
Argentina,minister of Justice and Human Rights,Martín Soria,Q105969717,2021-03-29,male,1975-12-15,,Ministro Martín Soria 2021.jpg,Martín Soria
Argentina,Minister of Labour,Claudio Moroni,Q70873898,2019-12-10,male,1959-12-01,,Claudio Moroni jura como ministro (cropped).jpg,Claudio Moroni
Argentina,Minister of Production,Matías Kulfas,Q30331229,2019-12-10,male,1972-04-08,,Matías Kulfas 2020.jpg,Matías Kulfas
