id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100691234,Andranik Piloyan,male,1962,9,,,,
Q100715776,Arthur Hovhannisyan,male,1990-05-26,11,,,,
Q100715791,Artur Manukyan,male,1970-07-30,11,,,,
Q100715793,Narek Ghahramanyan,male,1991-04-16,11,,,,
Q100715795,Gor Yeranyan,male,1990-11-28,11,,,,
Q100715796,Mkhchyan Karapet,male,1988-01-21,11,,,,
Q106926931,Anna Grigoryan,female,1991-01-08,11,,,,Anna Grigoryan
Q107343072,Vahagn Aleksanyan,male,1993-08-04,11,,,,
Q107343086,Hakob Aslanyan,male,1954-08-01,11,,,,
Q107343104,Karen Grigoryan,male,1989-12-12,11,,,,
Q107343111,Narek Grigoryan,male,1991-10-06,11,,,,
Q107343120,Roman Muradyan,male,1981-11-20,11,,,,
Q107343126,Vanik Oghanyan,male,1982-10-22,11,,,,
Q107343138,Emma Palyan,female,1990-11-26,11,,,,
Q107343169,Siraq Sargsyan,male,1992-05-22,11,,,,
Q107343175,Hayk Tsirunyan,male,1977-10-03,11,,,,
Q107343188,Lusine Yeganyan,female,1980-09-11,11,,,,
Q107472539,Ara Melikjanyan,male,1989-01-20,11,,,,
Q107605738,Arshak Karapetyan,male,1967-02-06,11,,,Министр обороны России провел в Москве переговоры с армянским коллегой 03 (Arshak Karapetyan).jpg,Arshak Karapetyan
Q107740652,Agnesa Khamoyan,female,1990-10-19,11,,,,
Q107741735,Aram Vardevanyan,male,1989-11-01,11,,,,
Q107873597,Hayk Mamijanyan,male,1990-10-17,11,,,,
Q107920257,Tigran Abrahamyan,male,1985-04-27,11,,,,
Q107983550,Andranik Tevanyan,male,1974-05-05,11,,,,
Q107987058,Tadevos Avetisyan,male,1976-04-19,11,,,,
Q108315645,Vahram Dumanyan,male,1962-09-09,11,,,,
Q108315659,Vahan Kerobyan,male,1976-10-01,11,,,,
Q108315666,Tigran Khachatryan,male,1970-12-11,11,,,,
Q109281262,Zemfira Mirzoeva,,,,,,,
Q109281318,Yelena Kirakosyan,,,,,,,
Q109281418,Vilen Gabrielyan,,,,,,,
Q109281558,Narek Babayan,,,,,,,
Q109281617,Mkhitar Zakaryan,,,,,,,
Q109281624,Marina Ghazaryan,,,,,,,
Q109281635,Mariam Poghosyan,,,,,,,
Q109281648,Lilit Minasyan,,,,,,,
Q109281673,Kristine Vardanyan,,,,,,,
Q109281694,Hripsime Stambulyan,,,,,,,
Q109281704,Hripsime Hunanyan,,,,,,,
Q109281711,Hasmik Hakobyan,,,,,,,
Q109281718,Gurgen Melkonyan,,,,,,,
Q109281724,Gegham Nazaryan,,,,,,,
Q109281735,Elinar Vardanyan,,,,,,,
Q109281749,Davit Sedrakyan,,1984-04-25,11,,,,
Q109281772,Davit Danielyan,,,,,,,
Q109281780,Arusyak Manavazyan,,,,,,,
Q109281796,Artur Sargsyan,,,,,,,
Q109281811,Armen Charchyan,,,,,,,
Q109281822,Aregnaz Manukyan,,,,,,,
Q109281837,Anna Mkrtchyan,female,,,,,,
Q109281850,Alkhas Ghazaryan,,,,,,,
Q109452376,Hayk Ghalumyan,male,,,,,,
Q109452578,Aharon Sahakyan,male,1980-03-30,11,,,,
Q109452938,Martin Galstyan,male,,,,,,
Q109512969,Aspram Krpeyan,,,,,,,
Q109544339,Mikayel Tumasyan,,1980-01-18,11,,,,
Q110233,Tigran Sargsyan,male,1960-01-29,11,,,Tigran Sargsyan.jpg,Tigran Sargsyan
Q110235475,Hrachya Sargsyan,male,1985-02-13,11,,,,Hrachya Sargsyan
Q110553434,Lilit Kirakosyan,,,,,,,
Q110553539,Edgar Hakobyan,,,,,,,
Q111745402,Robert Khachatryan,male,1984-10-30,11,,,,
Q112483436,Gayane Yeghiazaryan,female,1975-10-11,11,,,,
Q113111001,Edward Asryan,male,1977-05-22,11,,,,
Q113313016,Argishti Gevorgyan,male,,,,,,
Q113313861,Eduard Aghajanyan,male,1988-08-29,11,,,,
Q13052485,Gagik Khachatryan,male,1955-11-26,11,,,Gagik-Khachatryan-Armenia-Minister.jpg,Gagik Khachatryan (politician)
Q13053415,Hakob R. Hakobyan,male,1958-01-26,11,,,Հակոբ Ռաֆիկի Հակոբյան 04.JPG,
Q13053595,Hayk Harutyunyan,male,1955-10-20,11,2019-09-23,11,Айк Артёмович Арутюнян11.jpg,
Q13053833,Hrayr Tovmasyan,male,1970-07-08,11,,,,Hrayr Tovmasyan
Q13054711,Sergo Karapetyan,male,1948-08-06,11,2021-02-18,11,Sergo-Karapetyan-Armenia-Minister.jpg,Sergo Karapetyan
Q13054869,Stepan Galstyan,male,1963-05-15,11,,,,
Q15071998,Abraham Manukyan,male,1957-11-15,11,,,,
Q15074226,Murad Muradyan,male,1957-08-04,11,,,,
Q16371609,Artak Sargsyan,male,1973-07-13,11,,,,
Q16377996,Grigor Grigoryan,male,1960-03-23,11,,,,
Q16378244,Gevorg Kostanyan,male,1977-10-04,11,,,Գևորգ Սուրիկի Կոստանյան.jpg,
Q16398714,Samvel Tadevosyan,male,1959-07-09,11,,,,
Q16400688,Vigen Sargsyan,male,1975-05-10,11,,,Vigen Sargsyan in Moscow 01.jpg,Vigen Sargsyan
Q1785,Charles Aznavour,male,1924-05-22,11,2018-10-01,11,2014.06.23. Charles Aznavour Fot Mariusz Kubik 01.jpg,Charles Aznavour
Q18684051,Armen Amiryan,male,1967-07-29,11,,,Amirian Armen.jpg,Armen Amiryan
Q1875808,Arsen Julfalakyan,male,1987-05-08,11,,,Vlasov vs. Julfalakyan London 2012 Greco-Roman Wrestling final.jpg,Arsen Julfalakyan
Q1974113,Vartan Oskanian,male,1955-02-07,11,,,Vartan Oskanian.jpg,Vartan Oskanian
Q1975237,Khosrov Harutyunyan,male,1948-05-30,11,,,"Khosrov Harutyunyan on i TV (June 3, 2021), min 41.52.png",Khosrov Harutyunyan
Q1975243,Hrant Bagratyan,male,1958-10-18,11,,,Hrant Bagratyan 1.jpg,Hrant Bagratyan
Q19763698,Tigran Urikhanyan,male,1979-08-27,11,,,Tigran Urikhanyan.JPG,
Q1977367,Gagik Beglaryan,male,1964-01-01,11,,,Gagik-Beglaryan-Armenia-Minister.jpg,Gagik Beglaryan
Q1979923,Karen Karapetyan,male,1963-08-14,11,,,Karen Karapetyan (2017-01-24).jpg,Karen Karapetyan
Q19915942,Mihran Poghosyan,male,1976-05-29,11,,,Mihran Poghosyan.jpg,Mihran Poghosyan
Q20506949,Martun Grigoryan,male,1981-01-18,11,,,,
Q20508173,Artak Davtyan,male,1970-03-31,11,,,Artak M. Davtyan.jpg,Artak Davtyan
Q20509334,Hakob Beglaryan,male,1966-08-03,11,,,,
Q20509405,Gevorg Petrosyan,male,1972-09-04,11,,,Gevorg Volodya Petrosyan.jpg,Gevorg Petrosyan (politician)
Q20509642,Stepan Margaryan,male,1960-10-26,11,,,Stepan Margaryan 02.jpg,
Q20509893,Koryun Nahapetyan,male,1971-07-23,11,,,,
Q20509987,Khachik Harutyunyan,male,1959-02-26,11,,,,
Q20510294,Levon Martirosyan,male,1976-02-19,11,,,"Levon Martirosyan, Julie Payette and Ann Cavoukian (cropped) - Levon Martirosyan.jpg",Levon Martirosyan
Q20510849,Rustam Gasparyan,male,1961-04-11,11,2020-10-17,11,,Rustam Gasparyan
Q20511000,Alderman Vardanyan,female,1978-11-18,11,,,,
Q20511355,Arthur Hovhannisyan,male,1984-07-08,11,,,Arthur Hovhannisyan.jpg,
Q20511551,Hovhannes Sahakyan,male,1977-02-25,11,,,,
