catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Armenia,President,Vahagn Khachatryan,Q3553274,2022-03-13,male,1959-04-22,,Vahagn Khachaturyan portrait (cropped).jpg,Vahagn Khachaturyan
Armenia,Prime Minister,Nikol Pashinyan,Q7035479,2021-06-20,male,1975-06-01,,Никол Пашинян (20-04-2022) 2.jpg,Nikol Pashinyan
Armenia,Deputy Prime Minister,Mher Grigoryan,Q53244209,2018-05-12,male,1972-02-15,,Mher-Grigoryan.jpg,Mher Grigoryan
Armenia,Deputy Prime Minister,Tigran Khachatryan,Q97204923,2022-12-19,male,1970-12-11,,Tigran Khachatryan (Tehran 2022) 05.jpg,
Armenia,Minister of Defence,Souren Papikyan,Q53140569,2021-11-15,male,1986-04-26,,"El Ministro de defensa de Armenia, Surén Papikián, en una reunión en Moscú (cropped).png",Suren Papikyan
Armenia,Minister of Economy,Vahan Kerobyan,Q108315659,2021-08-02,male,1976-10-01,,,
Armenia,Minister of Education and Science,Zhanna Andreasyan,Q87491070,2022-12-13,female,1981-02-14,,,
Armenia,Minister of Emergency Situations,Armen Pambukhchyan,Q57998505,2022-04-12,male,1984-11-26,,Armen Pambukhchyan.jpg,
Armenia,Minister of Environment,Hakob Simidyan,Q60492375,2021-12-10,male,1984-04-20,,Հակոբ Սիմիդյան («Իմ Քայլը» դաշինք).png,
Armenia,Minister of Finance,Vahe Hovhannisyan,Q25918154,2022-12-19,male,1974-06-10,,,
Armenia,Minister of Foreign Affairs,Ararat Mirzoyan,Q31196321,2021-08-19,male,1979-11-23,,,Ararat Mirzoyan
Armenia,Minister of Health,Anahit Avanesian,Q87244322,2021-01,female,1981-03-21,,,Anahit Avanesian
Armenia,Minister of High-Tech Industry,Robert Khachatryan,Q111745402,2022-04-27,male,1984-10-30,,,
Armenia,Minister of Justice,Grigor Minasyan,Q108027151,2022-12-26,male,1983-12-23,,,Grigor Minasyan
Armenia,Minister of Labour and Social Affairs,Narek Mkrtchyan,Q63762730,2021-08-02,male,1989-06-20,,,
Armenia,Minister of Territorial Administration and Infrastructures,Gnel Sanosyan,Q57269722,2021-08-02,male,1983-10-07,,Gnel Sanosyan.jpg,
Armenia,Chief of the General Staff,Edward Asryan,Q113111001,2022-07-14,male,1977-05-22,,,
Armenia,Chief of Police,Vahe Ghazaryan,Q96213914,2020-01-08,male,1974-06-15,,,
Armenia,President of the National Assembly,Alen Simonyan,Q20513503,2021-08-02,male,1980-01-05,,Alen Simonyan1.jpg,Alen Simonyan
Armenia,Governor of the Central Bank,Martin Galstyan,Q109452938,2020-06-13,male,1978-05-04,,,
Armenia,Mayor of Yerevan,Hrachya Sargsyan,Q110235475,2021-12-22,male,1985-02-13,,,Hrachya Sargsyan
