catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Artsakh,President,Arayik Harutyunyan,Q440824,2020-05-21,male,1973-12-14,,Araik.jpg,Arayik Harutyunyan
Artsakh,Minister of Agriculture,Hrant Safaryan,Xart-Safaryan-H,2022-12-29,male,,,,
Artsakh,Minister of Defence,Kamo Vardanyan,Q97203851,2021-09-11,male,1966-03-18,,Kamo Vardanyan.pdf,
Artsakh,"Minister of Education, Science, Culture and Sport",Hasmik Minasyan,Xart-Minasyan-H,2022-11-23,male,,,,
Artsakh,Minister of Finance and Economy,Վահրամ Բաղդասարյան,Q97621643,2020-06-01,male,1967-05-01,,Վահրամ Բորիսի Բաղդասարյան.jpg,
Artsakh,Minister of Foreign Affairs,Sergey Ghazaryan,Xart-Ghazaryan-S,2023-01-11,male,1979-05-23,,,
Artsakh,Minister of Healthcare,Սամվել Ավետիսյան,Q21656133,2022-12-21,male,1965-08-21,,,
Artsakh,Minister of Internal Affairs,Karen Sargsyan,Q44391830,2021-01-26,male,1980-12-18,,Կարեն Սարգսյան.jpg,Karen Grigory Sargsyan
Artsakh,Minister of Justice,Srbuhi Arzumanyan,Xart-Arzumanyan-S,2023-01-11,male,,,,
Artsakh,Minister of Social Development and Migration,Armen Mangasaryan,Xart-Mangasaryan-A,2023-01-11,male,,,,
Artsakh,Minister of Territorial Administration and Infrastructures,Suren Galstyan,Xart-Galstyan-S,2022-12-29,male,,,,
Artsakh,Minister of Urban Planning,Արամ Սարգսյան,Q97484359,2023-01-11,male,1983-08-05,,Արամ Ալեքսեյի Սարգսյան.jpg,
Artsakh,President of the National Assembly,Arthur Tovmasyan,Q4459252,2020-05-21,male,1962-12-02,,Arthur Tovmasyan.jpg,Arthur Tovmasyan
