id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100327610,Sheena Watt,female,,,,,,Sheena Watt
Q100587873,Jo Clay,female,1977,9,,,Jo Clay 2020 (cropped).jpg,Jo Clay
Q100598147,Rebecca Vassarotti,female,1972,9,,,Rebecca Vassarotti 2020 (cropped).jpg,Rebecca Vassarotti
Q100605965,Marisa Paterson,female,1982,9,,,,Marisa Paterson
Q100605985,Emma Davidson,female,1974,9,,,Emma Davidson 2020 (cropped).jpg,Emma Davidson
Q100605989,Leanne Castley,female,1974,9,,,,Leanne Castley
Q100606032,Andrew Braddock,male,1978,9,,,Andrew Braddock 2020 (cropped).jpg,Andrew Braddock
Q100758526,Johnathan Davis,male,1991,9,,,Johnathan Davis 2020 (cropped).jpg,Johnathan Davis (politician)
Q100758530,Peter Cain,male,,,,,,Peter Cain (politician)
Q101064808,Amy MacMahon,female,1986-06-07,11,,,Amy MacMahon MP (cropped).jpg,Amy MacMahon
Q101068208,Amanda Camm,female,1979-04-18,11,,,,Amanda Camm
Q101068422,Ali King,female,1980,9,,,,Ali King
Q101069574,Adrian Tantari,male,1961,9,,,,Adrian Tantari
Q101071308,Jimmy Sullivan,male,1982-01-05,11,,,,Jimmy Sullivan (politician)
Q101074121,Les Walker,male,1965-01-15,11,,,,Les Walker (politician)
Q101083798,Jason Hunt,male,1970-01-03,11,,,,Jason Hunt
Q101244911,Ben Small,male,1988-06-11,11,,,,Ben Small (politician)
Q101579940,Robert Skelton,male,1974-11-03,11,,,,Robert Skelton (politician)
Q101579945,Tom Smith,male,1990-09-02,11,,,,Tom Smith (Queensland politician)
Q101658070,Lynette Wood,female,,,,,Ambassador Lynette Wood 02.jpg,Lynette Wood
Q102046769,Anna Reynolds,female,,,,,,Anna Reynolds (mayor)
Q102105618,Jeannette Young,female,1963,9,,,"Jeannette Young, Chief Health Officer, Queensland Government, 2020 (cropped) 2.jpg",Jeannette Young
Q102420453,Garth Hamilton,male,1979-03-05,11,,,,Garth Hamilton
Q103836636,Richard Niall,male,,,,,,Richard Niall
Q104848351,Mark Hammond,male,,,,,,Mark Hammond (admiral)
Q105947969,Jodie Hanns,female,1972-04-09,11,,,,Jodie Hanns
Q105948168,Jags Krishnan,male,1972-04-23,11,,,Jags Krishnan 1.jpg,Jags Krishnan
Q105948323,Meredith Hammat,female,1969-07-13,11,,,,Meredith Hammat
Q105948386,Rebecca Stephens,female,1983-03-03,11,,,,Rebecca Stephens (politician)
Q105949234,Stuart Aubrey,male,1990-12-20,11,,,,Stuart Aubrey
Q105949236,Hannah Beazley,female,1978-07-08,11,,,,Hannah Beazley
Q105949238,Caitlin Collins,female,1988-07-22,11,,,Collins State Election 2021.jpg,Caitlin Collins
Q105949457,Divina D'Anna,female,1976-12-05,11,,,,Divina D'Anna
Q105949836,Lisa Munday,female,1968-06-14,11,,,,Lisa Munday
Q105951009,Lara Dalton,female,1970-05-23,11,,,,Lara Dalton
Q105959279,Ali Kent,female,1960-11-13,11,,,,Ali Kent
