catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Azerbaijan,President,Ilham Aliyev,Q57371,2003-10-31,male,1961-12-24,,Ilham Aliyev was interviewed by Euronews TV (cropped) (cropped).jpg,Ilham Aliyev
Azerbaijan,Vice President,Mehriban Aliyeva,Q671930,2017-02-21,female,1964-08-26,,Mehriban Aliyeva on 2021 IDWGS (cropped).jpg,Mehriban Aliyeva
Azerbaijan,Prime Minister,Ali Asadov,Q12850075,2019-10-08,male,1956-11-30,,Ali Asadov (2019-12-17).jpg,Ali Asadov
Azerbaijan,First Deputy Prime Minister,Yaqub Eyyubov,Q4533449,2003-02-13,male,1945-10-24,,Eyyubov Yaqub Abdulla oğlı.JPG,Yaqub Eyyubov
Azerbaijan,Deputy Prime Minister,Ali Ahmadov,Q4073064,2013-10-22,male,1953-01-27,,Ali Ahmadov - 2019 (cropped).jpg,Ali Ahmadov
Azerbaijan,Deputy Prime Minister,Shahin Mustafayev,Q15734658,2019-10-22,male,1965-06-13,,Shahin Mustafayev in 2016.jpg,Shahin Mustafayev
Azerbaijan,Minister of Agriculture,Inam Karimov,Q12849026,2018-04-21,male,1977-06-06,,İnam Kərimov at Agroforum Reception 08Nov19 008 (49065061941) (cropped).jpg,Inam Karimov
Azerbaijan,Minister of Culture,Anar Karimov,Q97698132,2021-01-05,male,1977-06-03,,Anar Karimov.jpg,Anar Karimov
Azerbaijan,Minister of Defence,Zakir Hasanov,Q12848240,2013-10-22,male,1959-06-06,,Zakir Hasanov at the 2018 parade.jpg,Zakir Hasanov
Azerbaijan,Minister of Defence Industry,Madat Guliyev,Q4151833,2019-06-20,male,1958-09-27,,Madat Guliyev.jpg,Madat Guliyev
Azerbaijan,Minister of Ecology and Natural Resources,Muxtar Babayev,Q6584988,2018-04-23,male,1967-10-16,,Muxtar Babayev.JPG,Mukhtar Babayev
Azerbaijan,Minister of Economy,Mikayil Jabbarov,Q15090186,2019-10-23,male,1976-09-19,,Mikayil Jabbarov new.jpg,Mikayil Jabbarov
Azerbaijan,Minister of Education,Emin Amrullayev,Q97715003,2020-07-27,male,1982-12-30,,Emin Amrullayev.jpg,Emin Amrullayev
Azerbaijan,Minister of Emergency Situations,Kamaladdin Heydarov,Q4134808,2006-02-06,male,1961-07-15,,Kamaladdin Heydarov.jpg,Kamaladdin Heydarov
Azerbaijan,Minister of Energy,Parviz Shahbazov,Q55199625,2017-10-12,male,1969-11-24,,Pərviz Şahbazov.jpg,Parviz Shahbazov
Azerbaijan,Minister of Finance,Samir Sharifov,Q4520550,2006-04-18,male,1961-09-07,,Ilham Aliyev chaired meeting of Cabinet of Ministers dedicated to results of socioeconomic development of 2018 and objectives for future 08.jpg,Samir Sharifov
Azerbaijan,Minister of Foreign Affairs,Jeyhun Bayramov,Q16366137,2020-07-16,male,1973-06-25,,JeyhunBayramov.jpg,Jeyhun Bayramov
Azerbaijan,Minister of Health,Teymur Musayev,Q106637032,2021-04-23,male,1970-09-16,,,Teymur Musayev
Azerbaijan,Minister of Internal Affairs,Vilayet Eyvazov,Q64752976,2019-06-20,male,1968-06-28,,Vilayat Eyvazov at the opening of Internal Troops` military unit in Aghstafa 2020.jpg,Vilayat Eyvazov
Azerbaijan,Minister of Justice,Fikrat Mammadov,Q12839492,2000-04-19,male,1955-07-01,,"Urmas Reinsalu, Fikrat Mammadov and Andres Anvelt (35608828472) (cropped).jpg",Fikrat Mammadov
Azerbaijan,Minister of Labor and Social Protection of Population,Sahil Babayev,Q55202170,2018-04-21,male,1980,,Sahil Babayev (cropped).jpg,Sahil Babayev
Azerbaijan,"Minister of Transport, Communications and High Technologies",Rashad Nabiyev,Q47773089,2021-01-25,male,1977-08-26,,Rashad Nabiyev photo (cropped).jpg,Rashad Nabiyev
Azerbaijan,Minister of Youth and Sports,Farid Gayibov,Q55200119,2021-09-07,male,1979-04-24,,Farid Gayibov 3.jpg,Farid Gayibov
Azerbaijan,Chairman of the Food Safety Agency,Goshgar Tahmazli,Q55200630,2017-12-25,male,1970-05-29,,,Goshgar Tahmazli
Azerbaijan,Chairman of the State Committee for Work with Religious Associations,Mubariz Gurbanli,Q12842413,2014-07-21,male,1954-01-07,,"DQİDK sədri Mübariz Qurbanlının ""Amerikanın Səsi""nə müsahibəsi - 2.jpg",Mubariz Gurbanli
Azerbaijan,Chairman of the State Committee on Diaspora Affairs,Fuad Muradov,Q5506881,2018-04-23,male,1979-07-22,,Fuad Muradov.jpg,Fuad Muradov
Azerbaijan,Chairman of the State Committee on Refugee and IDP Affairs,Rovshan Rzayev,Q19715508,2018-04-21,male,1962-01-20,,Rovshan Rzayev.jpg,
Azerbaijan,Chairman of the State Customs Committee,Safar Mehdiyev,Q16374557,2018-04-23,male,1973-03-17,,Ilham Aliyev chaired meeting of Cabinet of Ministers dedicated to results of socioeconomic development of 2018 and objectives for future 10.jpg,Safar Mehdiyev
Azerbaijan,Chairman of the State Statistics Committee,Tahir Budaqov,Q16374811,2015-08-13,male,1965-01-01,,Budagov Tahir.jpg,
Azerbaijan,Chairman of the State Tourism Agency,Fuad Naghiyev,Q55202229,2018-04-23,male,1975-07-22,,,Fuad Naghiyev
Azerbaijan,Chairman of the State Urban Planning and Architecture Committee,Anar Guliyev,Q81409395,2020-01-08,male,1977,,Anar Quliyev 2.jpg,
Azerbaijan,"Chairperson of the State Committee for Family, Women and Children Affairs",Bahar Muradova,Q16365430,2020-03-12,female,1962-03-20,,Bahar Muradova in 2020.jpg,Bahar Muradova
Azerbaijan,Prosecutor General,Kamran Aliyev,Q18427736,2020-05-01,male,1965-11-18,,Kamran Aliyev.jpg,
Azerbaijan,Chief of the State Security Service,Ali Naghiyev,Q64739163,2019-06-20,male,1958-11-08,,Ali Naghiyev (cropped).jpg,Ali Naghiyev
Azerbaijan,Chief of the Foreign Intelligence Service,Orkhan Sultanov,Q31295398,2015-12-14,male,1977,,Orxan Sultanov.jpg,Orkhan Sultanov
Azerbaijan,Chief of the State Border Service,Elchin Guliyev,Q16367049,2002-07-31,male,1967-09-22,,Elçin Quliyev.jpg,Elchin Guliyev
Azerbaijan,Chief of the State Migration Service,Vüsal Hüseynov,Q24698931,2018-04-23,male,1980-01-12,,Vusal Huseynov delivering a speech.jpg,Vusal Huseynov
Azerbaijan,Chief of the State Mobilization and Conscription Service,Arzu Rahimov,Q4802771,2012-02-13,male,1964-10-01,,Arzu Rahimov in 2010.jpg,Arzu Rahimov
Azerbaijan,Head of the Presidential Administration,Samir Nuriyev,Q20563367,2019-11-01,male,1975-03-09,,Samir Nuriyev.jpg,Samir Nuriyev
Azerbaijan,Governor of the Central Bank,Taleh Kazimov,Q108823069,2022-04-13,male,1983-09-11,,Taleh Kazimov.jpg,Taleh Kazimov
Azerbaijan,Chief of General Staff,Karim Valiyev,Q31296056,2021-07-23,male,1961-02-09,,Karim Valiyev during the victory parade (cropped).png,Karim Valiyev
