id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q16115995,Mohammed bin Ibrahim Al Mutawa,male,1947-09,10,,,,Mohammed bin Ibrahim Al Mutawa
Q16190522,Nada Haffadh,female,1957,9,,,,Nada Haffadh
Q16730783,Khalid bin Abdullah Al Khalifa,male,1944,9,,,,Khalid bin Abdullah Al Khalifa
Q16730784,Rashid bin Abdullah Al Khalifa,male,1954,9,,,Rashid Al Khalifa.jpg,Rashid bin Abdullah Al Khalifa
Q18922847,Essam Khalaf,male,1956,9,,,Essam bin Abdulla Khalaf.jpg,Essam Khalaf
Q20386058,أحمد قراطة,male,1964-01-01,11,,,,
Q20402357,Khalifa bin Ahmed Al Khalifa,male,1946,9,,,Khalifa bin Ahmed Al Khalifa.jpg,Khalifa bin Ahmed Al Khalifa
Q20408969,Adel Al Asoomi,male,1969-01-01,11,,,,Adel Al Asoomi
Q20420786,Salah Ali,male,,,,,,Salah Ali (Bahraini politician)
Q20422627,محمد العمادي,male,1974,9,,,,
Q22687699,Khalifa bin Ali bin Rashid Al-Khalifa,male,,,,,,
Q28510307,Fawaz bin Mohammed Al Khalifa,male,1961-01-20,11,,,,Fawaz bin Mohammed Al Khalifa
Q28968147,Mohammed bin Jasim Alghatam,male,1951-05-05,11,,,Dr. Mohammed J K Alghatam.jpg,Mohammed bin Jasim Alghatam
Q43296389,Fatima bint Mohammed Al Balooshi,female,,,,,,Fatima bint Mohammed Al Balooshi
Q4666152,Abdullatif bin Rashid Al Zayani,male,1954-04-15,11,,,MSC 2014 AlZayani Mueller MSC2014.jpg,Abdullatif bin Rashid Al Zayani
Q4696094,Ahmed bin Ateyatalla Al Khalifa,male,1966,9,,,,Ahmed bin Ateyatalla Al Khalifa
Q4714362,Alees Samaan,female,,7,,,Alees Samaan.jpg,Alees Samaan
Q47495164,Mohammed bin Khalifa bin Ahmed,male,1972-03-11,11,,,,Mohammed bin Khalifa bin Ahmed
Q5331994,Ebrahim bin Khalifa Al Khalifa,male,,,,,Ebrahim bin Khalifa Al Khalifa.jpg,Ibrahim ibn Khalifa Al Khalifa
Q5429567,Fahmi al-Jowder,male,1964-04-26,11,,,MOW Minister 6.JPG,Fahmi al-Jowder
Q5431085,Faisal al-Hamar,male,,,,,,Faisal al-Hamar
Q57352,Hamad bin Isa Al Khalifa,male,1950-01-28,11,,,Hamad bin Isa Al Khalifa April 2016.jpg,Hamad bin Isa Al Khalifa
Q57726,Khalifa bin Salman Al Khalifa,male,1935-11-24,11,2020-11-11,11,Shaikh Khalifa bin Salman Al Khalifa.jpg,Khalifa bin Salman Al Khalifa
Q58140,Salman bin Hamad bin Isa Al Khalifa,male,1969-10-21,11,,,2021 Crown Prince of Bahrain.jpg,Salman bin Hamad Al Khalifa
Q58171,Khalid bin Ahmed Al Khalifa,male,1960-04-24,11,,,Khalid ibn Ahmad Al Khalifah (crop).jpg,Khalid bin Ahmed Al Khalifa
Q60191533,Fawzia Zainal,female,1961,9,,,Fawzia Bint Abdulla Zainal (2021) (cropped).jpg,Fawzia Zainal
Q6127890,Jameel Humaidan,male,1950,9,,,,Jameel Humadan
Q6165879,Jawad Al-Arrayedh,male,1940,9,,,,Jawad Al Arrayed
Q6355372,Kamal Ahmed,male,,,,,,Kamal Ahmed (politician)
Q6399738,Khalil al-Marzooq,male,1967-07-28,11,,,Personal image for Khalil al-Marzooq.JPG,Khalil al-Marzooq
Q6495425,Lateefa Al Gaood,female,1956,9,,,,Lateefa Al Gaood
Q6932875,Muhammad ibn Mubarak ibn Hamad Al Khalifah,male,1935,9,,,,Mohammed bin Mubarak Al Khalifa
Q98804586,Ali bin Mohammed Al Rumaihi,male,,,,,,Ali bin Mohammed Al Rumaihi
Q98885149,Majed bin Ali Al-Naimi,male,1955,9,,,,Majed bin Ali Al-Naimi
