id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107509737,Christopher Sinckler,male,1967,9,,,,
Q107718226,William F. Duguid,male,1967-11-20,11,,,,
Q107718230,Jeffrey D. Bostic,male,,,,,,
Q107718234,Neil G.H. Rowe,male,,,,,,
Q107718236,Romel O. Springer,male,,,,,,
Q107718241,Lisa R. Cummins,female,,,,,World Travel and Tourism Council - 0443-WTTC-2.11.21 (51651886618) (cropped - Lisa Cummins).jpg,Lisa Cummins
Q107718243,Kay S. McConney,female,,,,,,
Q107718246,Adrian R. Forde,male,,,,,,
Q107718248,Charles McD. Griffith,male,,,,,,
Q107718250,Cheryl Sandra V. Husbands,female,1959-02-27,11,,,,
Q107718253,Colin E. Jordan,male,,,,,,
Q107718255,Cynthia Y. Forde,female,,,,,,
Q107718259,Dwight G. Sutherland,male,,,,,,
Q107718261,G. P. Ian Gooding-Edghill,male,,,,,,
Q107718263,Indar A. Weir,male,1961-04-19,11,,,,
Q107718265,John A. King,male,,,,,,
Q107718267,Kerrie D. Symmonds,male,1966-06-01,11,,,,Kerrie Symmonds
Q107718270,Kirk D.M. Humphrey,male,,,,,,
Q107718272,Marsha K. Caddle,female,,,,,Marsha Caddle.jpg,Marsha K. Caddle
Q107718274,Peter R. Phillips,male,,,,,,
Q107718276,Ronald St. C. Toppin,male,,,,,Launch- CAIPO Digital Registry.jpg,
Q107718280,Ryan R. Straughn,male,,,,,,
Q107718282,Santia J.O. Bradshaw,female,1976-03-13,11,,,,
Q107718284,Wilfred A. Abrahams,male,,,,,,
Q109581147,Errington Shurland,male,,,,,,Errington Shurland
Q109581199,Reginald Farley,male,,,,,,
Q109581241,Arthur Holder,male,,,,,,Arthur Holder
Q111325947,Davidson Ishmael,male,,,,,,Davidson Ishmael
Q111331662,Shantal Munro-Knight,male,,,,,,Shantal Munro-Knight
Q111333622,Sonia Browne,female,,,,,,Sonia Browne
Q113162636,Corey A. Lane,male,,,,,,
Q113162870,Patterson Keith Herman Cheltenham,male,,,,,,
Q17510998,Marion Vernese Williams,female,,,,,Marion Williams (cropped).jpg,Marion Vernese Williams
Q19372427,DeLisle Worrell,male,1945,9,,,"R. DeLisle Worrell, Ph.D, Former Governor, Central Bank of Barbados, 2009-2017.jpg",DeLisle Worrell
Q2717754,Elliott Belgrave,male,1931-03-16,11,,,Elliott Belgrave 2016.jpg,Elliott Belgrave
Q310082,David Thompson,male,1961-12-25,11,2010-10-23,11,David John Howard Thompson - World Economic Forum on Latin America 2010 (cropped).jpg,David Thompson (Barbadian politician)
Q31079695,Cleviston Haynes,male,,,,,,
Q349033,Clifford Husbands,male,1926-08-05,11,2017-10-11,11,,Clifford Husbands
Q356389,Owen Arthur,male,1949-10-17,11,2020-07-27,11,Owen Arthur-2.jpg,Owen Arthur
Q5210541,Dale Marshall,male,1963-11-25,11,,,,Dale Marshall (politician)
Q55123980,Jerome Walcott,male,1957,9,,,Jerome Walcott (cropped).jpg,Jerome Walcott
Q57709,Freundel Stuart,male,1951-04-27,11,,,Freundel Stuart.jpg,Freundel Stuart
Q6827147,Mia Mottley,female,1965-10-01,11,,,2019 Mia Mottley (cropped).jpg,Mia Mottley
Q9333540,Sandra Mason,female,1949-01-17,11,,,Sandra of Barbados.jpg,Sandra Mason
