id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100506260,Аляксандр Аляксандравіч Зянькоў,male,1977-02-25,11,,,,
Q100712226,Марына Аляксандраўна Ільіна,female,1970-11-30,11,,,,
Q100715220,Віктар Міхайлавіч Ананіч,male,1963-06-05,11,,,,
Q100716115,Ігар Мікалаевіч Гедзіч,male,1971-01-09,11,,,,
Q100725247,Алег Віктаравіч Дзячэнка,male,1971-06-14,11,,,,
Q100741535,Vladimir Semyonovich Matveev,male,1964-08-28,11,,,,
Q100746641,Андрэй Уладзіміравіч Русаковіч,male,1965-01-12,11,,,,
Q100936370,Waleryj Lipkin,male,1951-01-09,11,,,,
Q10113380,Siarhiej Siviec,male,1973-09-11,11,,,,
Q101279076,Vasil Charadnik,male,1981-11-19,11,,,,
Q101526859,Mikalaj Kienda,male,1951-01-15,11,,,,
Q102109268,Anatol Markevich,male,1971,9,,,Анатолий Маркевич.jpg,
Q104405516,Uladzimir Arloŭski,male,1968-03-12,11,,,Владимир Орловский.jpg,
Q10444907,Yauhien Abalenski,male,1973-03-30,11,,,,
Q104622097,Dzmitry Baskau,male,1978-08-25,11,,,,Dzmitry Baskau
Q104704369,Siarhiej Bartash,male,1974-04-05,11,,,,
Q104704409,Mikalaj Maroz,,,,,,,
Q105079692,Vasil Hyerasimaw,male,1975-09-10,11,,,,
Q105882952,Vadim Sinyavsky,male,1970-05-15,11,,,Вадим Синявский.jpg,
Q105885805,Dzmitry Gara,male,1970,9,,,,
Q105908105,Viktor Gulevich,male,1969-05-14,11,,,Viktor Gulevich 2021 (cropped).jpg,Viktor Gulevich
Q105941571,Aleh Ramanau,male,1975-08-09,11,,,,
Q106041796,Tatyana Abel,female,1964-03-18,11,,,,
Q106303512,Mikalaj Čepikaŭ,male,1949-08-19,11,,,,
Q106373017,Vladimir Pertsov,male,1974-05-07,11,,,,
Q106399806,Mikalaj Rahaščuk,male,1979,9,,,,
Q106400321,Igor Brylo,male,1972-06-18,11,,,,
Q106400345,Alexey Bogdanov,male,1973-06-27,11,,,,
Q106400349,Vladimir Grakun,male,1964-02-07,11,,,,
Q107453120,Ruslan Furashou,male,1980,9,,,,
Q108916484,Vadzim Krauchuk,male,1977-09-30,11,,,Vadim Kravchuk.png,
Q108916802,"Камко, Андрей Леонидович",male,1977,9,,,,
Q110223669,Alexei Bogdanov,male,1973-06-27,11,,,,
Q110234758,Sergei Shlychkov,male,,,,,,
Q110546516,Леў Антонавіч Дубовік,male,1940-11-30,11,2016-03-31,11,,
Q110768469,Віктар Іванавіч Замосцік,male,1970-09-27,11,,,,
Q110822614,Aliena Kunickaja,female,,,,,,
Q110879417,Уладзімір Яўгенавіч Улаховіч,male,1957-09-06,11,,,,
Q112077147,Іван Іванавіч Данчанка,male,1957-10-12,11,,,,
Q112078107,Уладзімір Васілевіч Лукашэвіч,male,1943-01-02,11,,,,
Q113027246,Міхаіл Уладзіміравіч Гулы,male,1980,9,,,,
Q113256188,Uladzimir Goga,male,1980-08-08,11,,,,
Q113375966,Aleksandr Kulik,male,1967-06-13,11,,,,
Q113624873,Dmitry Gorelik,male,1976-08-26,11,,,,
Q114332068,Robert Chasnoit,male,1954,9,,,,
Q114370862,Aleksandr Rogozhnik,male,1976-06-11,11,,,,
Q114566747,Сяргей Барысавіч Ярэц,male,1983-12-25,11,,,,
Q114567285,Ірына Міхайлаўна Намачэнка,female,1977-06-17,11,,,,
Q114568277,Уладзімір Пятровіч Антоненка,male,1974,9,,,,
Q114568334,Валерый Уладзіміравіч Хелскі,male,1968,9,,,,
Q114584418,Андрэй Віктаравіч Кажамякін,male,1975-01-19,11,,,,
Q114584501,Вольга Васілеўна Прыстрамская,female,,,,,,
Q11684846,Alaksandr Łasiakin,male,1957-07-21,11,,,,
Q11684848,Alaksiej Kazłou,male,1949-06-04,11,,,,
Q11708451,Halina Palanska,female,1950-06-10,11,,,,
Q11709741,Heorhiy Dashkyevich,male,1946-01-01,11,,,,
Q11711531,Ihar Spilnichenka,male,1962-10-08,11,,,,
Q11711535,Ihnat Misurahin,male,1947-02-05,11,,,,
Q11712032,Ina Antonava,female,1952-07-23,11,,,,
Q11712387,Iniesa Klaszczuk,female,1978-08-26,11,,,,
Q11714376,Ivan Bahatka,male,1950-10-09,11,,,,
Q11714391,Iwan Ciareszka,male,1942-03-15,11,,,,
Q11723344,Yauhen Artsyushenka,male,1974-08-02,11,,,,
Q11723346,Jauhien Kazimirczyk,male,1961-06-01,11,,,,
Q11723347,Jauhien Mielnikau,male,1950-11-12,11,,,,
Q11734983,Kanstantsin Sheuchyk,male,1948-01-05,11,,,,
Q11753400,Leanid Apanasyuk,male,1956-01-08,11,2021-06-24,11,,
Q11753405,Leanid Eljaszewicz,male,1951-02-20,11,,,,
Q11767299,Marat Afanasyew,male,1946-03-03,11,2016-12-11,11,,
Q11770910,Maryna Remsza,female,1965-03-08,11,,,,
Q11773872,Uladzimir Patupchyk,male,1958-11-17,11,,,Уладзімір Мікалаевіч Патупчык. SkyWay.jpg,
Q11778197,Mieczysłau Kasciuk,male,1952-08-09,11,,,,
Q11778494,Mikhail Orda,male,1966-09-28,11,,,Mikhail Orda MP Belarus. BSPC 18 Nyborg Danmark 2009-08-31 (2).jpg,
Q11780614,Mikalai Andreichuk,male,1957-04-07,11,,,,
Q11780615,Mikalaj Damaškievič,male,1949,9,,,,
Q11780616,Mikalaj Harbaczonak,male,1971-12-12,11,,,,
Q11780621,Mikalay Zhhun,male,1956-11-03,11,,,,
Q11780622,Mikałaj Samasiejka,male,1959-10-03,11,,,,
Q11792285,Nina Cielabuk,female,1942-03-29,11,,,,
Q11792287,Nina Fiedaruk,female,1951-07-25,11,,,,
Q11792293,Nina Kulsha,female,1957-01-12,11,,,,
Q11817593,Piotr Jużyk,male,1946-07-13,11,,,,
Q11817616,Pyotr Kaluhin,male,1941-09-13,11,,,,
Q11818363,Pyotr Zhushma,male,1963-12-20,11,,,,
Q12324377,Barys Sviatlou,male,1958-02-28,11,,,,
Q13028032,Ihar Shunevich,male,1967-03-27,11,,,,
Q13028035,Igar Fisienka,male,1970-07-09,11,,,,
Q13028245,Aleh Rumo,male,1970-07-26,11,,,,
Q13028251,Oleg Bozhelko,male,1954,9,,,,
Q13028257,Алег Леанідавіч Качан,male,1967-10-03,11,,,,
Q13028435,Anatol Kalinin,male,1959-06-21,11,,,,Anatoĺ Kalinin
Q13028926,Valery Voronetsky,male,1963-10-14,11,,,Valery Voronetsky.jpg,
Q13028989,Vasily Zharko,male,1956-05-27,11,,,,
Q13028990,Vasil Hapiejeu,male,1951-01-21,11,,,,
Q13031225,Lieanid Zajac,male,1958-09-30,11,,,,
Q13031398,Марат Генадзьевіч Жылінскі,male,1976-03-23,11,,,,
Q13031552,Mikalai Snapkou,male,1969-09-14,11,,,Nikolai Snopkov.jpg,
Q13031573,Mikalay Korbut,male,1948-11-01,11,,,,
Q13033102,Uladzimir Vashchanka,male,1958-08-03,11,,,Uladzimir Vaszczanka.jpg,
Q13033118,Vladimir Garkun,male,1946-08-04,11,,,,
Q13033540,Juryi Malumau,male,1953-01-26,11,,,,
Q13132826,Anatol Tozik,male,1949-03-13,11,,,Anatol Apanasavich Tozik - on an International book exhibition in Minsk city - 14 February 2015 AD - 1.JPG,
Q13132833,Andrei Shorets,male,1973-04-12,11,,,,Andrei Shorets
Q13133004,Vasil Sakovich,male,1949,9,,,,
Q13133268,Джэймз Гардэн,male,1955-06-19,11,,,,
Q13133778,Mikhail Amelyanovich,male,1958-01-02,11,,,,
Q13133945,Pyotr Miklashevich,male,1954-10-18,11,,,,Pyotr Milakshevich
Q13134163,Сяргей Гурулёў,male,1953-02-21,11,,,,
Q13134219,Uładzimir Hryhorjeu,male,1941-04-05,11,2011-08-17,11,,
Q13414830,Uladzimir Matviajchuk,male,1950,9,,,,
Q1354620,Leonid Maltsev,male,1949-08-29,11,,,Leonid Maltsev.jpg,Leonid Maltsev
Q13564788,Mieczysłau Hiruć,male,1936-05-11,11,,,,
Q1361912,Vyacheslav Kebich,male,1936-06-10,11,2020-12-09,11,Вячеслав Францевич Кебич.jpg,Vyacheslav Kebich
Q14336753,Mikalai Kutsko,male,1954-10-05,11,,,,
Q14393799,Alena Berasneva,female,1962-06-04,11,,,,
Q14394031,Uladzimir Bazanau,male,1957-11-29,11,,,Vladimir Bazanov.jpg,
Q14421992,Aleksandr Myakinnik,male,1968-07-17,11,,,,
Q14422105,Mikałaj Rasocha,male,1958-08-03,11,,,,
Q14835239,Hanna Anishchuk,female,1957-01-08,11,,,,
Q14866893,Alyaksandr Yarashevich,male,1963-06-07,11,,,,
