id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100604730,Guillaume Defossé,male,1985-11-29,11,,,Guillaume Defossé.jpg,
Q100741358,Stijn De Roo,male,1988-11-06,11,,,Stijn De Roo.jpg,
Q100889225,Sigrid Goethals,female,1968-03-23,11,,,,Sigrid Goethals
Q101012955,Nicolas Parent,male,1982-06-09,11,,,,
Q101056122,Eva Platteau,female,1982,9,,,,
Q101444565,Rita Moors,female,1967-07-03,11,,,,
Q101627579,Claire Hugon,female,1981,9,,,,
Q104191780,Gitta Vanpeborgh,female,1967,9,,,,
Q105768300,Roxane de Bilderling,female,,,,,,
Q105770335,Gunther Sleeuwagen,male,,,,,,
Q105770485,Johan Maricou,male,1949-08,10,,,,
Q105770627,Jean-François Branders,male,,,,,,
Q105770636,Luc Liebaut,male,,,,,,
Q105824433,Françoise Gustin,female,1960,9,,,,
Q106041289,Marc Vinck,male,,,,,,
Q106404666,Michel Malherbe,male,,,,,,
Q107466577,Chanelle Bonaventure,female,1991-07-05,11,,,,
Q1086626,Joris Van Hauthem,male,1963-11-29,11,2015-03-25,11,,Joris Van Hauthem
Q108729871,Olivier Vajda,male,1975,9,,,,
Q109941635,Maud Vanwalleghem,female,1988-12-27,11,,,,
Q110553486,Thomas Naessens,male,1986-07-07,11,,,,
Q111609790,Bruno Bauwens,male,1970-05-19,11,,,,
Q112132482,Kathleen Pisman,,1962,9,,,,
Q112844664,Mieke Claes,female,,,,,,
Q1151266,Emir Kir,male,1968-10-17,11,,,Emir kir.jpg,
Q1210542,Didier Donfut,male,1956-10-25,11,,,,
Q1240812,Koen Geens,male,1958-01-22,11,,,Minister Geens.jpg,Koen Geens
Q12498,Stefaan De Clerck,male,1951-12-12,11,,,Stefaan De Clerck (politician) cropped version.jpg,Stefaan De Clerck
Q12499,Patrick Janssens,male,1956-09-19,11,,,Patrick Janssens at Horasis Global India Business Meeting 2012 crop.jpg,Patrick Janssens
Q12500,Daniël Termont,male,1953-05-19,11,,,Verleihung Konrad-Adenauer-Preis der Stadt Köln 2017 an Liverpool-3695.jpg,Daniël Termont
Q127190,Fadila Laanan,female,1967-07-29,11,,,Fadila Laanan.png,
Q1283280,Albert Liénard,male,1938-01-09,11,2011-03-31,11,,
Q1284089,Rudi Vervoort,male,1958-11-20,11,,,CoR Members portraits - Rudi VERVOORT.jpg,Rudi Vervoort
Q12869,Kris Peeters,male,1962-05-18,11,,,Kris-peeters-1391318830 (cropped).jpg,Kris Peeters
Q12978,Guy Verhofstadt,male,1953-04-11,11,,,Guy Verhofstadt June 2021.jpg,Guy Verhofstadt
Q12981,Yves Leterme,male,1960-10-06,11,,,Yves Leterme.jpg,Yves Leterme
Q12983,Herman Van Rompuy,male,1947-10-31,11,,,Herman Van Rompuy 675.jpg,Herman Van Rompuy
Q13001,Paul Van Grembergen,male,1937-09-18,11,2016-06-04,11,,
Q1309509,Freddy Thielemans,male,1944-09-11,11,2022-01-29,11,Freddy Thielemans 675 cropped.png,Freddy Thielemans
Q1341556,Paul Magnette,male,1971-06-28,11,,,Portrait de Paul Magnette par Vanden Driessche (cropped).jpg,Paul Magnette
Q1344265,Filip Dewinter,male,1962-09-11,11,,,FilipDewinter2015.jpg,Filip Dewinter
Q13457850,Cathy Coudyser,female,1969-12-14,11,,,Cathy Coudyser.jpg,Cathy Coudyser
Q1351926,Herman De Croo,male,1937-08-12,11,,,Herman De Croo (2015).jpg,Herman De Croo
Q13653620,Hans Verreyt,male,1980-07-23,11,,,,Hans Verreyt
Q1382799,Rik Daems,male,1959-08-18,11,,,2021 Rik Daems.jpg,Rik Daems
Q1396015,Steve Stevaert,male,1954-04-12,11,2015-04-02,11,Steve Stevaert.jpg,Steve Stevaert
Q1399098,Gérard Deprez,male,1943-08-13,11,,,Gerard DEPREZ (16039228164).jpg,Gérard Deprez
Q14084072,Peter De Roover,male,1962-05-20,11,,,,Peter De Roover
Q1441464,Francis Delpérée,male,1942-01-14,11,,,,Francis Delpérée
Q1444382,Frank Vanhecke,male,1959-05-30,11,,,Frank Vanhecke.jpg,Frank Vanhecke
Q1471482,Frédéric Daerden,male,1970-01-11,11,,,"Daerden, Frédéric-0071.jpg",Frédéric Daerden
Q14856202,Tim Vandenput,male,1971-11-06,11,,,Tim-Vandenput.jpg,
Q14900115,Alexander Miesen,male,1983-03-16,11,,,Alexander Miesen.jpg,
Q15048,Elio Di Rupo,male,1951-07-18,11,,,Elio Di Rupo PES-Kongress 2014.jpg,Elio Di Rupo
Q15056,Jean-Luc Dehaene,male,1940-08-07,11,2014-05-15,11,Jean-Luc Dehaene (speech).jpg,Jean-Luc Dehaene
Q15126937,Jo De Ro,male,1973-03-23,11,,,Jo De Ro - 2019.jpg,
Q15126994,Chris Janssens,male,1977-11-08,11,,,Chris Janssens nieuwjaarsreceptie 2020.jpg,Chris Janssens (politician)
Q15127115,Egbert Lachaert,male,1977-07-04,11,,,Egbert lachaert-1614950992.jpg,Egbert Lachaert
Q15127146,Marius Meremans,male,1967-05-20,11,,,,Marius Meremans
Q15127175,Joke Quintens,female,1973-06-21,11,,,,
Q15127293,Björn Rzoska,male,1973-05-12,11,,,Björn Rzoska - 2019.jpg,
Q1534851,Pieter De Crem,male,1962-07-22,11,,,Pieter De Crem (2017).jpg,Pieter De Crem
Q155004,Philippe I of Belgium,male,1960-04-15,11,,,Philippe of Belgium in 2019.jpg,Philippe of Belgium
Q15651402,Johan Van Overtveldt,male,1955-08-24,11,,,DOORSTEP 2016-09-09 EUROGROUP Ministers (29268771160).jpg,Johan Van Overtveldt
Q15713392,Sihame El Kaouakibi,female,1986-07-19,11,,,Sihame El Kaouakibi Vlaams Parlement.png,Sihame El Kaouakibi
Q15883457,Vincent Scourneau,male,1967-06-22,11,,,,
Q15991,Luc Van den Brande,male,1945-10-13,11,,,Luc van den Brande.jpg,Luc Van den Brande
Q15992,Patrick Dewael,male,1955-10-13,11,,,,Patrick Dewael
Q15993,Bart Somers,male,1964-05-12,11,,,Bart Somers.jpg,Bart Somers
Q15994,Hilde Crevits,female,1967-06-28,11,,,Hilde Crevits (2019).jpg,Hilde Crevits
Q16002,Jo Vandeurzen,male,1958-06-02,11,,,Jo Vandeurzen ACV.jpg,Jo Vandeurzen
Q16025168,Michel Hofman,male,1958,9,,,,Michel Hofman
Q16069420,Benjamin Dalle,male,1982-08-30,11,,,Foto Benjamin Dalle.jpg,
Q16269692,Latifa Gahouchi,female,1961-02-26,11,,,Latifa Gahouchi.jpg,
Q163670,Danny Pieters,male,1956-10-13,11,,,,Danny Pieters
Q1663490,Alain Mathot,male,1972-08-29,11,,,,
Q16661963,Magali Plovie,female,1976-08-04,11,,,,
Q16662935,Marco Van Hees,male,1964-03-15,11,,,Marco Van Hees PTB.jpg,
Q16672153,Raoul Hedebouw,male,1977-07-12,11,,,Raoul Hedebouw Bxl Climate.jpg,Raoul Hedebouw
Q1677920,Jacques Brotchi,male,1942-08-11,11,,,,Jacques Brotchi
Q1684787,Jean-Claude Van Cauwenberghe,male,1944-04-28,11,,,Van-cau-si-cravate.jpg,Jean-Claude Van Cauwenberghe
Q170194,"Princess Astrid, Archduchess of Austria-Este",female,1962-06-05,11,,,Princess Astrid at the World Investment Forum 2018 (cropped).jpg,Princess Astrid of Belgium
Q17038223,Jan Spooren,male,1969-01-12,11,,,,Jan Spooren
Q17048132,Brecht Vermeulen,male,1969-06-17,11,,,Brecht Vermeulen - September 2016 (cropped).jpg,
Q17149643,Valerie Van Peel,female,1979-10-11,11,,,,Valerie Van Peel
Q17149749,Koen Metsu,male,1981-07-23,11,,,,Koen Metsu
Q17177127,Pierre-Yves Dermagne,male,1980-12-30,11,,,"Visit of Ursula von der Leyen, President of the European Commission, to Rochefort and Pepinster in Belgium 21.jpg",Pierre-Yves Dermagne
Q17191473,Yoleen Van Camp,female,1987-08-25,11,,,YoleenVC by MVC 14-03-2014.JPG,Yoleen Van Camp
Q17300271,Tom Van Grieken,male,1986-10-07,11,,,Tom-van-grieken-1410248556.jpg,Tom Van Grieken
Q17300296,Katia Segers,female,1967-06-11,11,,,Katia Segers - 2019.jpg,
Q17324126,Michaël Verbauwhede,male,1985-11-13,11,,,,
Q17324155,Youssef Handichi,male,1976-08-23,11,,,,
Q17332663,Björn Anseeuw,male,1976-09-17,11,,,Björn Anseeuw - 2019.jpg,Björn Anseeuw
Q17350455,Lionel Bajart,male,1979-05-14,11,,,,
Q17350460,Rob Beenders,male,1979-04-26,11,,,,
Q17350463,Nawal Ben Hamou,female,1987-06-11,11,,,Nawal Ben Hamou.jpg,
Q17350464,Jan Bertels,male,1968-11-21,11,,,Jan Bertels.jpg,
Q17350493,Ridouane Chahid,male,1977-08-12,11,,,,
Q17350557,Véronique Durenne,female,1969-03-08,11,,,VéroDurennecourt.jpg,
Q17350569,Yves Evrard,male,1969-03-19,11,,,,
Q17350613,Marc-Jean Ghyssels,male,1962-09-26,11,,,Marc-Jean Ghyssels.jpg,
Q17350626,Gwenaëlle Grovonius,female,1978-10-16,11,,,"Gwenaëlle Grovonius, 2014.jpg",
Q17350628,Andries Gryffroy,male,1963-03-12,11,,,,Andries Gryffroy
Q17350697,Pierre Kompany,male,1947-09-08,11,,,,Pierre Kompany
Q17350701,Hasan Koyuncu,male,1981-05-08,11,,,,
Q17350716,Anne Lambelin,female,1987-12-19,11,,,,
Q17350718,Jos Lantmeeters,male,1964-03-30,11,,,,
Q17350734,Dimitri Legasse,male,1970-08-16,11,,,,
Q17350756,Joëlle Maison,female,1968-01-04,11,,,,
Q17350847,Benoît Piedboeuf,male,1959-04-06,11,,,Benoît Piedboeuf .jpg,
Q17350856,Patrick Prévot,male,1983-04-21,11,,,Patrick.Prévot.jpg,
Q17350904,Freya Saeys,female,1984-01-31,11,,,Freya saeys-1453217916.jpg,
Q17350952,Simone Susskind,female,1947-10-19,11,,,,
Q17350963,Sevket Temiz,male,1970-09-01,11,,,,
Q17350983,Barbara d'Ursel de Lobkowicz,female,1957-05-30,11,2017-07-13,11,,Barbara d'Ursel de Lobkowicz
Q17350989,Cieltje Van Achter,female,1979-01-11,11,,,,Cieltje Van Achter
Q17351001,Arnaud Verstraete,male,1979-11-12,11,,,,
Q17351019,Peter Wouters,male,1967-03-22,11,,,Peter Wouters - 2018.jpg,
Q17355270,Charles Gardier,male,1965-09-22,11,,,Charles Gardier.jpg,
Q17428035,Rita Bellens,female,1962-09-29,11,,,Rita Bellens - September 2016 (cropped).jpg,Rita Bellens
Q17428062,Emmanuel Burton,male,1973-01-14,11,,,,
Q17428066,Peter Buysrogge,male,1976-03-15,11,,,,Peter Buysrogge
Q17428073,An Capoen,female,1982-09-20,11,,,,
Q17428129,Inez De Coninck,female,1977-08-10,11,,,,Inez De Coninck
Q17428131,Anne Dedry,female,1956-12-30,11,,,,
Q17428138,Franky Demon,male,1976-06-28,11,,,Franky Demon.jpg,
