id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q104770990,Саrоlуn Тrеnсh-Ѕаndіfоrd,female,,,,,,Carolyn Trench-Sandiford
Q106601151,Froyla Tzalam,female,,,,,Froyla Tzalam 2022.jpg,Froyla Tzalam
Q109930959,Kevin Bernard,male,,,,,,
Q109930990,Anthony Mahler,male,,,,,,
Q109930999,Andre Perez,male,,,,,,
Q109931006,Henry Charles Usher,male,,,,,,
Q110553493,Gustavo Manuel Vasquez,male,,,,,,
Q110553515,Kareem Michael,male,,,,,,
Q16193234,Juan Vildo Marin,male,1959-03-09,11,,,,Juan Vildo Marin
Q16198058,Michel Chebat,male,1969-05-23,11,,,,Michel Chebat
Q16729784,Manuel Heredia,male,1951,9,,,,Manuel Heredia (politician)
Q18684189,Michelle Arana,female,1969,9,,,Michelle Arana (cropped).jpg,Michelle Arana
Q18978033,Joy Grant,female,1951-02-05,11,,,,Joy Grant
Q20640457,Ivan Ramos,male,,7,,,,Ivan Ramos
Q24953636,Hugo Patt,male,,7,,,Hugo Patt 2019.jpg,
Q24953644,Santiago Castillo,male,,7,,,,
Q24953655,Herman Longsworth,male,,7,,,"Herman Longsworth in London, 26 July 2012 (cropped).jpg",
Q24953658,Julius Espat,male,1968,9,,,,Julius Espat
Q24953659,Florencio Marin Jr.,male,,7,,,Florencio Marin Jr (cropped).jpg,
Q24953660,Ramiro Ramirez,male,,7,,,,
Q24953661,Oscar Requena,male,,7,,,,
Q24953677,Marco Tulio Mendez,male,,7,,,,
Q24953679,Michael Espat,male,,7,,,,
Q24953680,Jose Abelardo Mai,male,,7,,,,
Q25354502,Mark King,male,,7,,,,
Q27983601,Omar Figueroa,male,,7,,,,Omar Figueroa (politician)
Q28777204,Laura Tucker-Longsworth,female,,7,,,,Laura Tucker-Longsworth
Q335215,Said Musa,male,1944-03-19,11,,,Said Musa 2007.jpg,Said Musa
Q373552,Colville Young,male,1932-11-20,11,,,Colville Young Embassy 2011 (cropped).jpeg,Colville Young
Q43274,Charles III of the United Kingdom,male,1948-11-14,11,,,"Charles, Prince of Wales in 2021 (cropped) (2).jpg",Charles III
Q4773030,Anthony Martinez,male,1963-07-15,11,,,Anthony Martinez.jpg,Anthony Martinez (politician)
Q5289506,Dolores Balderamos-García,female,1957,9,,,,Dolores Balderamos-García
Q5338849,Edmond Castro,male,1965,9,,,,Edmond Castro
Q5368083,Elvin Penner,male,,7,,,,Elvin Penner
Q5371158,Emil Arguelles,male,1972-07-04,11,,,,Emil Arguelles
Q5396111,Erwin Contreras,male,1966-07-09,11,,,,Erwin Contreras
Q5480967,Francis Fonseca,male,1967-03-11,11,,,Francis Fonseca 2022.jpg,Francis Fonseca
Q5526559,Gaspar Vega,male,,7,,,Gaspar Vega.jpg,Gaspar Vega
Q57701,Dean Barrow,male,1951-03-02,11,,,"Belizean Prime Minister, Dean Barrow in London, 27 June 2013 (cropped).jpg",Dean Barrow
Q58325,Wilfred Elrington,male,,7,,,Wilfred Peter Elrington (cropped).jpg,Wilfred Elrington
Q58896015,Tracy Panton,female,,,,,Tracy Panton (cropped).jpg,
Q58896029,Beverly Williams,female,,,,,,
Q58896037,Elodio Aragon Jr.,,,,,,,
Q58896048,Angel Campos,,,,,,,
Q58896056,Frank Mena,male,,,,,,
Q58896061,Kareem Musa,male,,,,,,Kareem Musa
Q58896069,Cordel Hyde,male,1973-08-20,11,,,Cordel Hyde 2022.jpg,Cordel Hyde
Q58896079,Orlando Habet,male,,,,,,
Q6256510,John Saldivar,male,1967,9,,,John Saldivar (cropped).jpg,John Saldivar (politician)
Q6266369,Johnny Briceño,male,1960-07-17,11,,,Johnny Briceño (52135383761) (cropped).jpg,Johnny Briceño
Q6285230,Joseph Mahmud,male,,7,,,,Joseph Mahmud
Q6389858,Kenneth Benjamin,male,,8,,,Kenneth Benjamin CJ.jpg,Kenneth Benjamin (judge)
Q65329992,Michael Peyrefitte,male,,,,,,
Q6688638,Louise Blenman,female,,,,,,Louise Blenman
Q6830297,Michael Finnegan,male,1951,9,,,,Michael Finnegan (Belizean politician)
Q7121680,Pablo Marin,male,1967,9,,,,Pablo Marin
Q7146470,Patrick Faber,male,1978-03-21,11,,,Patrick Faber (cropped).jpg,Patrick Faber (politician)
Q7312920,Rene Montero,male,1947,9,,,,Rene Montero
Q7357499,Rodwell Ferguson,male,1962,9,,,,Rodwell Ferguson
Q7626757,Stuart Leslie,male,,,,,Stuart Leslie 2022.jpg,Stuart Leslie
Q86003169,Oscar Ruben Requena,male,,,,,,
Q86003400,Elizabeth Zabaneh,female,,,,,,
Q86003939,Orlando Habet,male,,,,,,
Q86003994,Steven Ortega,male,,,,,,
Q9682,Elizabeth II,female,1926-04-21,11,2022-09-08,11,Queen Elizabeth II of New Zealand (cropped).jpg,Elizabeth II
Q97256948,Magali Marin-Young,female,,,,,,
Q97258252,Valerie Woods,female,,,,,Valerie Woods CWP (cropped).png,Valerie Woods
