id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q105423567,Mariam Chabi Talata,female,1963-07-07,11,,,TALATA-01W (cropped).jpg,Mariam Chabi Talata
Q110802146,Jocelyn Degbey,male,,,,,,
Q110812131,Béatrice Lakoussan,female,1943,9,,,,
Q16669148,Patrice Talon,male,1958-05-01,11,,,Patrice Talon at USAID HQ (4) (cropped).jpg,Patrice Talon
Q16840908,Aurélien Agbénonci,male,1958,9,,,Benin's Minister of Foreign Affairs Aurélien Agbénonci - 2016 (cropped).jpg,Aurélien Agbénonci
Q16886636,Nassirou Bako Arifari,male,1962-10-30,11,,,,Nassirou Bako Arifari
Q206719,Mathieu Kérékou,male,1933-09-02,11,2015-10-14,11,Mathieu Kérékou 2006Feb10.JPG,Mathieu Kérékou
Q20810391,Saliou Akadiri,male,1950,9,,,,Saliou Akadiri
Q2831598,Albert Teveodjré,male,1929-11-10,11,2019-11-06,11,Professeur Albert Tévoédjrè.jpg,Albert Tévoédjrè
Q29035,Pascal Koupaki,male,1951-05-01,11,,,,Pascal Koupaki
Q29196,Thomas Boni Yayi,male,1952-07-01,11,,,Yayi Boni.jpg,Thomas Boni Yayi
Q3241966,Lionel Zinsou,male,1954-10-23,11,,,Lionel Zinsou.jpg,Lionel Zinsou
Q3291194,Mariam Aladji Boni Diallo,female,1952,9,,,"Mariam Aladji Boni Diallo August 10, 2012.jpg",Mariam Aladji Boni Diallo
Q3326222,Moussa Okanla,male,1950-09-02,11,2022-03-02,11,,Moussa Okanla
Q3438580,Rogatien Biaou,male,1952-05-19,11,,,,Rogatien Biaou
Q362847,Luc Gnacadja,male,1958-10-19,11,,,Luc Gnacadja UNDP 2009.jpg,Luc Gnacadja
Q4775490,Antoine Idji Kolawolé,male,1946,9,,,,Antoine Idji Kolawolé
Q4979540,Rosine Soglo,female,1934-03-07,11,2021-07-25,11,Rosine Vieyra Soglo.jpg,Rosine Vieyra Soglo
Q5218899,Daniel Tawéma,male,1947-12-31,11,,,,Daniel Tawéma
Q556547,Frédéric Dohou,male,,7,,,Frédéric Dohou Président du RUSTA.jpeg,Frédéric Dohou
Q58254,Jean-Marie Ehouzou,male,1950-09,10,,,Jean-MarieEhouzou.jpg,Jean-Marie Ehouzou
Q6283486,Joseph Gnonlonfoun,male,1943,9,,,,Joseph Gnonlonfoun
Q65133413,Louis Vlavonou,male,1953,9,,,Gbèhounou Louis Vlavonou (2021) (cropped).jpg,Louis Vlavonou
Q6762653,Marie Elise Gbedo,female,1954-12-29,11,,,Marie Elise Gbèdo marraine du un lancement à Cotonou 02 (cropped).jpg,Marie-Elise Gbèdo
Q7396577,Sacca Lafia,male,1952-10-21,11,,,,Sacca Lafia
