catalog,id,name,relationship,relative,relativename
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q16203400,Chimi Yangzom Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q2664053,Jigyel Ugyen Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q4160276,Jigme Dorji Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q4201595,Ugyen Jigme Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q4219759,Kesang Choden Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q4250496,Khamsum Singhye Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q4428770,Sonam Dechan Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q57376,Jigme Khesar Namgyel Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q61832809,Dechen Yangzom Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,child,Q61854576,Euphelma Choden Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,father,Q298020,Jigme Dorji Wangchuck
Bhutan,Q200273,Jigme Singye Wangchuck,mother,Q18049690,Kesang Choden Wangchuk
Bhutan,Q200273,Jigme Singye Wangchuck,spouse,Q2564518,Tshering Yangdon
Bhutan,Q200273,Jigme Singye Wangchuck,spouse,Q2564773,Tshering Pem
Bhutan,Q200273,Jigme Singye Wangchuck,spouse,Q2663795,Sangay Choden
Bhutan,Q200273,Jigme Singye Wangchuck,spouse,Q2670877,Dorji Wangmo
Bhutan,Q209532,Jetsun Pema,child,Q22985938,Jigme Namgyel Wangchuck
Bhutan,Q209532,Jetsun Pema,child,Q96776517,Jigme Ugyen Wangchuck
Bhutan,Q209532,Jetsun Pema,spouse,Q57376,Jigme Khesar Namgyel Wangchuck
Bhutan,Q374296,Sangay Ngedup,sibling,Q2564518,Tshering Yangdon
Bhutan,Q374296,Sangay Ngedup,sibling,Q2564773,Tshering Pem
Bhutan,Q374296,Sangay Ngedup,sibling,Q2663795,Sangay Choden
Bhutan,Q374296,Sangay Ngedup,sibling,Q2670877,Dorji Wangmo
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,child,Q22985938,Jigme Namgyel Wangchuck
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,child,Q96776517,Jigme Ugyen Wangchuck
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,father,Q200273,Jigme Singye Wangchuck
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,mother,Q2564518,Tshering Yangdon
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,sibling,Q2664053,Jigyel Ugyen Wangchuck
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,sibling,Q4160276,Jigme Dorji Wangchuck
Bhutan,Q57376,Jigme Khesar Namgyel Wangchuck,spouse,Q209532,Jetsun Pema
