id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100266256,Gilberto Vergne Saboia,male,1942-05-16,11,,,,
Q100275893,Mary Dayse Kinzo,female,,,,,,
Q100466653,Carlos Antônio Vieira Fernandes,male,1961,9,,,,
Q10260696,Coronel Telhada,male,1961,9,,,Coronel Telhada.jpg,
Q10263709,Dagoberto Nogueira Filho,male,1955-07-21,11,,,Dagoberto Nogueira Filho em abril de 2019.jpg,
Q10263791,Dalmo Ribeiro Silva,male,1949-01-31,11,,,Dalmo Ribeiro (49623044147).jpg,
Q10263827,Damião Feliciano,male,1952-04-28,11,,,Damião Feliciano em fevereiro de 2015.jpg,
Q10263907,Daniel Almeida,male,1955-01-21,11,,,Daniel Almeida - Deputado Federal.jpg,
Q10263927,Daniel Coelho,male,1978-11-04,11,,,Daniel Coelho (cropped).jpg,
Q10264196,Darci Pompeo de Mattos,male,1958-07-12,11,,,Pompeo de mattos.jpg,
Q10264197,Darci de Matos,male,1961-12-08,11,,,Darci de Matos 2020-09 (cropped).jpg,
Q10264359,Davi Alcolumbre,male,1977-06-19,11,,,Foto oficial 2 de Davi Alcolumbre (v. AgSen).jpg,Davi Alcolumbre
Q10264374,David Almeida,male,1969-02-08,11,,,Deputado Estadual David Almeida (Foto anterior).jpg,David Almeida
Q10265152,Deoclides Antonio Santos Neto Macedo,male,1962-12-09,11,,,,
Q10266077,Dias Toffoli,male,1967-11-15,11,,,Toffoli aniversario da constituição.jpg,Dias Toffoli
Q10266194,Diego Andrade,male,1977-08-07,11,,,Diego Andrade em abril de 2019.jpg,Diego Andrade (politician)
Q10266351,Dimas Fabiano Toledo Junior,male,1973-05-23,11,,,Dimas Fabiano (cropped).png,
Q10268117,Domingos Savio,male,1957-03-25,11,,,Domingos Sávio (cropped).png,
Q10269227,Dário Berger,male,1956-12-07,11,,,Plenário do Senado (24188952994).jpg,Dário Berger
Q10269285,Décio Nery de Lima,male,1960-10-01,11,,,CMMPV - Comissões Mistas Medidas Provisórias (40218332764).jpg,
Q10270312,Edison Lobão,male,1936-12-05,11,,,Foto oficial senador Edson Lobão.jpg,Edison Lobão
Q10270449,Edmir Chedid,male,1965-08-06,11,,,,
Q10270476,Edmundo Pereira Santos,male,1943-11-17,11,,,Vice-governador Edmundo Pereira.jpg,
Q10270522,Edson Coelho Araújo,male,1949-07-30,11,,,Edinho Araújo-2015 02 24.jpg,Edson Coelho Araújo
Q10270551,Edson Pimenta,male,1963-12-11,11,,,Deputado Edson Pimenta.jpg,
Q10270611,Eduardo Amorim,male,1963-05-17,11,,,Foto oficial de Eduardo Amorim.jpg,Eduardo Amorim (politician)
Q10270649,Eduardo Cury,male,1963-09-19,11,,,Deputado Federal Eduardo Cury.jpg,
Q10270709,Eduardo Lopes,male,1964-09-19,11,,,Eduardo Lopes senador RJ.jpg,Eduardo Lopes (politician)
Q10270715,Eduardo Luiz Barros Barbosa,male,1958-08-25,11,,,EduardoBarbosa.jpg,
Q10270805,Eduardo da Fonte,male,1972-10-17,11,,,Eduardo da Fonte 2009.jpg,
Q10270995,Efraim Morais Filho,male,1979-03-18,11,,,Dep Efraim Filho.jpg,
Q10271244,Elcione Barbalho,female,1944-10-05,11,,,Elcione Barbalho.jpg,Elcione Zahluth Barbalho
Q10271797,Eli Corrêa Filho,male,1976-01-13,11,,,Eli Corrêa Filho.jpg,Eli Corrêa Filho
Q10271958,Elismar Prado,male,1972-08-12,11,,,,
Q10271991,Eliziane Gama,female,1977-02-27,11,,,Foto oficial de Eliziane Gama.jpg,Eliziane Gama
Q10272988,Enio Verri,male,1961-03-27,11,,,Enio Verri em dezembro de 2017.jpg,
Q10273609,Erika Kokay,female,1957-08-15,11,,,Plenário do Congresso (15827869985).jpg,Erika Kokay
Q10274145,Eros Ferreira Biondini,male,1971-05-20,11,,,Eros Biondini Foto.jpg,Eros Biondini
Q10276383,Estevam Galvão,male,1942-08-15,11,,,,
Q10278180,Eugênio José Zuliani,male,1976-01-13,11,,,,
