catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Brazil,President,Luiz Inácio Lula da Silva,Q37181,2023-01-01,male,1945-10-27,,Luiz Inácio Lula da Silva (2023) (cropped).jpg,Luiz Inácio Lula da Silva
Brazil,Vice President,Geraldo Alckmin,Q964493,2023-01-01,male,1952-11-07,,Geraldo Alckmin 2023 (cropped).jpg,Geraldo Alckmin
Brazil,Minister of Agrarian Development,Paulo Teixeira,Q10346852,2023-01-01,male,1961-05-06,,Paulo Teixeira deputado federal.jpg,Paulo Teixeira (politician)
Brazil,Minister of Agriculture,Carlos Fávaro,Q23892850,2023-01-01,male,1969-10-18,,Carlos Fávaro (cropped).jpg,Carlos Fávaro
Brazil,Minister of Cities,Jader Barbalho Filho,Q115945653,2023-01-01,male,1980-10-04,,"02.01.2023 - Posse de Jader Filho, Ministro de Estado das Cidades (52626809793) (cropped).jpg",Jader Barbalho Filho
Brazil,Minister of Communications,Juscelino Filho,Q25175938,2023-01-01,male,1984-11-06,,Deputado Federal visita o MCTIC (49653154056).jpg,Juscelino Filho
Brazil,Minister of Culture,Margareth Menezes,Q273347,2023-01-01,female,1962-10-13,,Canaval 2010 - Margareth Menezes no trio Afropopbrasileiro.jpg,Margareth Menezes
Brazil,Minister of Defence,José Múcio Monteiro,Q10310181,2023-01-01,male,1948-09-25,,Jose mucio monteiro ministro.jpg,José Múcio
Brazil,Minister of the Environment,Marina Silva,Q237693,2023-01-01,female,1958-02-08,,(2022-09-14) Marina Silva 5 (52361148058) (cropped 2).jpg,Marina Silva
Brazil,Minister of Education,Camilo Santana,Q18242106,2023-01-01,male,1968-03-06,,Camilo Santana.jpg,Camilo Santana
Brazil,Minister of External Relations,Mauro Vieira,Q18708068,2023-01-01,male,1951-02-15,,CRE - Comissão de Relações Exteriores (16893650986).jpg,Mauro Vieira
Brazil,Minister of Finance,Fernando Haddad,Q3069485,2023-01-01,male,1963-01-25,,Fernando Haddad Prefeito 2016.jpg,Fernando Haddad
Brazil,Minister of Fishing and Aquaculture,André de Paula,Q16490361,2023-01-01,male,1961-07-22,,"02.01.2023 - Posse de André de Paula, Ministro de Estado da Pesca e Aquicultura (52625774842) (cropped).jpg",André de Paula
Brazil,Minister of Health,Nísia Trindade Lima,Q96741667,2023-01-01,female,1958-01-17,,Nísia Trindade Lima.jpg,Nísia Trindade
Brazil,Minister of Human Rights,Silvio de Almeida,Q96591139,2023-01-01,male,1976,,"02.01.2023 - Posse de Silvio Almeida, Ministro de Estado dos Direitos Humanos e Cidadania (52626896288) (cropped).jpg",Silvio Almeida
Brazil,Minister of Indigenous Peoples,Sônia Guajajara,Q23904989,2023-01-01,female,1974-03-06,,"11.01.2023 - Cerimônias de assunção nos cargos das ministras da Igualdade Racial, Anielle Franco, e dos Povos Indígenas, Sônia Guajajara (52650320567) (cropped).jpg",Sônia Guajajara
Brazil,"Minister of Industry, Foreign Trade and Services",Geraldo Alckmin,Q964493,2023-01-01,male,1952-11-07,,Geraldo Alckmin 2023 (cropped).jpg,Geraldo Alckmin
