id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q103075013,Metodi Teoharov,male,1948-08-12,11,,,,
Q105847193,Polina Shishkova,female,1986,9,,,,
Q105978600,Tasko Ermenkov,male,1955-10-04,11,,,,
Q1060355,Simeon II of Bulgaria,male,1937-06-16,11,,,Simeon Vtori Popovo crop.jpg,Simeon Saxe-Coburg-Gotha
Q106390227,Vladislav Panev,male,1976-04-06,11,,,,Vladislav Panev
Q106428837,Stela Nikolova,female,1973-11-06,11,,,Stela Nikolova.jpg,
Q106506383,Mika Zaykova,female,1942-02-02,11,,,,
Q106506653,Iva Miteva,female,1972-10-25,11,,,20210415045023 KR7189.jpg,Iva Miteva
Q106521627,Manol Peykov,male,1970-07-17,11,,,,
Q106634347,Mukaddes Nalbant,female,1958-03-15,11,,,,
Q106801369,Atanas Pekanov,male,1991,9,,,,
Q106809260,Asen Lichev,male,1952,9,,,,
Q106812725,Svetlan Stoev,male,1960-08-30,11,,,,Svetlan Stoev
Q106839185,Iglika Iwanowa,female,1957-04-25,11,,,,
Q106918185,Georgi Todorov,male,1972-05-06,11,,,,
Q106925428,Violeta Komitova,female,1957-03-18,11,,,Официален портрет на Виолета Комитова.jpg,
Q106928258,Kiril Petkov,male,1980-04-17,11,,,Kiril Petkov 2021 (cropped).jpg,Kiril Petkov
Q106928598,Andrey Zhivkov,male,1971,9,,,,
Q106928671,Andrej Kuzmanow,male,1959-03-04,11,,,,
Q107001789,Alexandar Simidchiev,male,1962-04-23,11,,,,
Q107029920,Andrey Chorbanov,male,1967-06-01,11,,,Prof. Andrey Tchorbanov (cropped).jpg,
Q107352296,Manoil Manev,male,1969-06-23,11,,,,
Q107713780,Plamen Nikolov,male,1977-07-29,11,,,PlamenNikolovBR.jpg,Plamen Nikolov (politician)
Q107920072,Mincho Kuminev,male,1962-06-27,11,,,,
Q108485022,Rositsa Kirova,female,1970-01-01,11,,,,
Q108558965,Daniela Vezieva,female,1967-10-16,11,,,,
Q108559993,Atanas Slavov,male,1979-12-03,11,,,,
Q108560298,Valeri Belchev,male,1974-09-06,11,,,,
Q108661489,Gyunay Hyusmen,male,1966-05-11,11,,,,
Q108716566,Ulyana Bogdanska,female,,,,,,
Q108866960,Daniel Lorer,male,1976-05-28,11,,,Daniel Lorer.jpg,
Q109467177,Ivan Demerdzhiev,male,1975,9,,,,
Q10987961,Nona Yotova,female,1966-10-25,11,,,Nona Yotova.jpg,
Q109918947,Nikola Minchev,male,1987-09-13,11,,,Official Portrait of Nikola Minchev.png,Nikola Minchev
Q110065845,Hristo Prodanov,male,1977-03-24,11,,,,
Q110070893,Kalina Konstantinova,female,1984-05-18,11,,,,Kalina Konstantinova
Q110070915,Ivan Ivanov,male,1975-08-13,11,,,,
Q110071439,Grozdan Karadjov,male,1966-12-14,11,,,Grozdan Karadjov.jpg,Grozdan Karadzhov
Q110088824,Bozhidar Bozhanov,male,1987-08-19,11,,,Bozhidar-Bozhanov.jpg,
Q110089977,Teodora Genchovska,female,1971-05-23,11,,,,
Q110090126,Atanas Atanasov,male,1990-04-03,11,,,,
Q110153814,Nikolay Sabev,male,1960-09-24,11,,,,Nikolay Sabev
Q110153983,Asena Serbezova,female,1973-03-30,11,,,,Assena Serbezova
Q110153990,Nadezhda Yordanova,female,1973-03-06,11,,,,Nadezhda Yordanova
Q110153996,Radostin Vasilev,male,1985-01-01,11,,,Радостин Василев.jpg,
Q110161124,Tsveta Galunova,female,1995-08-04,11,,,,
Q110161218,Stoyan Taslakov,male,1987-03-25,11,,,,
Q110161226,Ivo Ruschev,male,1978-11-27,11,,,,
Q110161233,Petur Petrov,male,1983-03-14,11,,,,
Q110161241,Daniel Petrov,male,1980-04-26,11,,,,
Q110161244,Iskra Mihaylova,female,1982-09-29,11,,,,
Q110161250,Nikolay Drenchev,male,1968-09-30,11,,,,
Q110161256,Nikola Dimitrov,male,1990-11-17,11,,,,
Q110161259,Georgi Georgiev,male,1979-07-13,11,,,,
Q110161262,Angel Georgiev,male,1988-04-08,11,,,,
Q110161267,Tsoncho Ganev,male,1979-03-11,11,,,,
Q110167708,Denitsa Simeonova,female,1992-05-04,11,,,,
Q110208748,Dzheyhan Ibryamov,male,1977-01-28,11,,,,
Q110209486,Aleksandra Milcheva,female,1988-07-23,11,,,,
Q110210232,Antoniya Dimitrova,female,1989-08-16,11,,,,
Q110211274,Ivan Ganchev,male,1989-04-12,11,,,,
Q110261603,Silvi Petrov,male,1950-12-17,11,,,,
Q110261778,Svetoslav Kolev,male,1984-07-27,11,,,,
Q110261788,Sasho Penov,male,1960-07-27,11,,,,
Q110262288,Elena Guncheva,female,1971-01-07,11,,,,
Q110262317,Radomir Cholakov,male,1964-10-17,11,,,,
Q110262360,Desislava Trifonova,female,1985-11-07,11,,,,
Q110262369,Imren Mehmedova,female,1990-05-03,11,,,,
Q110262377,Blagovest Kirilov,male,1986-10-12,11,,,,
Q110262378,Lena Borislavova,female,1989-10-08,11,,,,
Q110262382,Nastimir Ananiev,male,1975-07-17,11,,,,
Q110262384,Asen Baltov,male,1966-09-19,11,,,,
Q110311423,Ilko Stoyanov,male,1970-06-08,11,,,,
Q110313525,Andrey Gyurov,male,1975-12-31,11,,,,
Q110313980,Vladimir Tabutov,male,1983-08-25,11,,,,
Q110314311,Ekaterina Dimitrusheva,female,1990-11-13,11,,,,
Q110314528,Stefan Apostolov,male,1988-02-28,11,,,,
Q110314656,Elhan Kalkov,male,1973-10-26,11,,,,
Q110315240,Kostadin Stoykov,male,1980-04-02,11,,,,
Q110315253,Ivan Dimitrov,male,1973-04-12,11,,,,
Q110367205,Nahit Zia,male,1951-10-26,11,2017-07-08,11,,
Q110637666,Vladimir Dzhaferov,male,1948-08-21,11,2008-11-18,11,,
Q110872627,Aleksandra Korcheva,female,1992-02-16,11,,,,
Q110878526,Aleksandur Dunchev,male,1979-07-13,11,,,,
Q110879126,Aleksandur Rakshiev,male,1988-08-19,11,,,,
Q110879782,Anton Tonev,male,1981-01-31,11,,,,
Q110880012,Atanas Mihnev,male,1991-08-23,11,,,,
Q110881376,Blagovest Belev,male,1963-10-09,11,,,,
Q110886536,Bogomil Petkov,male,1966-10-04,11,,,,
Q110889065,Tatyana Siveva,female,1976-02-03,11,,,,
Q110890229,Borislav Antonov,male,1986-04-11,11,,,,
Q110890421,Vasil Stefanov,male,1993-11-26,11,,,,
Q110891500,Venetsiya Angova,female,1989-12-01,11,,,,
Q110896293,Venko Sabrutev,male,1984-08-06,11,,,,
