catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Burundi,President,Évariste Ndayishimiye,Q27329764,2020-06-18,male,1968-06-17,,Evariste Ndayishimiye (cropped).jpg,Évariste Ndayishimiye
Burundi,Vice-President,Prosper Bazombanza,Q96695249,2020-06-23,male,,,Vice President of Burundi Prosper Bazombanza.png,Prosper Bazombanza
Burundi,Prime Minister,Gervais Ndirakobuca,Q107136851,2022-09-07,male,,,,Gervais Ndirakobuca
Burundi,"Minister of Commerce, Transport, Industry and Tourism",Immaculate Ndabaneze,Q108709974,2020-06-28,female,1972,,,Immaculate Ndabaneze
Burundi,"Minister of Communication, Information Technology and Media",Marie Chantal Nijimbere,Q108421869,2020-06-28,female,1983,,,Marie Chantal Nijimbere
Burundi,Minister of Defence,Alain Mutabazi,Q107135910,2020-06-28,male,,,,Alain Mutabazi
Burundi,"Minister of East African Community Affairs, Youth, Sports and Culture",Ezekiel Nibigira,Q114296994,2020-06-28,,,,,
Burundi,Minister of Education,Gaspard Banyankimbona,Q21387910,2020-06-28,male,,,,
Burundi,"Minister of Environment, Agriculture and Livestock",Sanctus Niragira,Q114297331,2022-09-08,male,,,,
Burundi,Minister of Finance,Audace Niyonzima,Q114297218,2022-09-08,male,,,,
Burundi,Minister of Foreign Affairs,Albert Shingiro,Q107361984,2020-06-30,male,,,Burundian Minister of Foreign Affairs Albert Shingiro.png,Albert Shingiro
Burundi,Minister of Health,Thaddée Ndikumana,Q112034028,2020-06-28,male,,,,
Burundi,"Minister of Infrastructure, Equipment and Social Housing",Dieudonne Dukundane,Q114297300,2022-09-08,male,,,,
Burundi,Minister of Internal Affairs,Martin Niteretse,Q114297339,2022-09-08,male,,,,
Burundi,Minister of Justice,Jeanine Nibizi,Q114296995,2020-06-28,,,,,
Burundi,"Minister of National Solidarity, Social Affairs, Human Rights and Gender",Imelde Sabushimike,Q107369210,2020-06-28,female,,,,Imelde Sabushimike
Burundi,"Minister of Public Services, Labour & Employment",Deo Rusengwamihigo,Q114297322,2022-09-08,male,,,,
Burundi,"Minister of Water, Energy and Minerals",Ibrahim Uwizeye,Q108708805,2020-06-28,male,1972,,,Ibrahim Uwizeye
Burundi,President of the National Assembly,Gelase Ndabirabe,Q113847468,2020-08-07,male,,,,Gelase Ndabirabe
