catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Cameroon,President,Paul Biya,Q57272,1982-11-06,male,1933-02-13,,Paul Biya 2014.png,Paul Biya
Cameroon,Prime Minister,Joseph Ngute,Q60441515,2019-01-04,male,1954-03-12,,Nguté May 2019 (cropped).jpg,Joseph Ngute
Cameroon,Minister of State,Laurent Esso,Q3219209,2006-09-22,male,1942-08-10,,,Laurent Esso
Cameroon,Minister of State,Bello Bouba Maigari,Q816014,2011-12-09,male,1947,,,Bello Bouba Maigari
Cameroon,Minister of State,Jacques Fame Ndongo,Q24690649,2019-01-04,male,1950-11-15,,Jacques Fame Ndongo.jpg,
Cameroon,Minister of State,Ferdinand Ngoh Ngoh,Q64019739,2019-01-04,male,,,,
Cameroon,Minister of Agriculture and Rural Development,Gabriel Mbairobe,Q109801616,2019-01-04,male,,,,
Cameroon,Minister of Arts and Culture,Pierre Ismaël Bidoung Kpwatt,Q24951313,2019-01-04,male,1953-11,,PaulineNguene.jpg,
Cameroon,Minister of Basic Education,Laurent Serge Etoundi Ngoa,Q24175623,2019-01-04,male,1955-03-01,,Laurent Serge Etoundi.jpg,
Cameroon,Minister of Communication,René Sadi,Q3426865,2019-01-04,male,1948-12-21,,,René Sadi
Cameroon,Minister of Decentralization and Local Development,Georges Elanga Obam,Q109801724,2019-01-04,male,1961-10-21,,,
Cameroon,"Minister of Economy, Planning and Regional Development",Alamine Ousmane Mey,Q23017346,2018-03-02,male,1966-02-26,,Alamine Ousmane Mey (cropped).JPG,
Cameroon,Minister of Employment and Vocational Training,Issa Tchiroma,Q6087995,2019-01-04,male,1949,,Issa Tchiroma 2018.jpg,Issa Tchiroma
Cameroon,Minister of Energy and Water Ressources,Gaston Eloundou Essomba,Q109801766,2019-01-04,male,,,,
Cameroon,"Minister of Environment, Protection of Nature and Sustainable Development",Pierre Hélé,Q7192268,2004-12-08,male,1946,,,Pierre Hélé
Cameroon,Minister of Finance,Louis-Paul Motazé,Q6686503,2018-03-02,male,1959-01-31,,,Louis-Paul Motazé
Cameroon,Minister of Foreign Affairs,Lejeune Mbella Mbella,Q16654676,2015-10-02,male,1949-07-09,,,
Cameroon,Minister of Forestry and Wildlife,Jules Doret Ndongo,Q24951248,2018-03-02,male,,,,
Cameroon,Minister of Health,Manaouda Malachie,Q109804040,2019-01-04,male,,,,
Cameroon,Minister of Higher Education,Jacques Fame Ndongo,Q24690649,2004-12-09,male,1950-11-15,,Jacques Fame Ndongo.jpg,
Cameroon,Minister of Housing and Urban Development,Célestine Ketcha Courtès,Q23021233,2019-01-04,female,1964-10-13,,Célestine Ketcha Courtès - 2016 (cropped).jpg,Célestine Ketcha Courtès
Cameroon,Minister of Justice,Laurent Esso,Q3219209,2011-12-09,male,1942-08-10,,,Laurent Esso
Cameroon,Minister of Labour and Social Security,Grégoire Owona,Q5612774,2011-12-09,male,1950,,,Grégoire Owona
Cameroon,Minister of Livestock Fisheries and Animal Industries,Dr Taïga,Q109801746,2019-01-04,male,1960-04-19,,,
Cameroon,"Minister of Mines, Industries and Technological Development",Gabriel Dodo Ndoke,Q109804006,2011-12-09,male,,,,
Cameroon,Minister of Posts and Telecommunications,Minette Libom Li Likeng,Q24951271,2015-10-02,female,1959-03-04,,Minette Libom Li Likeng (cropped).jpg,
Cameroon,Minister of Public Service and Administrative Reforms,Joseph Le,Q109803969,2019-01-04,male,,,,
Cameroon,Minister of Public Works,Emmanuel Nganou Djoumessi,Q23011372,2015-10-02,male,1957-11-05,,,
Cameroon,Minister of Scientific Research and Innovation,Madeleine Tchuente,Q23816327,2004-12-09,female,,,Madeleine Tchunite (cropped).jpg,
Cameroon,Minister of Secondary Education,Pauline Nalova Lyonga,Q56224456,2018-03-02,female,,,,Pauline Nalova Lyonga
Cameroon,"Minister of Small and Medium Sized Enterprises, Social Economy and Handicrafts",Achille Bassilekin III,Q108038959,2019-01-04,male,1969-03-20,,Achille Bassileken III.jpg,
Cameroon,Minister of Social Affairs,Pauline Irène Nguene,Q23816326,2015-10-02,female,,,PaulineIreneNguene.jpg,Pauline Irene Nguene
