catalog,id,name,relationship,relative,relativename
Canada,Q1249752,Mel Lastman,child,Q16728342,Dale Lastman
Canada,Q128529,Paul Martin,father,Q524772,Paul Joseph James Martin
Canada,Q128529,Paul Martin,spouse,Q3481745,Sheila Martin
Canada,Q128543,Jean Chrétien,child,Q21483285,Hubert Chrétien
Canada,Q128543,Jean Chrétien,child,Q5478272,France Chrétien Desmarais
Canada,Q128543,Jean Chrétien,child,Q6836336,Michel Chrétien
Canada,Q128543,Jean Chrétien,father,Q96241739,Willie Chrétien
Canada,Q128543,Jean Chrétien,mother,Q96241812,Marie Boisvert
Canada,Q128543,Jean Chrétien,relative,Q3420759,Raymond Chrétien
Canada,Q128543,Jean Chrétien,sibling,Q3309276,Michel Chrétien
Canada,Q128543,Jean Chrétien,spouse,Q2837024,Aline Chrétien
Canada,Q128574,Joe Clark,child,Q5052592,Catherine Clark
Canada,Q128574,Joe Clark,spouse,Q4410540,Maureen McTeer
Canada,Q128933,Michaëlle Jean,spouse,Q3087911,Jean-Daniel Lafond
Canada,Q1382032,Frank Mahovlich,sibling,Q432389,Peter Mahovlich
Canada,Q1607747,Amir Khadir,spouse,Q71977944,Nimâ Machouf
Canada,Q16243873,Hélène David,father,Q3370985,Paul David
Canada,Q16243873,Hélène David,mother,Q58468244,Nellie Maillard
Canada,Q16243873,Hélène David,sibling,Q2093379,Pierre David
Canada,Q16243873,Hélène David,sibling,Q2958279,Charles-Philippe David
Canada,Q16243873,Hélène David,sibling,Q3086459,Françoise David
Canada,Q16536539,Catherine Dorion,father,Q74032615,Louis Dorion
Canada,Q16536539,Catherine Dorion,mother,Q74033024,Claudette Brasseur
Canada,Q1677183,Jack Ramsay,child,Q100390635,John G. Ramsay
Canada,Q169303,Rob Ford,father,Q5300479,Doug Ford Sr.
Canada,Q169303,Rob Ford,relative,Q24663887,Michael Ford
Canada,Q169303,Rob Ford,sibling,Q39503265,Kathy Stirpe
Canada,Q169303,Rob Ford,sibling,Q39503489,Randy Ford
Canada,Q169303,Rob Ford,sibling,Q5300478,Doug Ford
Canada,Q169303,Rob Ford,spouse,Q39503985,Renata Ford
Canada,Q17305769,Arnold Chan,spouse,Q45311888,Jean Yip
Canada,Q1840895,Erin O'Toole,father,Q14949607,John O'Toole
Canada,Q1849355,Mike Scott,partner,Q2935027,Camille O'Sullivan
Canada,Q1849355,Mike Scott,spouse,Q11281593,Megumi Igarashi
Canada,Q1873388,Lucien Bouchard,sibling,Q3123783,Gérard Bouchard
Canada,Q1892814,Thomas Mulcair,father,Q67152995,Harry Donnelly Mulcair
Canada,Q1892814,Thomas Mulcair,mother,Q67153065,Jeanne Hurtubise
