catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Colombia,President,Iván Duque,Q17478000,2018-08-07,male,1976-08-01,,Secretary Pompeo Delivers a Press Statement with Colombian President Duque (50369491081) (cropped) (cropped).jpg,Iván Duque
Colombia,Vice President,Marta Lucía Ramírez,Q6774142,2018-08-07,female,1954-07-04,,Marta Lucía Ramírez.jpg,Marta Lucía Ramírez
Colombia,Minister of Agriculture and Rural Development,Rodolfo Enrique Zea,Q85147365,2020-02-24,male,1966-09-01,,Ministro Rodolfo Zea.jpg,
Colombia,"Minister of Commerce, Industry and Tourism",María Ximena Lombana Villalba,Q106907432,2021-05-19,female,,,,
Colombia,Minister of Culture,Angélica Mayolo Obregón,Q106942187,2021-05-21,female,1990-01-06,,Korea Colombia Culture Minister Meeting 04.jpg,
Colombia,Minister of Defence,Diego Molano,Q5806403,2021-02-01,male,1970,,Diego Molano.jpg,Diego Molano Aponte
Colombia,Minister of Education,María Victoria Angulo González,Q55813992,2018-08-07,female,1980-06-20,,Maria Victoria Angulo Gonzalez.jpg,
Colombia,Minister of the Environment,Carlos Eduardo Correa Escaf,Q17624238,2020-10-04,male,1973-04-26,,Carlos Eduardo Correa.jpg,
Colombia,Minister of Finance and Public Credit,José Manuel Restrepo Abondano,Q55813470,2021-05-03,male,1969,,José Restrepo.png,José Manuel Restrepo Abondano
Colombia,Minister of Foreign Affairs,Marta Lucía Ramírez,Q6774142,2021-05-19,female,1954-07-04,,Marta Lucía Ramírez.jpg,Marta Lucía Ramírez
Colombia,Minister of Health and Social Protection,Eduardo Rodríguez Pérez,Q88549792,2020-03-03,male,1958-10-31,,Fernando Ruiz Gómez.jpg,
Colombia,Minister of Housing,Jonathan Malagón,Q55815245,2018-08-07,male,1984-08-10,,JonathanMalagon-MinistroVivienda.jpg,
Colombia,Minister of Information Technology and Communications,Carmen Ligia Valderrama Rojas,Q108748143,2021-09-28,female,,,Articles-118039 foto perfil.jpg,
Colombia,Minister of the Interior,Daniel Palacios,Q106515173,2020-12-22,male,1982,,Daniel Palacios.jpg,
Colombia,Minister of Justice and Law,Wilson Ruiz Orejuela,Q17478258,2020-10-05,male,,,,
Colombia,Minister of Labour,Ángel Custodio Cabrera,Q19788638,2020-02-07,male,1956-07,,,
Colombia,Minister of Mining and Energy,Diego Mesa Puyo,Q96674931,2020-07-01,male,1982,,,
Colombia,"Minister of Science, Technology, and Innovation",Tito José Crissien,Q16640522,2021-06-04,male,1975-11-22,,,
Colombia,Minister of Sport,Guillermo Herrera Castaño,Q107447180,2021-07-14,male,,,"Guillermo Herrera, mindeporte Colombia 2022.jpg",
Colombia,Minister of Transport,Ángela María Orozco,Q55815741,2018-08-07,female,1958,,Ángela María Orozco.png,
Colombia,President of the Senate,Juan Diego Gómez,Q17478056,2021-07-20,male,1975-11-26,,Juan diego nueva.jpg,
Colombia,President of the Chamber of Representatives,Jennifer Arias Falla,Q107589178,2021-07-20,female,1987-01-13,,,Jennifer Arias
Colombia,Governor of the Central Bank,Leonardo Villar Gómez,Q104783211,2021-01-04,male,,,,
Colombia,General Commander of the Military Forces,Luis Fernando Navarro Jiménez,Q59663279,2018-12-14,male,1960,,General Luis Navarro Jiménez.png,Luis Fernando Navarro Jiménez
Colombia,Mayor of Bogota,Claudia López Hernández Ganso,Q5771765,2019-10-28,female,1970-03-09,,Claudia López.png,Claudia López Hernández
