catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Comoros,President,Azali Assoumani,Q515602,2019-05-26,male,1959-01-01,,President Azali Assoumani.jpg,Azali Assoumani
Comoros,Minister of Agriculture,Houmed M'Saidié Ahmed,Q114568420,2021-08-26,male,,,,
Comoros,Minister of Economy,Ahmed Ali Bazi,Q114566893,2022-05-09,male,,,,
Comoros,Minister of Education,Takiddine Youssouf,Q114566901,2022-05-09,male,,,,
Comoros,"Minister of Energy, Water, and Hydrocarbons",Ali Ibouroi,Q114566894,2021-08-28,male,,,,
Comoros,Minister of Finance,Aboudou Mohamed Chanfiou,Q114566891,2022-05-09,male,,,,
Comoros,Minister of Foreign Affairs,Dhoihir Dhoulkamal,Q113555299,2020,male,,,,
Comoros,Minister of Health,Loub Yacout Zaïdou,Q100364484,2019-06-22,female,1961,,,Loub Yacout Zaïdou
Comoros,Minister of Internal Affairs,Mahamoud Fakridine,Q114566898,2021-08-28,male,,,,
Comoros,Minister of Justice,Djaé Ahamada Chanfi,Q114568395,2021-08-28,male,,,,
Comoros,Minister of Land Development and Town Planning,Afretane Yssoufa,Q114566892,2021-08-28,male,,,,
Comoros,Minister of Maritime and Air Transportation,Bianrifi Tarmidi,Q855447,2022-05-09,male,1958-03-15,,,Bianrifi Tarmidi
Comoros,"Minister of Posts, Telecommunications and the Digital Economy",Kamaldini Souef,Q114566896,2022-05-09,male,,,,
Comoros,"Minister of Youth, Labour, Employment, Sports, Arts and Culture",Djaffar Salim,Q114566895,2022-05-09,male,,,,
Comoros,President of the Assembly of the Union,Moustadroine Abdou,Q28370112,2020-04-05,male,1969-06-14,,,Moustadroine Abdou
Comoros,Secretary-General of the Government,Daniel Ali Bandar,Q114568452,2022-05-09,male,,,,
Comoros,Secretary of State in charge of Cooperation,Kassim Loutfi,Q114566897,2021-08-28,,,,,
Comoros,Secretary of State in charge of Tourism and Handicrafts,Moctar Ould Dada Hamdane,Q114566899,2021-08-28,,,,,
