catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Congo-Brazzaville,President,Denis Sassou-Nguesso,Q57418,1997-10-25,male,1943-11-23,,Denis Sassou Nguesso 2014.jpg,Denis Sassou Nguesso
Congo-Brazzaville,Prime Minister,Anatole Collinet Makosso,Q4752077,2021-05-12,male,1965,,,Anatole Collinet Makosso
Congo-Brazzaville,Vice-Prime Minister,Firmin Ayessa,Q5452128,2017-08-22,male,1951-11-02,,Firmin Ayessa - 2018 (cropped).png,Firmin Ayessa
Congo-Brazzaville,Minister of Agriculture,Henri Djombo,Q5715430,2016-04-30,male,1952,,Henri Djombo - Salon du livre de Paris 2015.jpg,Henri Djombo
Congo-Brazzaville,Minister of Civic Education,Destinée Ermela Doukaga,Q48778190,2016-04-30,female,1983-10-08,,,Destinée Doukaga
Congo-Brazzaville,Minister of Commerce,Claude Alphonse Nsilou,Q5128679,2017-08-22,male,1954,,,Claude Alphonse Nsilou
Congo-Brazzaville,Minister of Communications,Thierry Moungalla,Q19819308,2015-08-11,male,1965-04-15,,Thierry Moungalla (cropped).jpg,
Congo-Brazzaville,Minister of Construction,Josué Rodrigue Ngouonimba,Q55807584,2017-08-22,male,1963-02-17,,,
Congo-Brazzaville,Minister of Culture and Arts,Dieudonné Moyongo,Q59676765,2017-08-22,male,1958-12-21,,,
Congo-Brazzaville,Minister of Economy,Gilbert Ondongo,Q5561139,2017-08-22,male,1960-11,,Congolese Finance Minister (6498524327) (cropped).jpg,Gilbert Ondongo
Congo-Brazzaville,Minister of Education,Anatole Collinet Makosso,Q4752077,2015-08-11,male,1965,,,Anatole Collinet Makosso
Congo-Brazzaville,Minister of Education,Nicéphore Fylla de Saint-Eudes,Q57464277,2016-04-30,male,1956,,,
Congo-Brazzaville,Minister of Energy,Serge Blaise Zoniaba,Q26266432,2016-04-30,male,,,,
Congo-Brazzaville,Minister of Equipment,Emile Ouosso,Q24147892,2017-08-22,male,,,,
Congo-Brazzaville,Minister of Finance,Calixte Ganongo,Q24150698,2017-08-22,male,,,Calixte Nganongo - 2017 (cropped).jpg,Calixte Ganongo
Congo-Brazzaville,Minister of Foreign Affairs,Jean-Claude Gakosso,Q15046890,2015-08-10,male,1957-07-25,,Jean-Claude Gakosso (2015) (cropped).jpg,Jean-Claude Gakosso
Congo-Brazzaville,Minister of Forestry,Rosalie Matondo,Q24176158,2017-08-22,female,1963-04-18,,Rosalie Matondo (cropped).jpg,Rosalie Matondo
Congo-Brazzaville,Minister of Health,Jacqueline Lydia Mikolo,Q24175564,2017-08-22,female,1972,,Jacqueline Lydia Mikolo - 2020 (cropped).jpg,Jacqueline Lydia Mikolo
Congo-Brazzaville,Minister of Higher Education,Bruno Itoua,Q4979263,2016-04-30,male,1956-10-06,,,Bruno Itoua
Congo-Brazzaville,Minister of Hydrocarbons,Jean-Marc Thystère-Tchicaya,Q26689539,2015-08-11,male,1964-04-11,,Jean-Marc Thystère-Tchicaya - 2017 (cropped).jpg,
Congo-Brazzaville,Minister of Interior,Raymond Mboulou,Q7299001,2017-08-22,male,1956-03-19,,"Raymond Mboulou, July 2016.jpg",Raymond Mboulou
Congo-Brazzaville,Minister of Justice,Aimé Ange Wilfrid Bininga,Q50379869,2017-08-22,male,,,Aimé Ange Wilfrid Bininga (cropped).jpg,
Congo-Brazzaville,Minister of Land,Pierre Mabiala,Q7192339,2017-08-22,male,1962-10-15,,Pierre Mabiala 2016 (cropped).jpg,Pierre Mabiala
Congo-Brazzaville,Minister of Mines,Pierre Oba,Q3386464,2005-01-07,male,1953-07-17,,Pierre Oba - 2017 (cropped).jpg,Pierre Oba
Congo-Brazzaville,Minister of National Defence,Charles Richard Mondjo,Q5082018,2012-09-25,male,1954-01-28,,Charles Richard Mondjo - 2019 (cropped).jpg,Charles Richard Mondjo
Congo-Brazzaville,Minister of Planning,Ingrid Ebouka-Babackas,Q26237842,2017-08-22,female,,,,Ingrid Ebouka-Babackas
Congo-Brazzaville,Minister of Posts and Telecommunications,Léon Juste Ibombo,Q40770924,2016-04-30,male,1968-11-30,,Léon Juste Ibombo (cropped).jpg,
Congo-Brazzaville,Minister of Regional Planning,Jean-Jacques Bouya,Q6169352,2012-09-25,male,1962-05-24,,,Jean-Jacques Bouya
Congo-Brazzaville,Minister of Small and Medium Enterprises and Handicrafts,Adélaïde Moundélé-Ngollo,Q4686987,2007-12-30,female,1944,,,Adélaïde Moundélé-Ngollo
Congo-Brazzaville,Minister of Social Affairs,Antoinette Dinga-Dzondo,Q61415246,2016-04-30,female,1955-04-16,,Antoinette Dinga Dzondo - 2017 (cropped).png,Antoinette Dinga Dzondo
Congo-Brazzaville,Minister of Special Economic Zones,Gilbert Mokoki,Q33026718,2017-08-22,male,1949-08-28,,Gilbert Mokoki - June 2017 (cropped).jpg,
Congo-Brazzaville,Minister of Sports,Hugues Ngouelondélé,Q3142653,2017-08-22,male,1961-11-30,,,Hugues Ngouelondélé
Congo-Brazzaville,Minister of Tourism,Arlette Soudan-Nonault,Q26254130,2017-08-22,female,,,Arlette Soudan-Nonault - 2019.png,Arlette Soudan-Nonault
Congo-Brazzaville,Minister of Transport,Fidèle Dimou,Q5446833,2017-08-22,male,1957-09-21,,Fidèle Dimou - 2019 (49167160728) (cropped).jpg,Fidèle Dimou
Congo-Brazzaville,Minister without Portfolio,Florent Ntsiba,Q5460873,2017-08-22,male,1949-08-17,,,Florent Ntsiba
