id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q111575999,Guillermo Vázquez Moreno,male,1950-09-19,11,,,,
Q11256,Fidel Castro,male,1926-08-13,11,2016-11-25,11,Fidel Castro Pirbadet.jpg,Fidel Castro
Q1343579,Felipe Pérez Roque,male,1965-03-28,11,,,"Felipe Pérez Roque (Havanna, Sep 2006).jpg",Felipe Pérez Roque
Q1345182,Ricardo Alarcón,male,1937-05-21,11,2022-04-30,11,"Ricardo Alarcon (TV Brasil, 2008).jpg",Ricardo Alarcón
Q1709592,José Ramón Balaguer,male,1932-06-06,11,2022-07-15,11,,José Ramón Balaguer
Q1932603,Miguel Díaz-Canel,male,1960-04-20,11,,,Miguel Díaz-Canel (cropped).jpg,Miguel Díaz-Canel
Q253736,Mariela Castro Espín,female,1962-07-27,11,,,Mariela Castro.jpg,Mariela Castro
Q313729,Juan Almeida Bosque,male,1927-02-17,11,2009-09-11,11,Juan Almeida Bosque.jpg,Juan Almeida Bosque
Q46809,Raúl Castro,male,1931-06-03,11,,,"Raúl Castro Ruz en México, 2015 (cropped).jpg",Raúl Castro
Q51954822,Salvador Valdés Mesa,male,1945-06-13,11,,,Salvador Valdés Mesa (cropped).jpg,Salvador Valdés Mesa
Q5696752,Faure Chomón,male,1929-01-15,11,2019-12-05,11,Faure Chomón Mediavilla-DR-13-M.jpg,Faure Chomón
Q58183,Bruno Rodríguez Parrilla,male,1958-01-22,11,,,Bruno Rodriguez Parrilla (8592488549) (cropped).jpg,Bruno Rodríguez Parrilla
Q66421220,Alicia Elvira Corredera Morales,female,1954-03-29,11,,,,
Q66421513,Julio César Cancio Ferrer,male,1943-02-19,11,,,,
Q6774124,Marta Hernández Romero,female,1958-03-19,11,,,,Marta Hernández Romero
Q7406446,Salvador Pardo Cruz,male,,,,,,Salvador Pardo Cruz
Q79358625,Manuel Marrero Cruz,male,1963-07-11,11,,,Manuel Marrero Cruz.png,Manuel Marrero Cruz
Q959399,José Ramón Fernández,male,1923-11-04,11,2019-01-06,11,Jose Ramon Gallego Fernandez.jpg,José Ramón Fernández
