catalog,id,name,relationship,relative,relativename
Denmark,Q100596915,Lars Weiss,father,Q6234817,Ove Weiss
Denmark,Q100596915,Lars Weiss,mother,Q3435893,Birte Weiss
Denmark,Q102139,Margrethe II of Denmark,child,Q1004037,"Frederik, Crown Prince of Denmark"
Denmark,Q102139,Margrethe II of Denmark,child,Q159101,Prince Joachim of Denmark
Denmark,Q102139,Margrethe II of Denmark,father,Q151312,Frederick IX of Denmark
Denmark,Q102139,Margrethe II of Denmark,mother,Q163010,Queen Ingrid of Denmark
Denmark,Q102139,Margrethe II of Denmark,relative,Q12976,Baudouin I of Belgium
Denmark,Q102139,Margrethe II of Denmark,relative,Q151773,Constantine II of Greece
Denmark,Q102139,Margrethe II of Denmark,relative,Q154952,Willem-Alexander of the Netherlands
Denmark,Q102139,Margrethe II of Denmark,relative,Q165241,"Haakon, Crown Prince of Norway"
Denmark,Q102139,Margrethe II of Denmark,relative,Q1797989,Princess Alexandra of Sayn-Wittgenstein-Berleburg
Denmark,Q102139,Margrethe II of Denmark,relative,Q20200020,Marcus Knuth
Denmark,Q102139,Margrethe II of Denmark,relative,Q214704,"Prince Carl Philip, Duke of Värmland"
Denmark,Q102139,Margrethe II of Denmark,relative,Q292274,Princess Theodora of Greece and Denmark
Denmark,Q102139,Margrethe II of Denmark,relative,Q38053811,Gregers Heering
Denmark,Q102139,Margrethe II of Denmark,relative,Q3911,Albert II of Belgium
Denmark,Q102139,Margrethe II of Denmark,relative,Q443361,Ellen Hillingsø
Denmark,Q102139,Margrethe II of Denmark,relative,Q45068,Carl XVI Gustaf of Sweden
Denmark,Q102139,Margrethe II of Denmark,relative,Q50379775,Christoffer Knuth
Denmark,Q102139,Margrethe II of Denmark,relative,Q57287,Harald V of Norway
Denmark,Q102139,Margrethe II of Denmark,sibling,Q564889,Queen Anne-Marie of Greece
Denmark,Q102139,Margrethe II of Denmark,sibling,Q817052,Princess Benedikte of Denmark
Denmark,Q102139,Margrethe II of Denmark,spouse,Q1389258,"Henrik, Prince Consort of Denmark"
Denmark,Q1079744,Christian Friis Bach,spouse,Q47500082,Karin Friis Bach
Denmark,Q10853676,Marie Krarup,father,Q7666571,Søren Krarup
