id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q10522744,Abdoulkader Kamil Mohamed,male,1951-07-01,11,,,Abdoulkader Kamil Mohamed.jpg,Abdoulkader Kamil Mohamed
Q110572953,Hassan Omar Mohamed Bourhan,male,,,,,,
Q110572966,Said Nouh Hassan,male,,,,,,
Q110573012,Isman Ibrahim Robleh,male,,,,,,
Q110573013,Ahmed Robleh Abdilleh,male,,,,,,
Q110573014,Moustapha Mohamed Mahamoud,male,,,,,,
Q110573015,Nabil Mohamed Ahmed,male,,,,,,
Q110573016,Mouna Osman Aden,female,,,,,,
Q110573017,Mohamed Ahmed Awaleh,male,,,,,,
Q110573018,Hassan Houmed Ibrahim,male,,,,,,
Q110573019,Moumin Hassan Barreh,male,,,,,,
Q110573021,Ouloufa Ismail Abdo,female,,,,,,
Q110573022,Yonis Ali Guedi,male,,,,,,
Q110573024,Omar Abdi Said,male,,,,,,
Q110573025,Mohamed Abdoulkader Moussa Helem,male,,,,,,
Q110573027,Amina Abdi Aden,female,,,,,,
Q110573030,Radwan Abdillahi Bahdon,male,,,,,,
Q110573031,Mohamed Warsama Dirieh,male,,,,,,
Q110573032,Hibo Moumin Assoweh,female,,,,,,
Q110573034,Kassim Haroun Ali,male,,,,,,
Q110573036,Mariam Hamadou Ali,female,,,,,,
Q110573038,Safia Mohamed Ali Gadileh,female,,,,,,
Q110573039,Hassan Mohamed Kamil,male,,,,,,
Q110573500,Mohamed Ali Houmed,male,1973,9,,,,
Q110573665,Ahmed Osman Ali,male,,,,,,
Q16193066,Hasna Mohamed Dato,female,1959-11-10,11,,,,Hasna Mohamed Dato
Q27038707,Ali Hassan Bahdon,male,,,,,Ali Hassan Bahdon - 2016 (cropped).jpg,
Q2836075,Ali Abdi Farah,male,1947-02-16,11,,,,Ali Abdi Farah
Q3358119,Ougoureh Kifleh Ahmed,male,1955-11-18,11,,,"Ougoureh Kifleh detail, 021211-D-2987S-053.jpg",Ougoureh Kifleh Ahmed
Q57390,Ismail Omar Guelleh,male,1947-11-27,11,,,Ismail Omar Guelleh 2010.jpg,Ismaïl Omar Guelleh
Q57683,Dileita Mohamed Dileita,male,1958-03-12,11,,,Dileita Mohamed Dileita detail 090114-F-3682S-269.jpg,Dileita Mohamed Dileita
Q58256,Mahamoud Ali Youssouf,male,1965-09,10,,,Mahamoud Ali Youssouf.jpg,Mahamoud Ali Youssouf
Q727071,Barkat Gourad Hamadou,male,1930-01-01,11,2018-03-18,11,Barakat Hamadou Prime Minister.jpg,Barkat Gourad Hamadou
Q86735441,Ilyas Moussa Dawaleh,male,1966-10-26,11,,,,
