catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Dominica,President,Charles Savarin,Q2960197,2013-10-02,male,1943-10-02,,Savarin entering (cropped).jpg,Charles Savarin
Dominica,Prime Minister,Roosevelt Skerrit,Q57823,2004-01-08,male,1972-06-08,,RooseveltSkerrit.jpg,Roosevelt Skerrit
Dominica,Minister of Agriculture,Roland Royer,Xdm-Royer-R,2022-12-13,male,,,,
Dominica,Minister of Culture,Gretta Roberts,Q99957892,2022-12-13,female,,,,Gretta Roberts
Dominica,Minister of Education,Octavia Alfred,Q114674967,2019-12-17,female,,,,
Dominica,Minister of Environment,Cozier Frederick,Q114674962,2019-12-17,male,,,,
Dominica,Minister of Finance,Irving McIntyre,Q114674966,2022-12-13,male,,,,
Dominica,Minister of Foreign Affairs,Vince Henderson,Q2805923,2022-12-13,male,,,,
Dominica,Minister of Governance,Roosevelt Skerrit,Q57823,2022-12-13,male,1972-06-08,,RooseveltSkerrit.jpg,Roosevelt Skerrit
Dominica,Minister of Health,Cassanni Laville,Q114674961,2022-12-13,male,,,,
Dominica,Minister of Housing,Melissa Poponne Skerrit,Q99395401,2022-12-13,female,1981,,,Melissa Poponne Skerrit
Dominica,Minister of Labour,Miriam Blanchard,Xdm-Blanchard-M,2022-12-13,female,,,,
Dominica,Minister of National Security,Rayburn John Blackmoore,Q59153970,2019-12-17,male,,,,
Dominica,Minister of Public Works,Fidel Grant,Q114674964,2022-12-13,male,,,,
Dominica,Minister of Tourism,Denise Charles,Q114674963,2019-12-17,female,,,,
Dominica,Minister of State in the Ministry of Agriculture,Jullan Defoe,Xdm-Defoe-J,2022-12-13,male,,,,
Dominica,Minister of State in the Ministry of Culture,Oscar George,Q114676442,2022-12-13,male,,,,
Dominica,Minister of State in the Ministry of Health,Cassandra Williams,Xdm-Williams-C,2022-12-13,female,,,,
Dominica,Minister of State in the Ministry of Labour,Daren Pinard,Xdm-Pinard-D,2022-12-13,male,,,,
Dominica,Minister of State in the Ministry of Public Works,Chekira Lockhart Hypolite,Q110493451,2022-12-13,female,,,,Chekira Lockhart Hypolite
Dominica,Parliamentary Secretary in the Ministry of Agriculture,LaKeyia Joseph,Xdm-Joseph-LK,2022-12-13,female,,,,
Dominica,Parliamentary Secretary in the Ministry of Education,Fenella Wenham,Xdm-Wenham-F,2022-12-13,female,,,,
Dominica,Parliamentary Secretary in the Ministry of the Environment,Darron Lloyd,Xdm-Lloyd-D,2022-12-13,male,,,,
Dominica,Parliamentary Secretary in the Ministry of Health,Kent Edwards,Q114676441,2019-12-17,male,,,,
Dominica,Attorney General,Levi Peter,Q114676757,2013,male,,,,
