catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Ecuador,President,Guillermo Lasso,Q4414537,2021-05-24,male,1955-11-16,,Guillermo Lasso July 2021.jpg,Guillermo Lasso
Ecuador,Vice President,Alfredo Borrero Vega,Q106466352,2021-05-24,male,1955-10-19,,Alfredo Borrero Vega Vicepresidente del Ecuador (cropped).jpg,Alfredo Borrero
Ecuador,Minister of Agriculture,Bernardo Manzano,Q112429559,2022-05-04,male,,,"Bernardo Manzano, posesión como ministro (cropped).jpg",
Ecuador,Minister of Culture and Heritage,María Elena Machuca Merino,Q114290221,2021-05-24,,,,,
Ecuador,Minister of Defence,Luis Lara Jaramillo,Q113549525,2022-04-26,,,,,
Ecuador,Minister of Economic and Social Inclusion,Esteban Bernal,Q113961966,2021-09-15,male,,,,
Ecuador,Minister of Education,María Brown Pérez,Q114290220,2021-05-24,,,,,
Ecuador,Minister of Energy,Santos Alvite,Q114983352,2022-10-31,male,,,,
Ecuador,Minister of Environment and Water,Gustavo Manrique Miranda,Q114290217,2021-05-24,,,,,
Ecuador,Minister of Finance,Pablo Arosemena Marriott,Q113555995,2022-07-05,,,,,
Ecuador,Minister of Foreign Affairs,Juan Carlos Holguín,Q110390709,2022-01-03,male,,,"POSESIÓN DEL NUEVO MINISTRO, JUAN CARLOS HOLGUÍN (cropped).jpg",
Ecuador,Minister of Government,Henry Cucalón,Q20909649,2023-02-10,male,1973,,Sesión Inaugural Asamblea Nacional 2013-2017 (8740668923).jpg,
Ecuador,Minister of Health,José Leonardo Ruales Estupiñan,Q114290218,2022-07-07,,,,,
Ecuador,Minister of the Interior,Juan Zapata,Q61714876,2022-09-26,male,1968-10-23,,"EJECUTIVO REMITIÓ PROYECTO DE GESTIÓN DE EMERGENCIA SANITARIA POR PANDEMIA. ECUADOR, 22 DE ABRIL DEL 2021.jpg",
Ecuador,Minister of Labour,Patricio Donoso,Q64225789,2021-05-24,male,1956-01-11,,Patricio Donoso - Primera Sesión Parlamentaria de Posesión de las y los Asambleístas para el Período Legislativo 2017-2021 (34527665081).jpg,
Ecuador,"Minister of Production, Foreign Trade, Investment and Fisheries",Julio José Prado,Q109362326,2021-05-24,male,1978-12-05,,"Julio José Prado, enero de 2022.jpg",
Ecuador,Minister of Sport,Sebastian Palacios Muñoz,Q60932198,2021-05-24,male,1987,,Asambleísta Sebastián Palacios.jpg,
Ecuador,Minister of Telecommunications,Vianna Maino Isaías,Q114290224,2021-05-24,,,,,
Ecuador,Minister of Tourism,Niels Olsen Peet,Q114290223,2021-05-24,,,,,
Ecuador,Minister of Transport and Public Works,Darío Herrera Falcones,Q114290216,2022-07-05,,,,,
Ecuador,Minister of Urban Development and Housing,María Gabriela Aguilera Jaramillo,Q114290222,2022-07-05,,,,,
Ecuador,Secretary of Human Rights,Paola Flores Jaramillo,Q114598637,2022-05-05,female,,,Paola Flores Jaramillo Firma de Acuerdo de Cooperación - 28 09 2022 (sq cropped).jpg,
Ecuador,President of the National Assembly,Elizabeth Cabezas,Q50524224,2018-03-14,female,1963-06-14,,"Elizabeth Cabezas, Presidenta de la Asamblea Nacional (cropped).jpg",Elizabeth Cabezas
Ecuador,Mayor of Guayaquil,Cynthia Viteri,Q3008822,2019-05-14,female,1965-11-19,,Cynthia Viteri 2023.jpg,Cynthia Viteri
Ecuador,Mayor of Quito,Santiago Guarderas,Q107104638,2021-09-30,male,1962,,Santiago Guarderas Izquierdo.jpg,Santiago Guarderas
