catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Equatorial Guinea,President,Teodoro Obiang,Q57385,1979-08-03,male,1942-06-05,,"Teodoro Obiang detail, 1650FRP051.jpg",Teodoro Obiang Nguema Mbasogo
Equatorial Guinea,Vice-President,Teodoro Nguema,Q477201,2012-05-21,male,1968-06-25,,,Teodoro Nguema Obiang Mangue
Equatorial Guinea,Prime Minister,Francisco Pascual Obama Asue,Q24761111,2016-06-22,male,1949-04-21,,,Francisco Pascual Obama Asue
Equatorial Guinea,Minister of Civil Aviation,Norborto-Bartolomé Mensuy Mañe Andeme,Q112175227,2020,,,,,
Equatorial Guinea,Minister of Defence,Victoriano Bibang Nsue Okomo,Q103916282,2020,,,,,
Equatorial Guinea,Minister of Education,Clemente Engonga Nguema Andeme,Q112162972,2019-04-10,,,,,
Equatorial Guinea,Minister of Finance,César Augusto Mba Abogo,Q112162976,2020-08-18,,,,,
Equatorial Guinea,Minister of Information,Virgilio Seriche Riloha,Q112175249,2020,,,,,
Equatorial Guinea,Minister of Public Works,Clemente Ferreiro Villarino,Q112175156,2020,,,,,
Equatorial Guinea,Minister of Transport,Rufino Ovono Ondo,Q112175236,2020,,,,,
Equatorial Guinea,Deputy Minister of Agriculture,Santiago Francisco Engonga Esono,Q112175240,2020,,,,,
Equatorial Guinea,Deputy Minister of Culture and Tourism,Prudencio Botey Sobole,Q61767161,2020,male,,,,
Equatorial Guinea,Deputy Minister of Fisheries,Gerónimo-Carlos Osa Osa Nzang,Q112175182,2020,,,,,
Equatorial Guinea,Deputy Minister of Foreign Affairs,Pedro Nguema Ndong,Q112175231,2020,,,,,
Equatorial Guinea,Deputy Minister of Health,Dámaso Mitoha Ondo'O Ayecaba,Q112175166,2018,,,,,
Equatorial Guinea,Deputy Minister of Industry and Energy,Cesar Aguado Hinestrosa Gomez,Q112175154,2020,,,,,
Equatorial Guinea,Deputy Minister of Information,Atalia Modesta Baha Ondo,Q112175140,2020,,,,,
Equatorial Guinea,Deputy Minister of Mines,Santiago Mba Eneme Nsuga,Q112175241,2020,,,,,
Equatorial Guinea,Deputy Minister of National Defence,Cándido Ncogo Engono Nchama,Q112175162,2020,,,,,
Equatorial Guinea,Deputy Minister of Public Administration,Santiago Nsobeya Barreiros,Q112175242,2020,,,,,
Equatorial Guinea,Deputy Minister of Public Works,Pascual Ondo Nse Oyana,Q112175228,2020,,,,,
Equatorial Guinea,Deputy Minister of Transport,Honorato Evita Oma,Q112175188,2020,,,,,
Equatorial Guinea,"Deputy Minister of Work, Employment Promotion and Social Security",Manuel Cristobal Morgades Ichaka,Q112175206,2020,,,,,
Equatorial Guinea,Minister Delegate of Education,Manuela Roca Botey,Q112175210,2020,,,,,
Equatorial Guinea,Minister Delegate of Finance,Valentin Ela Maye,Q112175246,2020,,,,,
Equatorial Guinea,Minister Delegate of Justice,Juan Olo Mba Nseng,Q112175200,2018,,,,,
Equatorial Guinea,Minister Delegate of National Security,Heriberto Meko Mbengono,Q112133249,2018,male,,,,
Equatorial Guinea,Minister Delegate of Trade,Alberto Doria Lajay,Q112175131,2020,,,,,
Equatorial Guinea,Secretary General of the Presidency,Baltasar Esono Eworo Fono,Q112175141,2020,,,,,
Equatorial Guinea,Vice-Minister to the Presidency,Armando Dougan Champion,Q112175139,2020,,,,,
