catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
European Union,President of the European Commission,Ursula von der Leyen,Q60772,2019-12-01,female,1958-10-08,,Official Portrait of Ursula von der Leyen.jpg,Ursula von der Leyen
European Union,Vice-President of the European Commission,Frans Timmermans,Q32681,2014-11-01,male,1961-05-06,,Frans Timmermans (2022).jpg,Frans Timmermans
European Union,Vice-President of the European Commission,Margaritis Schinas,Q11266281,2019-12-01,male,1962-07-28,,"EPP Summit, Maastricht, October 2016 (30154973070) (cropped).jpg",Margaritis Schinas
European Union,Vice-President of the European Commission,Věra Jourová,Q12001809,2019-12-01,female,1964-08-18,,Hearing of Věra Jourová (Czech Republic) - Vice president-designate - Values and Transparency (48859288246) (cropped).jpg,Věra Jourová
European Union,Vice-President of the European Commission,Margrethe Vestager,Q270820,2019-12-01,female,1968-04-13,,"(Margrethe Vestager) Hearings of Margrethe Vestager DK, vice president-designate for a Europe fit for the digital age (48865071413) (cropped).jpg",Margrethe Vestager
European Union,Vice-President of the European Commission,Dubravka Šuica,Q299667,2019-12-01,female,1957-05-20,,Hearing of Dubravka Šuica (Croatia) - Democracy and demography (48838221291) (cropped).jpg,Dubravka Šuica
European Union,Vice-President of the European Commission,Josep Borrell,Q312901,2019-12-01,male,1947-04-24,,Josep Borrell (49468484246).jpg,Josep Borrell
European Union,Vice-President of the European Commission,Maroš Šefčovič,Q512678,2019-12-01,male,1966-07-24,,Hearings Maroš Šefčovič (Slovakia) - Vice president-designate - interinstitutional relations and foresight. (48821461522) (cropped).jpg,Maroš Šefčovič
European Union,Vice-President of the European Commission,Valdis Dombrovskis,Q57630,2019-12-01,male,1971-08-05,,Valdis Dombrovskis 2009.jpg,Valdis Dombrovskis
European Union,European Commissioner for A Europe Fit for the Digital Age,Margrethe Vestager,Q270820,2019-12-01,female,1968-04-13,,"(Margrethe Vestager) Hearings of Margrethe Vestager DK, vice president-designate for a Europe fit for the digital age (48865071413) (cropped).jpg",Margrethe Vestager
European Union,European Commissioner for A Stronger Europe in the World,Josep Borrell,Q312901,2019-12-01,male,1947-04-24,,Josep Borrell (49468484246).jpg,Josep Borrell
European Union,European Commissioner for Agriculture,Janusz Wojciechowski,Q3509201,2019-12-01,male,1954-12-06,,Hearings Janusz Wojciechowski (Poland) - Agriculture (48826794617) (cropped).jpg,Janusz Wojciechowski
European Union,European Commissioner for An Economy that Works for People,Valdis Dombrovskis,Q57630,2019-12-01,male,1971-08-05,,Valdis Dombrovskis 2009.jpg,Valdis Dombrovskis
European Union,European Commissioner for Climate Action,Frans Timmermans,Q32681,2019-12-01,male,1961-05-06,,Frans Timmermans (2022).jpg,Frans Timmermans
European Union,European Commissioner for Cohesion and Reforms,Elisa Ferreira,Q5361358,2019-12-01,female,1955-10-17,,"Hearings with Elisa Ferreira PT, candidate commissioner for cohesion and reforms EU (48832802368) (cropped).jpg",Elisa Ferreira
European Union,European Commissioner for Democracy and Demography,Dubravka Šuica,Q299667,2019-12-01,female,1957-05-20,,Hearing of Dubravka Šuica (Croatia) - Democracy and demography (48838221291) (cropped).jpg,Dubravka Šuica
European Union,European Commissioner for Economy,Paolo Gentiloni,Q1071031,2019-12-01,male,1954-11-22,,Paolo Gentiloni EP Parliament (cropped).jpg,Paolo Gentiloni
European Union,"European Commissioner for Education, Culture, Multilingualism and Youth",Mariya Gabriel,Q11769926,2019-12-01,female,1979-05-20,,Hearings Mariya Gabriel (Bulgaria) - innovation and youth. (48822420931) (cropped).jpg,Mariya Gabriel
European Union,"European Commissioner for Employment, Social Affairs and Inclusion",Nicolas Schmit,Q13104358,2019-12-01,male,1953-12-10,,Group meeting with Commissioner Schmit (49388839582).jpg,Nicolas Schmit
European Union,European Commissioner for Energy,Kadri Simson,Q13570003,2019-11-01,female,1977-01-22,,Kadri Simson 2017-05-25 (cropped).jpg,Kadri Simson
European Union,European Commissioner for Enlargement and European Neighbourhood Policy,Olivér Várhelyi,Q69358341,2019-12-01,male,1972-03-22,,Hearing of Olivér Várhelyi (Hungary) - Designate - Neighbourhood and Enlargement (49063520601) (cropped2).jpg,Olivér Várhelyi
European Union,European Commissioner for Equality,Helena Dalli,Q19958063,2019-12-01,female,1962-09-29,,"Hearing with Helena Dalli (MT), candidate commissioner for equality (48832245446) (cropped).jpg",Helena Dalli
European Union,European Commissioner for Financial Programming and the Budget,Johannes Hahn,Q78647,2019-12-01,male,1957-12-02,,Johannes Hahn (12-02-2020).jpg,Johannes Hahn
European Union,"European Commissioner for Financial Stability, Financial Services and Capital Markets Union",Mairead McGuinness,Q467633,2020-10-07,female,1959-06-13,,"Mairead McGuinness, Ireland-MIP-Europaparlament-by-Leila-Paul-1.jpg",Mairead McGuinness
European Union,European Commissioner for Health and Consumer Policy,Stella Kyriakides,Q47545922,2019-12-01,female,1956-03-10,,Hearings Hearings Stella Kyriakides (Cyprus) - Health (48828012607).jpg,Stella Kyriakides
European Union,European Commissioner for Home Affairs,Ylva Johansson,Q3369258,2019-12-01,female,1964-02-13,,Hearings Ylva Johansson (Sweden) Home affairs (48826433018) (cropped).jpg,Ylva Johansson
European Union,European Commissioner for Inter-Institutional Relations and Administration,Maroš Šefčovič,Q512678,2019-12-01,male,1966-07-24,,Hearings Maroš Šefčovič (Slovakia) - Vice president-designate - interinstitutional relations and foresight. (48821461522) (cropped).jpg,Maroš Šefčovič
European Union,European Commissioner for Internal Market and Services,Thierry Breton,Q2142823,2019-12-01,male,1955-01-15,,Hearing of Commissioner-designate Thierry Breton (49068069128) (cropped).jpg,Thierry Breton
European Union,European Commissioner for International Cooperation and Development,Jutta Urpilainen,Q241376,2019-12-01,female,1975-08-04,,Jutta Urpilainen (cropped).jpg,Jutta Urpilainen
European Union,"European Commissioner for International Cooperation, Humanitarian Aid and Crisis Response",Janez Lenarčič,Q13639017,2019-12-01,male,1967-11-06,,Hearing of Janez Lenarčič (Slovenia) - Crisis management (48833246092) (cropped).jpg,Janez Lenarčič
European Union,"European Commissioner for Justice, Fundamental Rights and Citizenship",Didier Reynders,Q978208,2019-12-01,male,1958-08-06,,Belgian Deputy Prime Minister and Minister of Foreign Affairs and European Affairs (44866389735) (cropped).jpg,Didier Reynders
European Union,European Commissioner for Promoting the European Way of Life,Margaritis Schinas,Q11266281,2019-12-01,male,1962-07-28,,"EPP Summit, Maastricht, October 2016 (30154973070) (cropped).jpg",Margaritis Schinas
European Union,European Commissioner for Trade,Valdis Dombrovskis,Q57630,2020-08-26,male,1971-08-05,,Valdis Dombrovskis 2009.jpg,Valdis Dombrovskis
