id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q109012733,Wiliame Katonivere,male,1964-04-20,11,,,Ratu Wiliame Katonivere 12 NOV 21.jpg,Wiliame Katonivere
Q109237298,Tanya Waqanika,female,,,,,,Tanya Waqanika
Q109469085,Faizul Ariff Ali,male,,,,,,
Q112107375,Adi Litia Qionibaravi,female,,,,,,
Q112107421,Ro Teimumu Vuikaba Kepa,female,,,,,,
Q112107441,Rosy Sofia Akbar,female,,,,,,
Q112107452,Salote Vuibureta Radrodro,female,,,,,,
Q112107469,Veena Kumar Bhatnagar,female,,,,,,
Q1374014,Jona Senilagakali,male,1929-11-08,11,2011-10-26,11,,Jona Senilagakali
Q16107404,Jiko Luveni,female,1946,9,2018-12-22,11,Jiko Luveni May 2014.jpg,Jiko Luveni
Q17319028,Jone Usamate,male,1962-04-02,11,,,Jone Usamate 2014.jpg,Jone Usamate
Q18166062,Mereseini Vuniwaqa,female,1974-06-18,11,,,Mereseini Vuniwaqa 2015.jpg,Mereseini Vuniwaqa
Q18210195,Faiyaz Koya,male,,,,,Faiyaz Koya June 2015.jpg,Faiyaz Koya
Q18211338,Rosy Akbar,female,,,,,Rosy Sofia Akbar 2014.jpg,Rosy Akbar
Q18217983,Semi Koroilavesau,male,1958,9,,,Semi Koroilavesau 2019.jpg,Semi Koroilavesau
Q19665719,Mahendra Reddy,male,,,,,Mahendra Reddy April 2015.jpg,Mahendra Reddy
Q316317,Josefa Iloilo,male,1920-12-29,11,2011-02-06,11,Josefa Iloilo.jpg,Josefa Iloilo
Q3183575,Joni Madraiwiwi,male,1957,9,2016-09-29,11,,Joni Madraiwiwi
Q3519293,Tevita Momoedonu,male,1946-01-13,11,2020-11-26,11,,Tevita Momoedonu
Q373605,Epeli Nailatikau,male,1941-07-05,11,,,Nailatikau.jpg,Epeli Nailatikau
Q469507,Kamisese Mara,male,1920-05-06,11,2004-04-18,11,Kamisese Mara.jpg,Kamisese Mara
Q4699401,Aiyaz Sayed-Khaiyum,male,1965-09-24,11,,,Aiyaz Sayed-Khaiyum May 2020.jpg,Aiyaz Sayed-Khaiyum
Q473214,Laisenia Qarase,male,1941-02-04,11,2020-04-21,11,Fiji 2004 Mr Qarase (cropped).jpg,Laisenia Qarase
Q4751281,Anand Singh,male,1948-08-08,11,2020-12-04,11,,Anand Singh
Q5541411,Jioji (George) Konrote,male,1947-12-26,11,,,Jioji Konrote December 2017.jpg,Jioji Konrote
Q558880,Mahendra Chaudhry,male,1942-02-09,11,,,Mahendra Chaudhry April 2022.jpg,Mahendra Chaudhry
Q57830,Frank Bainimarama,male,1954-04-27,11,,,Frank Bainimarama September 2014.jpg,Frank Bainimarama
Q58316,Inoke Kubuabola,male,1948-06-16,11,,,Ratu Inoke Kubuabola (cropped).jpg,Inoke Kubuabola
Q58637765,Lynda Tabuya,female,1972-12,10,,,Linda Tabuya 2014.jpg,Lynda Tabuya
Q58756165,Lenora Qereqeretabua,female,1968-03,10,,,Lenora Qereqeretabua 2020.jpg,Lenora Qereqeretabua
Q58974724,Ifereimi Waqainabete,male,1973,9,,,Ifereimi Waqainabete 2019.jpg,Ifereimi Waqainabete
Q59149050,Inia Seruiratu,male,,,,,Inia Seruiratu 2022.jpg,Inia Seruiratu
Q59160142,Premila Kumar,female,1962-04-02,11,,,Premila Kumar.jpg,Premila Kumar
Q59325326,Selai Adimaitoga,female,,,,,,Selai Adimaitoga
Q59327455,Osea Naiqamu,male,,,,,Osea Naiqamu 2018.jpg,Osea Naiqamu
Q7238848,Parveen Bala,male,,,,,Parveen Bala May 2016.jpg,Parveen Bala
Q929760,Epeli Ganilau,male,1951-10-10,11,,,,Epeli Ganilau
Q96187044,Naivakarurubalavu Solo Mara,male,1967-09-14,11,,,,
