catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
France,President,Emmanuel Macron,Q3052772,2017-05-14,male,1977-12-21,,"Зустріч Президента України з президентами Франції та Румунії, а також головами урядів Німеччини та Італії 76 (cropped).jpg",Emmanuel Macron
France,Prime Minister,Élisabeth Borne,Q20020731,2022-05-16,female,1961-04-18,,"Informal meeting of energy and transport ministers (TTE). Arrivals, transport ministers Elisabeth Borne (37190062412) (cropped).jpg",Élisabeth Borne
France,Minister of Agriculture and Food,Marc Fesneau,Q6755549,2022-05-16,male,1971-01-11,,Marc Fesneau (2015).jpg,Marc Fesneau
France,Minister of the Armed Forces,Sébastien Lecornu,Q20089181,2022-05-20,male,1986-06-11,,Portrait Sébastien Lecornu.jpg,Sébastien Lecornu
France,Minister of the Civil Service,Stanislas Guerini,Q30343112,2022-05-20,male,1982-05-14,,Stanislas guerini AN 16475.JPG,Stanislas Guerini
France,Minister of Culture,Rima Abdul Malak,Q112079659,2022-05-20,female,1978,,Rima Abdul-Malak portrait.jpg,Rima Abdul Malak
France,Minister of Ecological and Solidary Transition,Christophe Béchu,Q544725,2022-07-04,male,1974-06-11,,Christophe Béchu.jpg,Christophe Béchu
France,"Minister of the Economy, Finances and Industry",Bruno Le Maire,Q993472,2017-06-21,male,1969-04-15,,Bruno Le Maire par Claude Truong-Ngoc novembre 2014.jpg,Bruno Le Maire
France,Minister for Energy Transition,Agnès Pannier-Runacher,Q33230494,2022-05-20,female,1974-06-19,,Agnès Pannier-Runacher portrait 2.jpg,Agnès Pannier-Runacher
France,Minister of Europe and Foreign Affairs,Catherine Colonna,Q273396,2022-05-20,female,1956-04-16,,FM - meeting with French Ambassador to the UK (49561267367) (cropped 2).jpg,Catherine Colonna
France,Minister of Foreign Trade,Olivier Becht,Q30348845,2022-07-04,male,1976-04-28,,Olivier BECHT.jpg,Olivier Becht
France,"Minister of Higher Education, Research and Innovation",Sylvie Retailleau,Q47498954,2022-05-20,female,1965-02-24,,Sylvie Retailleau 2018 (crop).jpg,Sylvie Retailleau
France,Minister of the Interior,Gérald Darmanin,Q3123610,2020-07-06,male,1982-10-11,,Photo portrait de Gérald DARMANIN.jpg,Gérald Darmanin
France,Minister of Justice,Éric Dupond-Moretti,Q3591105,2020-07-06,male,1961-04-20,,"Éric Dupond-Moretti, 2018 (cropped).jpg",Éric Dupond-Moretti
France,Minister of Labour,Olivier Dussopt,Q2020823,2022-05-16,male,1978-08-16,,Olivier Dussopt.jpg,Olivier Dussopt
France,Minister of National Education,Pap Ndiaye,Q3362697,2022-05-20,male,1965-10-25,,Pap Ndiaye.jpg,Pap Ndiaye
France,Minister for Overseas France,Jean-François Carenco,Q19944965,2022-07-04,male,1952-07-07,,Jean-François Carenco 2 (20730280934) (cropped).jpg,
France,Minister of the Sea,Hervé Berville,Q30223120,2022-07-04,male,1990-01-15,,Hervé Berville (cropped).jpg,Hervé Berville
France,Minister for Solidarity and Health,François Braun,Q112289951,2022-07-04,male,1962,,,François Braun
France,Minister of Sport,Amélie Oudéa-Castéra,Q33104697,2022-05-20,female,1978-04-09,,Amélie Oudéa-Castéra 2017 (crop).jpg,Amélie Oudéa-Castéra
France,Minister of State for Disabled People,Jean-Christophe Combe,Q101229059,2022-07-04,male,1981-09-14,,,Jean-Christophe Combe
France,"Minister Delegate for Gender Equality, Diversity and Equal Opportunities",Isabelle Rome,Q56715795,2022-05-20,female,1963-04-29,,Isabelle Rome - 2018.jpg,Isabelle Lonvis-Rome
France,Minister Delegate for Public Accounts,Gabriel Attal,Q30339350,2022-05-20,male,1989-03-16,,ATTAL Gabriel - 20200916.jpg,Gabriel Attal
France,Secretary of State for Children,Charlotte Caubel,Q99193104,2022-05-20,female,1972,,,Charlotte Caubel
France,Secretary of State for La Francophonie,Chrisoula Zacharopoulou,Q64032959,2022-05-20,female,1976-05-07,,,Chrysoula Zacharopoulou
France,Secretary of State for Parliamentary Affairs,Olivier Véran,Q3332699,2022-05-16,male,1980-04-22,,Olivier Véran - Juillet 2012.jpg,Olivier Véran
France,Minister Delegate for Territorial Communities,Caroline Cayeux,Q2939980,2022-07-04,female,1948-11-01,,Caroline Cayeux.jpg,Caroline Cayeux
France,Head of the Prime Minister's military cabinet,Franck Barrera,Q107724962,2021-07-31,male,,,,
France,Head of the Minister of Defence's military cabinet,Fabien Mandon,Q97966824,2020-09-01,male,,,,
France,President of the Senate,Gérard Larcher,Q784021,2014-10-01,male,1949-09-14,,Gérard Larcher 2009.jpg,Gérard Larcher
France,President of the National Assembly,Yaël Braun-Pivet,Q30339422,2022-06-28,female,1970-12-07,,Yaël Braun-Pivet 4colonnes 19182.jpg,Yaël Braun-Pivet
France,Chief of Staff of the Army,Pierre Schill,Q107273969,2021-07-22,male,1967-09-10,,Le général Pierre Schill.jpg,
France,High Commissioner for Planning,François Bayrou,Q12963,2020-09-03,male,1951-05-25,,BayrouEM.jpg,François Bayrou
France,Governor of the Banque de France,François Villeroy de Galhau,Q3086015,2015-11-01,male,1959-02-24,,François Villeroy de Galhau.jpg,François Villeroy de Galhau
