catalog,id,name,relationship,relative,relativename
France,Q100243112,Philippe Lecourtier,child,Q33122330,Christophe Lecourtier
France,Q101410,François Fillon,mother,Q27918451,Anne Fillon
France,Q101410,François Fillon,sibling,Q27887563,Dominique Fillon
France,Q101410,François Fillon,sibling,Q27915682,Pierre Fillon
France,Q101410,François Fillon,spouse,Q27898910,Penelope Fillon
France,Q10287,Manuel Valls,father,Q328956,Xavier Valls
France,Q10287,Manuel Valls,mother,Q16659099,Luisangela Galfetti
France,Q10287,Manuel Valls,relative,Q117481,Aurelio Galfetti
France,Q10287,Manuel Valls,relative,Q11928764,Josep Maria Valls i Vicens
France,Q10287,Manuel Valls,relative,Q3442563,Roser Capdevila i Valls
France,Q10287,Manuel Valls,relative,Q59362807,Magí Valls i Martí
France,Q10287,Manuel Valls,relative,Q6745106,Manuel Valls i Gorina
France,Q10287,Manuel Valls,sibling,Q42310238,Giovanna Valls
France,Q10287,Manuel Valls,spouse,Q16012814,Anne Gravoin
France,Q10287,Manuel Valls,spouse,Q16659297,Nathalie Soulié
France,Q10287,Manuel Valls,spouse,Q98490864,Susana Gallardo
France,Q107358871,Flavie Collard,father,Q1922673,Gilbert Collard
France,Q107358871,Flavie Collard,mother,Q58178378,Anne-Marie Collard
France,Q108702159,Mélanie Vogel,partner,Q1386500,Terry Reintke
France,Q1103356,Sylvie Andrieux,father,Q2853592,Antoine Andrieux
France,Q1103356,Sylvie Andrieux,spouse,Q3168350,Jean-Paul Bacquet
France,Q111685345,Florence Goulet,father,Q3014108,Daniel Goulet
France,Q111685345,Florence Goulet,spouse,Q47485256,André Rougé
France,Q112639136,Alexandra Masson,mother,Q4846183,Hélène Masson-Maret
France,Q112641269,Caroline Colombier,mother,Q70233808,Brigitte du Tanney
France,Q112641269,Caroline Colombier,relative,Q6120507,Jacques Colombier
France,Q112652488,Antoine Villedieu,relative,Q112746329,Jean Rota
France,Q112652500,Julie Delpech,mother,Q30344388,Pascale Fontenel-Personne
France,Q117340,François de Rugy,partner,Q63455920,Emmanuelle Bouchaud
France,Q11984595,Nicole Belloubet,spouse,Q53869141,Pierre-Laurent Frier
France,Q12280643,Yves Saint-Geours,father,Q24718599,Jean Saint-Geours
France,Q12280643,Yves Saint-Geours,sibling,Q3090181,Frédéric Saint-Geours
France,Q12280643,Yves Saint-Geours,sibling,Q33289074,Jean-Philippe Saint-Geours
France,Q1238159,Dominique Baudis,father,Q3383897,Pierre Baudis
France,Q1285501,Esther Benbassa,spouse,Q3164722,Jean-Christophe Attias
France,Q12927,Marine Le Pen,child,Q67446459,Jehanne Chauffroy
France,Q12927,Marine Le Pen,child,Q67446554,Mathilde Chauffroy
France,Q12927,Marine Le Pen,child,Q67446608,Louis Chauffroy
France,Q12927,Marine Le Pen,father,Q7177,Jean-Marie Le Pen
France,Q12927,Marine Le Pen,mother,Q15730863,Pierrette Lalanne
France,Q12927,Marine Le Pen,partner,Q3261014,Louis Aliot
France,Q12927,Marine Le Pen,relative,Q292458,Marion Maréchal
France,Q12927,Marine Le Pen,sibling,Q15730860,Yann Le Pen
France,Q12927,Marine Le Pen,sibling,Q3291581,Marie-Caroline Le Pen
France,Q12927,Marine Le Pen,spouse,Q42416205,Éric Iorio
France,Q12927,Marine Le Pen,spouse,Q67443931,Franck Chauffroy
France,Q12928,Hélène Geoffroy,spouse,Q54892550,Joël Mathurin
France,Q12931,Bernard Perrut,father,Q3082008,Francisque Perrut
France,Q12946,Michel Rocard,child,Q3081663,Francis Rocard
France,Q12946,Michel Rocard,father,Q325711,Yves Rocard
France,Q12946,Michel Rocard,spouse,Q50384376,Geneviève Poujol
France,Q12957,Raymond Barre,spouse,Q48991121,Eve Barre
France,Q12963,François Bayrou,child,Q48223191,Agnès Bayrou
France,Q131660,Dominique de Villepin,child,Q109829632,Victoire de Villepin
France,Q131660,Dominique de Villepin,child,Q109829671,Arthur de Villepin
France,Q131660,Dominique de Villepin,child,Q3292808,Marie de Villepin
France,Q131660,Dominique de Villepin,father,Q1432745,Xavier de Villepin
France,Q131660,Dominique de Villepin,mother,Q109829699,Yvonne Hétier
France,Q131660,Dominique de Villepin,sibling,Q16669205,Patrick de Villepin
France,Q131660,Dominique de Villepin,sibling,Q47508698,Véronique Albanel
France,Q131660,Dominique de Villepin,spouse,Q625927,Marie-Laure de Villepin
France,Q1324990,William Dumas,father,Q62084103,Léopold Dumas
France,Q1324990,William Dumas,sibling,Q61959204,Gérard Dumas
France,Q1353605,Pascal Clément,father,Q3288808,Marcel Clément
France,Q1353605,Pascal Clément,spouse,Q71194967,Laure de Choiseul-Praslin
France,Q1383590,Patrick Devedjian,child,Q33109319,Thomas Devedjian
France,Q1383590,Patrick Devedjian,father,Q89125453,Roland Devedjian
France,Q1383590,Patrick Devedjian,relative,Q1729135,Karekin Deveciyan
France,Q1383590,Patrick Devedjian,spouse,Q88940154,Sophie Vanbremeersch
France,Q1394083,François Léotard,father,Q2848204,André Léotard
France,Q1394083,François Léotard,sibling,Q155493,Philippe Léotard
France,Q1470586,Xavier Darcos,spouse,Q33198351,Laure Darcos
France,Q152905,Jean-Claude Trichet,father,Q47517277,Jean Trichet
France,Q1534217,Charles de la Verpillière,father,Q3122257,Guy de La Verpillière
France,Q157,François Hollande,child,Q16783695,Julien Hollande
France,Q157,François Hollande,child,Q16783697,Flora Hollande
France,Q157,François Hollande,child,Q16783700,Thomas Hollande
France,Q157,François Hollande,child,Q16783701,Clémence Hollande
France,Q157,François Hollande,father,Q16354870,Georges Hollande
France,Q157,François Hollande,mother,Q16354867,Nicole Tribert
France,Q157,François Hollande,partner,Q230539,Valérie Trierweiler
France,Q157,François Hollande,partner,Q435925,Julie Gayet
France,Q157,François Hollande,partner,Q81923,Ségolène Royal
France,Q157,François Hollande,sibling,Q16354873,Philippe Hollande
France,Q157,François Hollande,spouse,Q435925,Julie Gayet
France,Q16007948,Éric Piolle,father,Q55088760,Xavier Piolle
France,Q16007948,Éric Piolle,mother,Q55089006,Marie-Geneviève Ayçaguer
France,Q1617291,"Pierre Durand, Jr.",father,Q3384876,Pierre Durand
France,Q1650517,Michel Duclos,spouse,Q3154938,Isabelle Hausser
France,Q16637124,François Kalfon,spouse,Q28782627,Anne Hommel
France,Q1685859,Jean Tiberi,spouse,Q3570838,Xavière Tiberi
France,Q17174898,Dominique Bilde,child,Q19606880,Bruno Bilde
France,Q18202577,François Bonhomme,father,Q15973787,Jean Bonhomme
France,Q18202580,Jean-Pierre Vogel,spouse,Q65606178,Géraldine Vogel
France,Q182786,Hervé Gaymard,spouse,Q2975487,Clara Gaymard
France,Q187099,Lionel Jospin,child,Q110249970,Hugo Jospin
France,Q187099,Lionel Jospin,child,Q23688633,Eva Jospin
France,Q187099,Lionel Jospin,father,Q3435549,Robert Jospin
France,Q187099,Lionel Jospin,mother,Q3315976,Mireille Jospin
France,Q187099,Lionel Jospin,sibling,Q536564,Noëlle Châtelet
France,Q187099,Lionel Jospin,spouse,Q110249945,Élisabeth Dannenmuller
France,Q187099,Lionel Jospin,spouse,Q3507241,Sylviane Agacinski
France,Q18744905,Philippe Olivier,child,Q109855685,Nolwenn Olivier
France,Q18744905,Philippe Olivier,spouse,Q3291581,Marie-Caroline Le Pen
France,Q1922673,Gilbert Collard,child,Q107358871,Flavie Collard
France,Q1922673,Gilbert Collard,sibling,Q33180373,Jehanne Collard
France,Q1922673,Gilbert Collard,spouse,Q58178378,Anne-Marie Collard
France,Q19606880,Bruno Bilde,mother,Q17174898,Dominique Bilde
France,Q19606880,Bruno Bilde,partner,Q3497810,Steeve Briois
France,Q1967563,Charles-Ange Ginésy,father,Q2959215,Charles Ginésy
France,Q1967590,Françoise Dumas,father,Q61959204,Gérard Dumas
France,Q19956565,Pascal Martin,father,Q2848256,André Martin
France,Q20020731,Élisabeth Borne,child,Q112042990,Nathan Allix
France,Q20020731,Élisabeth Borne,father,Q112042957,Joseph Borne
France,Q20020731,Élisabeth Borne,mother,Q112055997,Marguerite Lescène
France,Q20020731,Élisabeth Borne,relative,Q112042938,Marcel Lescène
France,Q20020731,Élisabeth Borne,relative,Q112056723,Zélig Bornstein
France,Q20020731,Élisabeth Borne,spouse,Q48221305,Olivier Allix
France,Q2020016,Jean-Paul Alduy,child,Q28937717,Cécile Alduy
France,Q20556667,Cécile Pozzo di Borgo,father,Q52178334,Jean Mouton-Brady
France,Q206327,Bernard Kouchner,child,Q104661508,Camille Kouchner
France,Q206327,Bernard Kouchner,child,Q104670299,Alexandre Kouchner
France,Q206327,Bernard Kouchner,child,Q33103297,Julien Kouchner
France,Q206327,Bernard Kouchner,child,Q98095229,Antoine Kouchner
France,Q206327,Bernard Kouchner,father,Q62566458,Georges Kouchner
France,Q206327,Bernard Kouchner,spouse,Q3592790,Évelyne Pisier
France,Q20807844,Marlène Schiappa,father,Q3167484,Jean-Marc Schiappa
France,Q20807844,Marlène Schiappa,spouse,Q50377097,Cédric Bruguière
France,Q20882460,Marie Le Vern,father,Q2830013,Alain Le Vern
France,Q20995386,Anne Chain-Larché,father,Q3159263,Jacques Larché
France,Q2105,Jacques Chirac,child,Q15529521,Laurence Chirac
France,Q2105,Jacques Chirac,child,Q2977194,Claude Chirac
France,Q2105,Jacques Chirac,father,Q16354565,François Chirac
France,Q2105,Jacques Chirac,mother,Q16354830,Marie-Louise Valette
France,Q2105,Jacques Chirac,spouse,Q431115,Bernadette Chirac
France,Q2124,Valéry Giscard d'Estaing,child,Q3131194,Henri Giscard d'Estaing
France,Q2124,Valéry Giscard d'Estaing,child,Q3262045,Louis Giscard d'Estaing
France,Q2124,Valéry Giscard d'Estaing,child,Q33105630,Jacinte Giscard d'Estaing
France,Q2124,Valéry Giscard d'Estaing,child,Q3554215,Valérie-Anne Giscard d'Estaing
France,Q2124,Valéry Giscard d'Estaing,father,Q3047839,Edmond Giscard d'Estaing
France,Q2124,Valéry Giscard d'Estaing,mother,Q16354844,May Bardoux
France,Q2124,Valéry Giscard d'Estaing,sibling,Q3351066,Olivier Giscard d'Estaing
