catalog,id,name,relationship,relative,relativename
Gabon,Q172083,Omar Bongo,child,Q3367723,Pascaline Bongo Ondimba
Gabon,Q172083,Omar Bongo,child,Q57521,Ali Bongo Ondimba
Gabon,Q172083,Omar Bongo,spouse,Q273791,Edith Lucie Bongo
Gabon,Q172083,Omar Bongo,spouse,Q443143,Patience Dabany
Gabon,Q3384461,Pierre Claver Maganga Moussavou,child,Q98545793,Biendi Maganga Moussavou
Gabon,Q57521,Ali Bongo Ondimba,child,Q109040197,Noureddin Bongo Valentin
Gabon,Q57521,Ali Bongo Ondimba,father,Q172083,Omar Bongo
Gabon,Q57521,Ali Bongo Ondimba,mother,Q443143,Patience Dabany
Gabon,Q57521,Ali Bongo Ondimba,relative,Q3367723,Pascaline Bongo Ondimba
Gabon,Q57521,Ali Bongo Ondimba,spouse,Q284589,Sylvia Bongo Ondimba
