id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q1008881,Gela Bezhuashvili,male,1967-03-01,11,,,Gela Bezhuashvili.jpg,Gela Bezhuashvili
Q1010588,Giorgi Baramidze,male,1968-01-05,11,,,Giorgi Baramidse.jpg,Giorgi Baramidze
Q104904062,Tea Akhvlediani,female,1975-01-10,11,,,,
Q105729181,Grigol Liluashvili,male,1977-09-01,11,,,,Grigol Liluashvili
Q106094877,Juansher Burchuladze,male,1978-01-14,11,,,Ināra Mūrniece tiekas ar Gruzijas aizsardzības ministru 01 (cropped).jpg,Juansher Burchuladze
Q106522763,Lasha Khutsishvili,male,1985-09-02,11,,,Lasha Khutsishvili.jpg,Lasha Khutsishvili
Q106522784,Rati Bregadze,male,1982-12-12,11,,,იუსტიციის მინისტრი რატი ბრეგაძე.jpg,
Q106522864,Irakli Karseladze,male,1978-02-28,11,,,,
Q106528743,Shalva Papuashvili,male,1976,9,,,Shalva Papuashvili in 2022.jpg,Shalva Papuashvili
Q108377254,თამარ ლებანიძე,,,,,,,
Q108377273,დავით ჩანტლაძე,male,,,,,,
Q108377278,ზაალ გამცემლიძე,male,,,,,,
Q108377283,Irakli Ghvaladze,male,,,,,,
Q108377608,დავით შავლიაშვილი,male,,,,,,
Q108377613,ლაშა მგელაძე,,,,,,,
Q108377894,Sesili Gogiberidze,,,,,,,
Q108379797,Lia Gigauri,female,1960-11-07,11,,,,
Q109495182,Gotcha Tchogovadzé,male,1941,9,,,,Gotcha Tchogovadzé
Q109623431,Joni Tatunashvili,male,1976,9,,,,
Q110420479,Zurab Azarashvili,male,,,,,,
Q110915463,Otar Shamugia,male,,,,,,
Q110915667,Irakli Managadze,male,,,,,,
Q111487495,Ilia Darchiashvili,male,1981-02-21,11,,,Ilia Darchiashvili.jpg,Ilia Darchiashvili
Q111738817,Giorgi Zedginidze,,,,,,,
Q113733,Archduchess Gabriela of Austria,female,1956-10-14,11,,,Gabriela von Habsburg.jpg,Gabriela von Habsburg
Q1178707,David Usupashvili,male,1968-03-05,11,,,David Usupashvili Senate of Poland.JPG,David Usupashvili
Q12122660,მერაბ ანთაძე,male,1952-08-04,11,,,,
Q1233914,Petre Tsiskarishvili,male,1974-02-27,11,,,,Petre Tsiskarishvili
Q12861550,Alexander Kvitashvili,male,1970-11-15,11,,,Alexander Kvitashvili.jpg,Alexander Kvitashvili
Q12863286,Gogi Ochiauri,male,1927-01-10,11,2017-10-18,11,,
Q12863573,Davit Onoprishvili,male,1961-01-08,11,,,,
Q12864079,Eka Zguladze,female,1978-06-18,11,,,Eka MVS.jpg,Eka Zguladze
Q12864149,Enzel Mkoian,male,1959-05-03,11,,,,
Q12864810,Zurab Pololikashvili,male,1977-01-12,11,,,"(Zurab Pololikashvili) High-level Meeting of the Ministers of Tourism of the EU member states ""Tourism and economic growth"" Press conference.jpg",Zurab Pololikashvili
Q12866195,Levan Berdzenishvili,male,1953-10-23,11,,,,Levan Berdzenishvili
Q12867014,Mikheil Svimonishvili,male,1977,9,,,"Mikheil Svimonishvili (February 22, 2006).jpg",
Q12867951,Pavle Kublashvili,male,1976-01-31,11,,,,
Q12869388,Solomon Pavliashvili,male,1959-08-24,11,,,Solomon pavliashvili.jpg,
Q12871625,ჯონი ხეცურიანი,male,1951-11-23,11,,,,
Q1300885,Konstantine Kemularia,male,1954-04-04,11,,,,
Q13107337,Giorgi Marghvilashvili,male,1969-09-04,11,,,Prasidenten Margvelashvili (cropped).jpg,Giorgi Margvelashvili
Q13589522,Tea Tsulukiani,female,1975-01-21,11,,,Eastern Partnership justice and home affairs ministers' meeting Thea Tsulukiani (35609681782) (cropped).jpg,Thea Tsulukiani
Q1391443,Vladimir Chipashvili,male,1964-09-29,11,,,"Vladimir Chipashvili (August 30, 2004).jpg",
Q1395782,Kakha Bendukidze,male,1956-04-20,11,2014-11-13,11,KakhaBendukidze.jpg,Kakha Bendukidze
Q1396439,Giorgi Gabashvili,male,1973-01-09,11,,,,
Q15055581,David Amaglobeli,male,1976-08-08,11,,,,David Amaglobeli
Q15108091,Davit Sergeenko,male,1963-09-25,11,,,,Davit Sergeenko
Q151929,Eduard Shevardnadze,male,1928-01-25,11,2014-07-07,11,Eduard shevardnadze.jpg,Eduard Shevardnadze
Q1523607,Giga Bokeria,male,1972-04-20,11,,,Giga Bokeria (portrait).jpg,Giga Bokeria
Q1525348,Giorgi Papuaschwili,male,1972-12-26,11,,,,
Q1525382,Gigi Tsereteli,male,1964-02-23,11,,,"George Tsereteli (Georgia) at OSCE PA Autumn Mtg, Geneva, 5 October 2014.jpg",Gigi Tsereteli
Q15277881,Giorgi Kvirikashvili,male,1967-07-20,11,,,Giorgi Kvirikashvili in meeting with Iranian FM Javad Zarif.jpg,Giorgi Kvirikashvili
Q15278389,Nodar Khaduri,male,1970-08-29,11,2019-09-10,11,,Nodar Khaduri
Q1566136,Valeriy Chechelashvili,male,1961-03-17,11,,,2015-05-03-ValeriChechelashvili.jpg,Valeriy Chechelashvili
Q16217650,Tamar Sanikidze,female,1978-08-30,11,,,,Tamar Sanikidze
Q16334103,Revaz Adamia,male,1952-07-20,11,2014-03-04,11,,
Q16364639,Aleksandre Chikaidze,male,1985-06-06,11,,,,
Q16364846,Anzor Bolkvadze,male,1960-09-09,11,,,,Anzor Bolkvadze
Q16367128,გიორგი ტუღუში,male,1977,9,,,,
Q16367704,Guram Odisharia,male,1951,9,,,Guram Odisharia.jpg,Guram Odisharia
Q16369086,Vakhtang Abashidze,male,1941-01-05,11,2013-02-11,11,,
Q16369225,ზაზა გოროზია,male,1975-02-11,11,,,,
