id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q1000800,Heinz Bierbaum,male,1946-12-05,11,,,Heinz Bierbaum - Fête de l'Humanité 2019 (cropped).jpg,
Q1002173,Hubert Schulte,male,1945-01-08,11,,,,
Q100218,Martina Bunge,female,1951-05-18,11,2022-05-01,11,862799750 parlamentariergruppe1 (cropped) - Martina Bunge.jpg,Martina Bunge
Q100234020,Christian Zander,male,1978-04-29,11,,,,
Q100250,Wolf Bauer,male,1939-03-05,11,,,Wolf Bauer (cropped).jpg,Wolf Bauer
Q100255,Paul Schäfer,male,1949-01-18,11,,,Paul Schaefer 2720796948.jpg,Paul Schäfer (politician)
Q100357,Sabine Jünger,female,1973-05-21,11,,,,Sabine Jünger
Q100389,Paul Wengert,male,1952-11-18,11,,,2012-07-17 - Paul Wengert MdL - 7055.jpg,Paul Wengert
Q100521,Wolfgang Jörg,male,1963-01-24,11,,,Wolfgang Jörg.jpg,Wolfgang Jörg
Q100558,Helmut Diegel,male,1956,9,,,HD Hagenschild 2c.jpg,
Q100615,Yvonne Ploetz,female,1984-09-28,11,,,Yvonne Ploetz.jpg,Yvonne Ploetz
Q100617,Rolf Schwanitz,male,1959-04-02,11,,,"Bundesarchiv Bild 183-1990-0328-304, Rolf Schwanitz.jpg",Rolf Schwanitz
Q100703,Friedrich-Wilhelm Kiel,male,1934-05-17,11,2022-04-04,11,,Friedrich-Wilhelm Kiel
Q100707457,Johannes Müller,male,1992-10-30,11,,,Johannes Müller Abgeordneter der Grünen.jpg,
Q100717883,Wolfgang Wetzel,male,1968-05-11,11,,,,Wolfgang Wetzel
Q100795,Carola Veit,female,1973-06-02,11,,,20180112 CV Fotoshooting 505 - Copyright CV.jpg,Carola Veit
Q100797,Florian Pronold,male,1972-12-28,11,,,2017-03-19 Florian Pronold SPD Parteitag by Olaf Kosinsky-1.jpg,Florian Pronold
Q100800,Ernst Welteke,male,1942-08-21,11,,,Welteke.jpg,Ernst Welteke
Q100945,Hansjörg Schmidt,male,1974,9,,,"Schmidt, Hansjörg - 1809.jpg",Hansjörg Schmidt
Q100986,Dirk Becker,male,1966-05-04,11,,,,Dirk Becker
Q101101,Ingelore Rosenkötter,female,1953-07-24,11,,,Bremische Bürgerschaft Ingelore Rosenkötter IMG 8846 by Stepro.jpg,
Q101192,Hans-Peter Bartels,male,1961-05-07,11,,,Bartels-UA.jpg,Hans-Peter Bartels
Q101206,Ottmar Schreiner,male,1946-02-21,11,2013-04-06,11,Ottmar Schreiner in Darmstadt 2007-12-10.jpg,Ottmar Schreiner
Q101293,Klaus Meiser,male,1954-10-03,11,,,Klaus Meiser-7477.jpg,
Q101296,Petra Merkel,female,1947-09-18,11,,,Petramerkel.jpg,
Q101321,Heiner Garg,male,1966-02-09,11,,,2013-08-23 - Dr. Heinrich Garg - 8749.jpg,Heiner Garg
Q101481413,Janosch Dahmen,male,1981-09-06,11,,,Janosch Dahmen.jpg,Janosch Dahmen
Q101504,Klaus-Peter Willsch,male,1961-02-28,11,,,Willsch-800.jpg,Klaus-Peter Willsch
Q101533533,Christian Natterer,male,1981-02-19,11,,,Christian Natterer.jpg,Christian Natterer
Q101599,Christian Carius,male,1976-09-22,11,,,Landtagsprojekt Thüringen 2016 Christian Carius IMG 9976 LR10 by Stepro.jpg,Christian Carius
Q101617,Heidrun Bluhm,female,1958-01-18,11,,,"Heidrun Bluhm, 2011 (cropped).jpg",Heidrun Bluhm
Q101632,Peter Albach,male,1956-07-26,11,,,,Peter Albach
Q1016467,Burkhard Lischka,male,1965-02-01,11,,,"Burkhard Lischka, Magdeburg 2009 2.jpg",Burkhard Lischka
Q1016541,Burkhardt Müller-Sönksen,male,1959-08-24,11,,,Burkhardt Müller-Sönksen 3.jpg,
Q101658,Peter Hauk,male,1960-12-24,11,,,"2013-05-15 16 - Hauk, Peter, MdL - LTBW - 4610.jpg",Peter Hauk
Q101662,Klaus Hagemann,male,1947-12-31,11,,,,
Q101695,Lorenz Caffier,male,1954-12-24,11,,,2018-11-30 Lorenz Caffier Pressekonferenz Innenministerkonferenz in Magdeburg-2378 (cropped).jpg,Lorenz Caffier
Q101701,Tanja Gönner,female,1969-07-23,11,,,Tanja Gönner1.jpg,Tanja Gönner
Q101703,Astrid Grotelüschen,female,1964-12-09,11,,,"Grotelüschen, Astrid-9971.jpg",Astrid Grotelüschen
Q1017725,Busso von Alvensleben,male,1949-01-25,11,,,,
Q1019016,Bärbel Bas,female,1968-05-03,11,,,2014-09-12 - Bärbel Bas MdB - 8726 (cropped).jpg,Bärbel Bas
Q1019023,Bärbel Grygier,female,1955-02-20,11,,,,
Q1019029,Bärbel Kofler,female,1967-05-24,11,,,2019-04-11 Bärbel Kofler SPD MdB by Olaf Kosinsky-8361.jpg,Bärbel Kofler
Q1019050,Bärbel Sothmann,female,1939-08-20,11,,,Bärbel Sothmann (1990).jpg,
Q101967,Monika Brüning,female,1951-07-13,11,,,,Monika Brüning
Q101987,Christine Lucyga,female,1944-04-06,11,,,"Bundesarchiv Bild 183-1990-0705-317, Dr. Christine Lucyga.jpg",Christine Lucyga
Q102180722,Anne-Monika Spallek,female,1968-01-16,11,,,,Anne-Monika Spallek
Q1022392,Egon Primas,male,1952-05-19,11,,,Egon Primas by Stepro 03.JPG,
Q102304,Christian Carstensen,male,1973-03-11,11,,,Christian Carstensen (cropped).jpg,Christian Carstensen
Q102357,Michael Adam,male,1984-12-09,11,,,,
Q102386,Jochen-Konrad Fromme,male,1949-07-08,11,,,Jochen-Konrad Fromme - Rednerpult 2009-3.jpg,
Q102442505,Jessica Rosenthal,female,1992-10-28,11,,,Portrait Jessica Rosenthal.jpg,Jessica Rosenthal
Q102471,Klaus Brandner,male,1949-01-13,11,,,Klaus Brandner.jpg,Klaus Brandner (politician)
Q102506,Wolfgang Bosbach,male,1952-06-11,11,,,"Bosbach, Wolfgang-0636.jpg",Wolfgang Bosbach
Q102641,Christian Dürr,male,1977-04-18,11,,,Christian Dürr (2017) (cropped).jpg,Christian Dürr
Q102655,Thilo Hoppe,male,1958-01-20,11,,,"Thilo Hoppe, MdB, Bündnis 90Die Grünen 2.jpg",
Q102760,Ulla Burchardt,female,1954-04-22,11,,,UllaBurchardtMdB.jpg,Ulla Burchardt
Q102844,Michael Müller,male,1964-12-09,11,,,2017-11-16 Michael Müller (Wiki Loves Parliaments 2017 in Berlin) by Sandro Halank.jpg,"Michael Müller (politician, born 1964)"
Q102992,Klaus Brähmig,male,1957-08-01,11,,,2014-09-09 - Klaus Brähmig MdB - 7040.jpg,Klaus Brähmig
Q103113,Günther Babel,male,1952-09-26,11,,,,Günther Babel
Q103160,Wilhelm von Gottberg,male,1940-03-30,11,,,2020-02-13 Wilhelm von Gottberg (Bundestagsprojekt 2020) by Sandro Halank–2.jpg,Wilhelm von Gottberg
Q103165,Gitta Connemann,female,1964-05-10,11,,,Gitta Connemann 2009.jpg,Gitta Connemann
Q1032742,Canan Bayram,female,1966-02-11,11,,,Canan Bayram (2017).jpg,Canan Bayram
Q103336,Antje Vollmer,female,1943-05-31,11,,,Antje Vollmer (8592931976).jpg,Antje Vollmer
Q103364,Martin Bachhuber,male,1955-10-14,11,,,8143ri-Martin Bachhuber.jpg,Martin Bachhuber
Q1033657,Cansu Özdemir,female,1988-09-08,11,,,2018-09-26 Cansu Özdemir (WLP Hamburg) by Sandro Halank–3.jpg,Cansu Özdemir
Q103436,Daniel Köbler,male,1981-04-03,11,,,2014-02-19 - Daniel Köbler - Landtag Rheinland-Pfalz - 2469.jpg,
Q103518,Christine Scheel,female,1956-12-31,11,,,Scheel0071 klein.jpg,
Q103519,Anton Hofreiter,male,1970-02-02,11,,,"Hofreiter, Anton-9069.jpg",Anton Hofreiter
Q103523,Michael Meister,male,1961-06-09,11,,,2014-09-11 - Michael Meister MdB - 8099.jpg,Michael Meister
Q1035894,Caren Lay,female,1972-12-11,11,,,2020-02-13 Caren Lay (Bundestagsprojekt 2020) by Sandro Halank–3.jpg,Caren Lay
Q1035897,Caren Marks,female,1963-09-25,11,,,Caren Marks (33987177608) (cropped).jpg,Caren Marks
Q1036210,Carina Gödecke,female,1958-10-25,11,,,"Gödecke, Carina-1.jpg",
Q103626,Melanie Oßwald,female,1976-06-01,11,,,,Melanie Oßwald
Q1036421,Carl-Christian Dressel,male,1970-07-24,11,,,,
Q1036430,Carl-Detlev Freiherr von Hammerstein,male,1938-01-26,11,,,Charly von Hammerstein (1998).jpg,Carl-Detlev Freiherr von Hammerstein
Q1036557,Carl-Ludwig Thiele,male,1953-08-09,11,,,,
Q103666,Joachim Pfeiffer,male,1967-04-25,11,,,"Pfeiffer, Joachim-0603 (cropped).jpg",Joachim Pfeiffer
Q103670,Karin Binder,female,1957-08-28,11,,,"Binder, Karin-1300.jpg",Karin Binder
Q103678,Gujjula Ravindra Reddy,male,1954-08-01,11,,,,Gujjula Ravindra Reddy
Q103710,Oliver Krischer,male,1969-07-26,11,,,"Krischer, Oliver-1283.jpg",Oliver Krischer
Q103712,Gerd Bollmann,male,1947-09-28,11,2017-09-17,11,,Gerd Bollmann
Q103740,Ulla Jelpke,female,1951-06-09,11,,,2014-09-09 - Ulla Jelpke MdB - 7048.jpg,Ulla Jelpke
Q103781,Alfred Hartenbach,male,1943-03-05,11,2016-06-25,11,,
Q103855,Uwe Barth,male,1964-07-23,11,,,Uwe Barth Landtag Thüringen 2011-05-19 DSCF6212.jpg,Uwe Barth
Q103861,Christian Ahrendt,male,1963-05-07,11,,,,Christian Ahrendt
Q103964,Albert Füracker,male,1968-02-03,11,,,7915ri-Albert Fueracker.jpg,Albert Füracker
Q103972,Filiz Polat,female,1978-07-11,11,,,"Polat, Filiz-9309.jpg",Filiz Polat
Q1039761,Carl Meulenbergh,male,1943-09-14,11,,,,
Q104150,Monika Griefahn,female,1954-10-03,11,,,Monika griefahn.jpg,Monika Griefahn
Q104151,Carl-Edgar Jarchow,male,1955-03-29,11,,,Carl-Edgar Jarchow 2018 by Jenny Paul – (02) (cropped).jpg,Carl-Edgar Jarchow
Q1041537,Carla Kniestedt,female,1960-05-16,11,,,Flickr - boellstiftung - Eröffnung mit Carla Kniestedt (1).jpg,
Q104185,Claus Peter Poppe,male,1948-03-01,11,,,Landtag Niedersachsen DSCF7170.JPG,Claus Peter Poppe
Q104338,Dorothea Steiner,female,1948-08-21,11,,,Dorothea Steiner.jpg,
Q1043670,Carmen Lallemand-Sauder,female,1953,9,,,,
Q104401,Walter Hirche,male,1941-02-13,11,,,2013-01-20-niedersachsenwahl-207.jpg,
Q104414,Manfred Geis,male,1949-12-27,11,,,2016-11-17 - Manfred Geis - 0455.jpg,
Q104422,Joachim Poß,male,1948-12-27,11,,,Joachim Poß.jpg,
Q1044242,Carola Müller-Holtkemper,female,1955-11-28,11,,,,
Q1044255,Carola Reimann,female,1967-08-25,11,,,Carola Reimann.jpg,Carola Reimann
Q1044264,Carola Stauche,female,1952-05-10,11,,,Carola Stauche 2013.jpg,
Q104428,Karl Lamers,male,1935-11-11,11,2022-08-27,11,,Karl Lamers
Q1044319,Carolin Butterwegge,female,1974-06-28,11,,,Carolin Butterwegge (51846829082).jpg,
Q104434,Ulrike Höfken,female,1955-05-14,11,,,Ulrike hoefken foto kerstin baensch.jpg,Ulrike Höfken
Q1045488,Carsten Biesok,male,1968-12-27,11,,,Carsten Biesok 2019-02-09.png,
Q1045567,Carsten Hübner,male,1969-07-19,11,,,,
Q1045606,Carsten Linnemann,male,1977-08-10,11,,,Hart aber fair 2018-10-08-8565.jpg,Carsten Linnemann
Q1045620,Carsten Meyer,male,1961-07-15,11,,,Carsten Meyer by Stepro 02.JPG,
