catalog,id,name,relationship,relative,relativename
Guinea,Q108418519,Mamadi Doumbouya,spouse,Q108762973,Lauriane Darboux
Guinea,Q108762973,Lauriane Darboux,spouse,Q108418519,Mamadi Doumbouya
Guinea,Q109375616,Mamoudou Nagnalen Barry,sibling,Q95981966,Siaka Barry
Guinea,Q1451112,François Lonseny Fall,spouse,Q85853382,Hadja Asmaou Baldé Conté
Guinea,Q202582,Lansana Conté,spouse,Q81261160,Henriette Conté
Guinea,Q202582,Lansana Conté,spouse,Q85853382,Hadja Asmaou Baldé Conté
Guinea,Q202582,Lansana Conté,spouse,Q85853383,Kadiatou Seth Conté
Guinea,Q323086,Aboubacar Somparé,child,Q96596022,Amara Somparé
Guinea,Q4413,Alpha Condé,spouse,Q5285288,Djené Kaba Condé
Guinea,Q5285288,Djené Kaba Condé,spouse,Q4413,Alpha Condé
Guinea,Q64063016,Aminata Touré,father,Q155402,Ahmed Sékou Touré
Guinea,Q64063016,Aminata Touré,mother,Q110544131,Margueitte Colle
Guinea,Q64063016,Aminata Touré,sibling,Q110546282,Mohamed Touré
Guinea,Q64063016,Aminata Touré,spouse,Q3302509,Maxime Camara
Guinea,Q66708545,Mohamed Béavogui,child,Q70612668,Aissata Béavogui
Guinea,Q718230,Sékouba Konaté,spouse,Q85854081,Mariama Sako Hall Konaté
Guinea,Q739715,Cellou Dalein Diallo,spouse,Q108698515,Halimatou Dalein Diallo
Guinea,Q739715,Cellou Dalein Diallo,spouse,Q108698951,Kadiatou Dalein Bah
