catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Guyana,President,Irfaan Ali,Q64840184,2020-08-02,male,1980-04-25,,Irfaan Ali in 2020.jpg,Irfaan Ali
Guyana,Vice President,Bharrat Jagdeo,Q212760,2020-08-02,male,1964-01-23,,Jabdeo 2022 (cropped).jpg,Bharrat Jagdeo
Guyana,Vice President,Mark Phillips,Q98053664,2020-08-02,male,1961-10-05,,PM Mark Phillips (cropped).jpg,Mark Phillips (Guyanese politician)
Guyana,Prime Minister,Mark Phillips,Q98053664,2020-08-03,male,1961-10-05,,PM Mark Phillips (cropped).jpg,Mark Phillips (Guyanese politician)
Guyana,Minister of Agriculture,Zulfikar Mustapha,Q102734949,2020-08-05,male,,,Zulfikar Mustapha (cropped).jpg,Zulfikar Mustapha
Guyana,Minister of Amerindian Affairs,Pauline Campbell-Sukhai,Q62733923,2020-08-05,female,,,Pauline Sukhai 2022 (cropped).jpg,Pauline Campbell-Sukhai
Guyana,"Minister of Culture, Youth, and Sport",Charles S. Ramson,Q104876875,2020-08-05,male,,,,Charles S. Ramson
Guyana,Minister of Education,Priya Manickchand,Q103393579,2020-08-05,female,,,,Priya Manickchand
Guyana,Minister of Finance,Ashni Singh,Q105715507,2020-11-05,male,,,Ashni Singh 2022 (cropped).jpg,Ashni Singh
Guyana,Minister of Foreign Affairs,Hugh Todd,Q99522589,2020-08-05,male,,,Hugh Todd 2022 (cropped).jpg,Hugh Todd
Guyana,Minister of Health,Frank C.S. Anthony,Q104902365,2020-08-05,male,,,Frank C S Anthony (cropped).jpg,Frank C.S. Anthony
Guyana,Minister of Home Affairs and Public Security,Robeson Benn,Q104581315,2020-08-05,male,1953,,Robeson Benn (cropped).jpg,Robeson Benn
Guyana,Minister of Housing and Water,Collin Croal,Q104591538,2020-08-05,male,,,,Collin Croal
Guyana,Minister of Human Services and Social Security,Vindhya Persaud,Q104598899,2020-08-05,female,,,Vindhya Persaud (cropped).jpg,Vindhya Persaud
Guyana,Minister of Labour,Joseph Hamilton,Q104903343,2020-08-05,male,,,Joseph Hamilton (52085788754) (cropped).jpg,Joseph Hamilton (politician)
Guyana,Minister of Local Government and Regional Development,Nigel Dharamlall,Q104658817,2020-08-05,male,,,,Nigel Dharamlall
Guyana,Minister of Natural Resources,Vickram Bharrat,Q104707794,2020-08-05,male,,,Vikram Bharrat (cropped).jpg,Vickram Bharrat
Guyana,Minister of Parliamentary Affairs and Governance,Gail Teixeira,Q102491098,2020-08-02,female,1952-07-18,,Gail Teixeira (cropped).jpg,Gail Teixeira
Guyana,Minister of Public Service,Sonia Parag,Q104707770,2020-08-05,female,,,Sonia Parag (cropped).jpg,Sonia Parag
Guyana,Minister of Public Works,Juan A. Edghill,Q105044296,2020-08-05,male,,,Juan Edghill (cropped).jpg,Juan Edghill
Guyana,"Minister of Tourism, Industry, and Commerce",Oneidge Walrond,Q104710307,2020-08-05,female,,,Walrond webinar.jpg,Oneidge Walrond
Guyana,Minister within the Office of the Prime Minister,Warren Kwame McCoy,Q113455556,2020-08-05,male,,,,
Guyana,Minister in the Ministry of Housing and Water,Susan Rodrigues,Q104821640,2020-08-05,female,,,,Susan Rodrigues
Guyana,Minister in the Ministry of Local Government and Regional Development,Anand Persaud,Q104667003,2020-08-05,male,,,,Anand Persaud
Guyana,Minister in the Ministry of Public Works,Deodat Indar,Q113455554,2020-08-05,male,,,,
Guyana,Attorney General,Mohabir Anil Nandlall,Q16873156,2020-08-02,male,1973-02-17,,Anil Nandlall.jpg,Mohabir Anil Nandlall
