catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Haiti,President,Ariel Henry,Q107451258,2021-07-20,male,1949-11-06,,Ariel Henry 2023.jpg,Ariel Henry
Haiti,Prime Minister,Ariel Henry,Q107451258,2021-07-20,male,1949-11-06,,Ariel Henry 2023.jpg,Ariel Henry
Haiti,Minister of Agriculture,Charlot Bredy,Q114735632,2021-07-20,,,,,
Haiti,Minister of Commerce and Industry,Ricarden St-Jean,Q114735640,2021-07-20,,,,,
Haiti,Minister of Culture and Communication,Ariel Henry,Q107451258,2021-11-25,male,1949-11-06,,Ariel Henry 2023.jpg,Ariel Henry
Haiti,Minister of Defence,Enold Joseph,Q114735634,2021-07-20,,,,,
Haiti,Minister of Economy and Finance,Michel Patrick Boivert,Q114735638,2021-07-20,,,,,
Haiti,Minister of the Environment,James CADET,Q114736194,2021-07-20,,,,,
Haiti,Minister of Foreign Affairs,Jean Victor Généus,Q113531338,2021-11-24,male,,,,
Haiti,Minister of Haitians Living Abroad,Nazareth AUGUSTE,Q114736196,2021-07-20,,,,,
Haiti,Minister of Health,Alex LARSEN,Q114736193,2021-11-25,,,,,
Haiti,Minister of Interior and Territorial Communities,Ariel Henry,Q107451258,2022-11-14,male,1949-11-06,,Ariel Henry 2023.jpg,Ariel Henry
Haiti,Minister of National Education and Vocational Training,Nesmy Manigat,Q22134355,2021-11-24,male,,,,
Haiti,Minister of Planning and External Cooperation,Ricard Pierre,Q28803401,2021-11-25,male,,,,
Haiti,"Minister of Public Works, Transport and Communications",Rosemond Pradel,Q114735642,2021-11-24,,,,,
Haiti,Minister of Social Affairs and Labour,Odney Pierre Ricot,Q114735956,2021-11-24,,,,,
Haiti,Minister of the Status and Rights of Women,Sofia Loréus,Q111054262,2021-07-20,female,,,,
Haiti,Minister of Tourism,Luz Kurta Cassandra FRANÇOIS,Q114736195,2021-07-20,,,,,
Haiti,"Minister of Youth, Sports and Civic Action",Raymonde RIVAL,Q114736197,2021-11-25,,,,,
