catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Honduras,President,Xiomara Castro,Q8044708,2022-01-27,female,1959-09-30,,Xiomara Castro 2022 (cropped).jpg,Xiomara Castro
Honduras,Secretary of Agriculture,Laura Suazo,Q110787218,2022-01-27,female,,,,
Honduras,Secretary of Art and Culture,Anarella Vélez,Q112916742,2022-01-27,female,,,Anarella Vélez.jpg,
Honduras,Secretary of Communications,Ivis Alvarado,Q114713840,2022-01-27,male,,,,
Honduras,Secretary of Defence,José Manuel Zelaya,Q110787063,2022-01-27,male,,,,
Honduras,Secretary of Development and Social Inclusion,José Carlos Cardona,Q114713841,2022-01-27,male,,,,
Honduras,Secretary of Economic Development,Pedro Barquero,Q114713846,2022-01-27,male,,,,
Honduras,Secretary of Education,Daniel Sponda,Q110787162,2022-01-27,male,,,,
Honduras,"Secretary of Energy, Natural Resources, Environment, and Mines",Lucky Medina,Q114713842,2022-01-27,male,,,,
Honduras,Secretary of Finance,Rixi Moncada,Q76760763,2022-01-27,female,1965,,,
Honduras,Secretary of Foreign Affairs,Eduardo Enrique Reina,Q111077006,2022-01-27,male,,,Eduardo Enrique Reina.jpg,
Honduras,Secretary of Health,José Manuel Matheu,Q110787179,2022-01-27,male,,,José Manuel Matheu.jpg,
Honduras,Secretary of Human Rights,Natalie Roque,Q114713845,2022-01-27,female,,,,
Honduras,Secretary of Infrastructure,Mauricio Ramos,Q114713844,2022-01-27,male,,,,
Honduras,Secretary of the Interior and Justice,Tomás Vaquero,Q110786495,2022-01-27,male,,,,
Honduras,Secretary of Labour and Social Security,Sarahí Cerna,Q114713850,2022-01-27,female,,,,
Honduras,Secretary of Revenue,Marlon Ochoa,Q114713843,2022-01-27,male,,,,
Honduras,Secretary of Security,Ramón Sabillón,Q114713847,2022-01-27,male,,,,
Honduras,Secretary of Tourism,Yadira Gómez,Q114713851,2022-01-27,female,,,,
Honduras,Secretary for Women,Doris García,Q114713839,2022-02-03,female,,,,
Honduras,Secretary of Youth Affairs,Zulmit Rivera,Q114713852,2022-01-27,male,,,,
Honduras,Cabinet Secretary,Rodolfo Pastor de María Campos,Q114713849,2022-01-27,male,,,,
Honduras,Minister for Transparency and the Fight Against Corruption,Edmundo Orellana,Q3577002,2022-01-27,male,1948-10-20,,,Edmundo Orellana
Honduras,Private Secretary of the Presidency,Héctor Zelaya Castro,Q110787596,2022-01-27,male,,,,
Honduras,Commissioner of the Banking and Insurance Commission,Marcio Sierra,Q114714121,2022-01-27,male,,,,
Honduras,President of the National Congress,Luis Redondo Guifarro,Q110849189,2022-01-25,male,1964-12-04,,,Luis Redondo
Honduras,President of the Central Bank,Rebeca Santos,Q111076732,2022-01-27,female,,,Rebeca Santos.jpg,
