id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q1001178,Ádám Ficsor,male,1980-06-17,11,,,,Ádám Ficsor
Q1001652,Mátyás Firtl,male,1949-10-30,11,,,Firtl Mátyás 2011-11.jpg,Mátyás Firtl
Q1002295,Gábor Fodor,male,1962-09-27,11,,,Gabor Fodor.jpg,Gábor Fodor (politician)
Q1002339,Lajos Fodor,male,1947-07-27,11,,,Fodor Lajos 2010.jpg,Lajos Fodor
Q1002913,Imre Forgács,male,1949-04-09,11,,,,Imre Forgács
Q100293382,János Csontos,male,1954-08-16,11,,,,
Q1003281,Imre Frajna,male,1964-11-28,11,,,,
Q1008528,Tamás Gaudi-Nagy,male,1971-08-12,11,,,,
Q1008626,János Gazdag,male,1948-06-12,11,,,,
Q1008844,Ferenc Gegesy,male,1950-02-11,11,,,Gegesy Ferenc.jpg,
Q1010377,Erzsébet Gidai,female,1940-05-22,11,2008-08-19,11,GidaiErzsébet.jpg,
Q101044399,József Szabó,male,1945-07-31,11,,,,
Q101068593,Endre Rózsa,male,1954-07-07,11,,,,
Q101069119,János Molnár,male,1942-01-06,11,,,,
Q101069220,Imre Lakos,male,1953-04-09,11,,,,
Q102200,Árpád Göncz,male,1922-02-10,11,2015-10-06,11,GönczÁrpád.jpg,Árpád Göncz
Q102438488,Zoltán Székely,male,1958-11-26,11,,,,
Q102439130,Gábor Szabó,male,1956-09-11,11,,,,
Q1028345,József Gráf,male,1946-10-16,11,,,GrafJozsef.png,József Gráf
Q1028665,Dénes Gulyás,male,1954-03-31,11,,,Gulyás Dénes.JPG,Dénes Gulyás
Q1028913,Péter Gusztos,male,1976-06-07,11,,,,
Q1029066,Erzsébet Gy. Németh,female,1962-01-21,11,,,"2021-06-18 Budafok, helyreállított Nepomuki Szent János-szobor átadása és felszentelése 12.jpg",Erzsébet Gy. Németh
Q1029152,Zoltán Gyapay,male,1960-06-05,11,,,,
Q1029282,István Gyenesei,male,1948-04-01,11,,,,István Gyenesei
Q1029555,Endre Gyimesi,male,1952-10-20,11,,,Gyimesi Endre ZTE-meccsen.jpg,Endre Gyimesi
Q1030490,Kálmán Györgyi,male,1939-05-24,11,2019-02-17,11,,Kálmán Györgyi
Q1030572,Csaba Gyüre,male,1965-05-19,11,,,Gyüre Csaba.jpg,Csaba Gyüre
Q1031025,Zoltán Gál,male,1940-12-10,11,,,Gál Zoltán 2013.JPG,Zoltán Gál
