catalog,id,name,relationship,relative,relativename
India,Q100320657,Bijay Shankar Das,father,Q24255138,Bishnu Charan Das
India,Q10218,Rahul Gandhi,father,Q4593,Rajiv Gandhi
India,Q10218,Rahul Gandhi,mother,Q163225,Sonia Gandhi
India,Q10218,Rahul Gandhi,sibling,Q607685,Priyanka Vadra
India,Q1058,Narendra Modi,father,Q66606210,Damodardas Mulchand Modi
India,Q1058,Narendra Modi,mother,Q105529920,Heeraben Modi
India,Q1058,Narendra Modi,spouse,Q16947607,Jashodaben Narendrabhai Modi
India,Q106811781,Deepti Kiran Maheshwari,mother,Q6414812,Kiran Maheshwari
India,Q111343881,Ganieve Kaur Majithia,spouse,Q16215906,Bikram Singh Majithia
India,Q1190856,Naveen Patnaik,father,Q3526595,Biju Patnaik
India,Q1190856,Naveen Patnaik,relative,Q7562067,Sonny Mehta
India,Q1190856,Naveen Patnaik,sibling,Q23879683,Geeta Mehta
India,Q1190856,Naveen Patnaik,sibling,Q538719,Gita Mehta
India,Q1206954,Kapil Sibal,spouse,Q26242991,Nina Sibal
India,Q12070269,Kabir Suman,spouse,Q7396131,Sabina Yasmin
India,Q122304,Nitish Kumar,child,Q111362325,Nishant Kumar
India,Q122304,Nitish Kumar,spouse,Q111362322,Manju Sinha
India,Q12447464,Mridula Sinha,spouse,Q17661801,Ram Kripal Sinha
India,Q1287413,Kamal Nath,child,Q62773778,Nakul Nath
India,Q1287413,Kamal Nath,relative,Q5250527,Deepak Puri
India,Q1287413,Kamal Nath,sibling,Q65962526,Nita Puri
India,Q1287413,Kamal Nath,spouse,Q15940986,Alka Nath
India,Q13110345,E. P. Jayarajan,relative,Q13113248,P. Jayarajan
India,Q13110345,E. P. Jayarajan,relative,Q7117373,P. K. Sreemathy
India,Q13110345,E. P. Jayarajan,relative,Q7117530,P. Satheedevi
India,Q13115267,Hibi Eden,father,Q65321337,ജോർജ് ഈഡൻ
India,Q13219724,K. B. Ganesh Kumar,father,Q7273485,R. Balakrishna Pillai
India,Q1338044,Vijay Bahuguna,child,Q67143708,Saurabh Bahuguna
India,Q1338044,Vijay Bahuguna,father,Q5712859,Hemwati Nandan Bahuguna
India,Q1338044,Vijay Bahuguna,mother,Q19805480,Kamala Bahuguna
India,Q1338044,Vijay Bahuguna,sibling,Q7336472,Rita Bahuguna Joshi
India,Q13564486,K. Muraleedharan,father,Q3521777,K. Karunakaran
India,Q13564486,K. Muraleedharan,sibling,Q16137057,Padmaja Venugopal
India,Q13587355,Sujatha Singh,father,Q6061749,T. V. Rajeswar
India,Q13619621,Hemant Soren,father,Q3630358,Shibu Soren
India,Q13619621,Hemant Soren,sibling,Q24398797,Durga Soren
