catalog,id,name,relationship,relative,relativename
Indonesia,Q101429334,Mutammimul Ula,child,Q101429326,Muhammad Saihul Basyir
Indonesia,Q105970746,Hendra S Singkarru,child,Q105970755,Dirga Adhi Putra Singkarru
Indonesia,Q105970746,Hendra S Singkarru,child,Q85988791,Andri Singkarru
Indonesia,Q105970746,Hendra S Singkarru,child,Q96989087,Ratih Megasari Singkarru
Indonesia,Q105970746,Hendra S Singkarru,spouse,Q105970796,Rita Puspita
Indonesia,Q10860301,Syahrul Yasin Limpo,child,Q97590819,Indira Chunda Thita Syahrul
Indonesia,Q10860301,Syahrul Yasin Limpo,child,Q97670139,Kemal Redindo Syahrul
Indonesia,Q10860301,Syahrul Yasin Limpo,child,Q97670151,Rinra Sujiwa Syahrul
Indonesia,Q10860301,Syahrul Yasin Limpo,father,Q26818531,M. Yasin Limpo
Indonesia,Q10860301,Syahrul Yasin Limpo,sibling,Q16182111,Ichsan Yasin Limpo
Indonesia,Q10860301,Syahrul Yasin Limpo,spouse,Q97670113,Ayu Sri Harahap
Indonesia,Q10860321,Rusli Habibie,child,Q106037408,Mohamad Alham Prasogo Habibie
Indonesia,Q10860321,Rusli Habibie,spouse,Q96988723,Idah Syahidah Rusli Habibie
Indonesia,Q109541000,Juniwati T. Masjchun S,spouse,Q12497248,Masjchun Sofwan
Indonesia,Q12470931,Agus Gumiwang Kartasasmita,spouse,Q12495072,Loemongga
Indonesia,Q12471140,Airlangga Hartarto,child,Q104166536,Adanti
Indonesia,Q12471140,Airlangga Hartarto,father,Q12485357,Hartarto Sastrosoenarto
Indonesia,Q12471140,Airlangga Hartarto,spouse,Q104166497,Yanti K. Isfandiary
Indonesia,Q12477379,Budi Gunawan,child,Q96987994,Mochamad Herviano
Indonesia,Q12482544,Epyardi Asda,child,Q96989450,Athari Gauthi Ardi
Indonesia,Q12482713,Fahira Fahmi Idris,father,Q5429568,Fahmi Idris
Indonesia,Q12482713,Fahira Fahmi Idris,sibling,Q16176665,Fahrina Fahmi Idris
Indonesia,Q12485056,Haeny Relawati Rini Widyastuti,child,Q104830804,Aditya Halindra Faridzky
Indonesia,Q12485056,Haeny Relawati Rini Widyastuti,child,Q106037105,Aulia Hany Mustikasari
Indonesia,Q12485056,Haeny Relawati Rini Widyastuti,child,Q106037119,Adelia Hanindya Nastiti
Indonesia,Q12485056,Haeny Relawati Rini Widyastuti,child,Q16180109,Aldwin Hafid Harsandi
Indonesia,Q12485056,Haeny Relawati Rini Widyastuti,spouse,Q106036989,Ali Hasan
Indonesia,Q12485356,Hartanto Edhie Wibowo,sibling,Q4200758,Ani Yudhoyono
Indonesia,Q12497177,Ma'ruf Amin,child,Q85994404,Siti Nur Azizah Ma'ruf
Indonesia,Q12497177,Ma'ruf Amin,spouse,Q106044555,Siti Churiyah
Indonesia,Q12497177,Ma'ruf Amin,spouse,Q85995222,Wury Estu Handayani
Indonesia,Q12499368,Muhammad Lutfi,father,Q56391300,Firdaus Wadjdi
Indonesia,Q12499835,Nafsiah Mboi,sibling,Q12482565,Erna Witoelar
Indonesia,Q12499835,Nafsiah Mboi,spouse,Q12475663,Ben Mboi
Indonesia,Q12501020,Nurdin Tampubolon,child,Q96987974,Sondang Tiar Debora Tampubolon
Indonesia,Q12501035,Nurul Arifin,spouse,Q97363554,Mayong Suryo Laksono
Indonesia,Q12506342,Pramono Anung,child,Q107564265,Hanindhito Himawan Pramana
Indonesia,Q12515517,Titiek Suharto,child,Q17410486,Didit Hediprasetyo
Indonesia,Q12515517,Titiek Suharto,father,Q44819,Suharto
Indonesia,Q12515517,Titiek Suharto,mother,Q4201169,Tien Soeharto
Indonesia,Q12515517,Titiek Suharto,sibling,Q12473900,Bambang Trihatmodjo
Indonesia,Q12515517,Titiek Suharto,sibling,Q12514651,Sigit Harjojudanto
Indonesia,Q12515517,Titiek Suharto,sibling,Q20278519,Mamiek Soeharto
Indonesia,Q12515517,Titiek Suharto,sibling,Q3177695,Tommy Suharto
Indonesia,Q12515517,Titiek Suharto,sibling,Q7531876,Tutut Soeharto
Indonesia,Q12515517,Titiek Suharto,spouse,Q2107268,Prabowo Subianto
Indonesia,Q12516581,Suharso Monoarfa,spouse,Q96989175,Nurhayati
Indonesia,Q12521116,Tetty Kadi,child,Q109498234,Duhita Panchatantra
Indonesia,Q12521116,Tetty Kadi,child,Q109498246,Simhala Avadana
Indonesia,Q12521116,Tetty Kadi,spouse,Q109498266,Bawono Yudo
Indonesia,Q12522317,Tri Rismaharini,spouse,Q106536090,Djoko Saptoadji
Indonesia,Q12523651,Verna Gladies Merry Inkiriwang,father,Q25467966,Piet Inkiriwang
Indonesia,Q12524647,Wishnutama,spouse,Q12484218,Gista Putri
Indonesia,Q12524647,Wishnutama,spouse,Q19745208,Wina Natalia
Indonesia,Q13091583,Angelina Sondakh,spouse,Q4683174,Adjie Massaid
Indonesia,Q13092889,E.E. Mangindaan,child,Q25459745,Harley Alfredo Benfica Mangindaan
Indonesia,Q13092889,E.E. Mangindaan,father,Q12482243,E.A. Mangindaan
Indonesia,Q14917375,Luhut Binsar Panjaitan,child,Q106462747,Paulus Panjaitan
Indonesia,Q14917375,Luhut Binsar Panjaitan,child,Q106462750,David Panjaitan
Indonesia,Q14917375,Luhut Binsar Panjaitan,child,Q106462759,Kerri Na Basaria
Indonesia,Q14917375,Luhut Binsar Panjaitan,child,Q72464295,Paulina Pandjaitan
Indonesia,Q14917375,Luhut Binsar Panjaitan,father,Q106462718,Bonar Panjaitan
Indonesia,Q14917375,Luhut Binsar Panjaitan,mother,Q106462717,Siti Frida Naiborhu
Indonesia,Q14917375,Luhut Binsar Panjaitan,sibling,Q12501029,Nurmala Kartini Sjahrir
Indonesia,Q14917375,Luhut Binsar Panjaitan,spouse,Q106462700,Devi Simatupang
Indonesia,Q15620237,Hikmat Tomet,child,Q16167068,Andika Hazrumy
Indonesia,Q15620237,Hikmat Tomet,child,Q85988757,Andiara Aprilia Hikmat
Indonesia,Q15620237,Hikmat Tomet,spouse,Q7296050,Ratu Atut Chosiyah
Indonesia,Q15646541,Puan Maharani,child,Q100573485,Diah Pikatan Orissa Putri Hapsari
Indonesia,Q15646541,Puan Maharani,child,Q100573617,Praba Diwangkara Caraka Putra Soma
Indonesia,Q15646541,Puan Maharani,father,Q4201140,Taufiq Kiemas
Indonesia,Q15646541,Puan Maharani,mother,Q76179,Megawati Soekarnoputri
Indonesia,Q15646541,Puan Maharani,relative,Q17410937,Muhammad Prananda Prabowo
Indonesia,Q15646541,Puan Maharani,relative,Q64823485,Muhammad Rizki Pratama
Indonesia,Q15646541,Puan Maharani,spouse,Q96602131,Hapsoro Sukmonohadi
Indonesia,Q16164943,Ahmed Zaki Iskandar,father,Q12486822,Ismet Iskandar
Indonesia,Q16167068,Andika Hazrumy,father,Q15620237,Hikmat Tomet
