catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Iraq,President,Barham Salih,Q808173,2018-10-02,male,1960-09-12,,Barham Salih (cropped).jpg,Barham Salih
Iraq,Prime Minister,Mustafa Al-Kadhimi,Q85317569,2020-05-06,male,1967-07-05,,Mustafa al-Kadhimi (cropped).jpg,Mustafa Al-Kadhimi
Iraq,Deputy Prime Minister,Ali Allawi,Q2646641,2020-05-07,male,1947,,Ali Allawi Iraq’s Deputy Prime Minister and Finance Minister.png,Ali Allawi
Iraq,Minister of Agriculture,Mohamed Karim Alkhafaji,Q110634579,2020-06-06,,,,,
Iraq,Minister of Communications,Arkan Shahab,Q100261106,2020-05-07,,,,,
Iraq,"Minister of Construction, Housing, Municipalities and Public Works",Naznin Shaikh Muhammed,Q96118750,2020-05-07,female,1959,,,
Iraq,Minister of Culture,Hassan Nadhem,Q20393732,2020-06-06,male,1965-11-01,,,
Iraq,Minister of Defence,Juma Inad,Q93654245,2020-05-06,male,1956,,Joumah Enad.jpg,Juma Inad
Iraq,Minister of Displacement and Migration,Evan Faeq Yacub,Q96115453,2020-06-06,female,1981,,,
Iraq,Minister of Education,Ali Hamid Mukhlif,Q100258481,2020-05-07,,,,,
Iraq,Minister of Electricity,Majid Mahdi Hantoush,Q110634543,2020-05-07,,,,,
Iraq,Minister of Finance,Ali Allawi,Q2646641,2020-05-07,male,1947,,Ali Allawi Iraq’s Deputy Prime Minister and Finance Minister.png,Ali Allawi
Iraq,Minister of Foreign Affairs,Fuad Hussein,Q56704276,2020-06-06,male,1949,,Fuad Hussein in Tehran 20190406.jpg,Fuad Hussein
Iraq,Minister of Health,Hani Musa Badr,Q110634140,2021-05-25,male,,,,
Iraq,Minister of Higher Education and Scientific Research,Nabil Abdulsahib,Q99518857,2020-05-07,,1965,,,
Iraq,Minister of Industry,Manhal Aziz,Q110634124,2020-05-07,,,,,
Iraq,Minister of Interior,Othman al-Ghanmi,Q29834564,2020-05-06,male,,,Othman al-Ghanmi 2020.png,Othman al-Ghanmi
Iraq,Minister of Justice,Salar Abdul Sattar Muhammad,Q110634562,2020-06-06,,,,,
Iraq,Minister of Labor and Social Affairs,Adil Hashush,Q105744990,2020-05-07,male,1968,,,
Iraq,Minister of Oil,Ihsan Abdul Jabbar Ismail,Q96096929,2020-06-06,male,1974,,Ihsan Abduljabbar al-Saedi.jpg,
Iraq,Minister of Planning,Khalid Najim,Q93459603,2020-05-07,,,,,
Iraq,Minister of Trade,Alla Ahmed Hassan,Q110634583,2020-06-06,,,,,
Iraq,Minister of Transportation,Nasir Hussein,Q110634551,2020-05-07,,,,,
Iraq,Minister of Water Resources,Mahdi Rashid,Q110634544,2020-05-07,,,,,
Iraq,Minister of Youth and Sports,Adnan Dirjal,Q4683880,2020-05-07,male,1960-01-26,,Adnan Derjal.jpg,Adnan Dirjal
Iraq,Minister of State for Parliament Affairs,Heyam Nemat,Q106422448,2020-12-15,female,1961-10-18,,,
Iraq,Speaker of Council of Representatives,Mohamed al-Halbousi,Q47008930,2018-09-15,male,1981-01-04,,Deputy Secretary Sullivan with Al-Halbousi (31647284718) (cropped).jpg,Mohamed Al-Halbousi
Iraq,Governor of the Central Bank,Mustafa Ghaleb,Q110634964,2020-09-15,male,,,,
Iraq,Chief of the General Staff,Abdul Ameer Rasheed Yarallah,Q106844871,2020-06-08,male,1964-08-18,,عبد الأمير رشيد يار الله.jpg,Abdel Emir Yarallah
Iraq,Mayor of Baghdad,Alaa Maan,Q100969271,2020-10-28,male,1967-05,,,
