id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q106808901,Julie Edge,female,,,,,,Julie Edge
Q106808905,Lawrie Hooper,male,,,,,,Lawrie Hooper
Q107832854,Timothy Baker,male,,,,,,
Q107833017,Alexander J Allinson,male,,,,,,
Q108933969,Clare Barber,female,,,,,,
Q11169337,Noel Cringle,male,1937-12-16,11,2021-08-28,11,,Noel Cringle
Q112577965,Chris Thomas,male,,,,,,
Q1278584,Richard Gozney,male,1951-07-21,11,,,Governor175.jpg,Richard Gozney
Q1378254,James Anthony Brown,male,1950-01-05,11,,,,Tony Brown (Manx politician)
Q16735234,John Rimmington,male,,,,,,John Rimington
Q24852556,Laurence Skelly,male,,,,,,Laurence Skelly
Q25751961,Graham Cregeen,male,,,,,,Graham Cregeen
Q25752002,Alfred Cannan,male,,,,,,Alfred Cannan
Q25752048,Howard Quayle,male,1967,9,,,Howard Quayle.jpg,Howard Quayle
Q25752130,Ray Harmer,male,,,,,,Ray Harmer
Q2975531,Clare Christian,female,1945-09-11,11,,,,Clare Christian
Q351194,Adam Wood,male,1955-03-13,11,,,MMRC Sloc 2012-04-27 (0).jpg,Adam Wood
Q3529060,Timothy Daunt,male,1935-10-11,11,,,,Timothy Daunt
Q373700,Richard Corkill,male,1951,9,,,,Richard Corkill
Q43549347,Jane Poole-Wilson,female,,,,,,Jane Poole-Wilson
Q50676528,Kate Lord-Brennan,female,,,,,,Kate Lord-Brennan
Q5079779,Charles Kerruish,male,1917-07-23,11,2003-08-02,11,,Charles Kerruish
Q54935545,David Ashford,male,1977,9,,,,David Ashford
Q6245279,John Lorimer,male,1962-11-27,11,,,John G. Lorimer.jpg,John Lorimer (British Army officer)
Q6301157,Juan Watterson,male,1980-07-04,11,,,,Juan Watterson
Q7613782,Steve Rodan,male,1954-04-19,11,,,,Steve Rodan
Q7803374,Tim Crookall,male,,,,,,Tim Crookall
Q84598810,Geoffrey Boot,male,1953,9,,,,Geoffrey Boot
Q935074,Donald Gelling,male,1938-07-05,11,,,,Donald Gelling
Q9682,Elizabeth II,female,1926-04-21,11,,,Queen Elizabeth II of New Zealand (cropped).jpg,Elizabeth II
Q976107,Allan Bell,male,1947-06-20,11,,,Alan Bell 2007.jpg,Allan Bell
