catalog,id,name,relationship,relative,relativename
Jamaica,Q109147,Patrick Allen,spouse,Q111362298,Patricia Beckford
Jamaica,Q1167006,Daryl Vaz,father,Q74483125,Douglas Vaz
Jamaica,Q1167006,Daryl Vaz,spouse,Q74600954,Ann-Marie Vaz
Jamaica,Q16751168,Tom Tavares-Finson,spouse,Q253612,Cindy Breakspeare
Jamaica,Q2065916,Pearnel Charles,sibling,Q50385566,Lorna Golding
Jamaica,Q315662,Bruce Golding,father,Q7673897,Tacius Golding
Jamaica,Q47308275,Juliet Holness,spouse,Q505200,Andrew Holness
Jamaica,Q505200,Andrew Holness,spouse,Q47308275,Juliet Holness
Jamaica,Q9682,Elizabeth II,child,Q151754,"Anne, Princess Royal"
Jamaica,Q9682,Elizabeth II,child,Q153330,"Prince Andrew, Duke of York"
Jamaica,Q9682,Elizabeth II,child,Q154920,"Prince Edward, Earl of Wessex"
Jamaica,Q9682,Elizabeth II,child,Q43274,"Charles, Prince of Wales"
Jamaica,Q9682,Elizabeth II,father,Q280856,George VI
Jamaica,Q9682,Elizabeth II,mother,Q10633,"Queen Elizabeth, The Queen Mother"
Jamaica,Q9682,Elizabeth II,sibling,Q153815,"Princess Margaret, Countess of Snowdon"
Jamaica,Q9682,Elizabeth II,spouse,Q80976,"Prince Philip, Duke of Edinburgh"
