id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100454297,Toyohito Ikeda,male,1961-07-15,11,,,Toyohito Ikeda 2018.jpg,
Q100454684,Katsuyuki Ichimi,male,1963,9,,,三重県 知事 一見勝之.jpg,
Q101137,Yasuo Fukuda,male,1936-07-16,11,,,Yasuo Fukuda 200709.jpg,Yasuo Fukuda
Q102250452,守島正,male,,,,,,
Q104012817,Takao Shimozuru,male,,,,,鹿児島県鹿児島市 市長 下鶴隆央.jpg,
Q1045577,Toshihiko Fukui,male,1935-09-07,11,,,Toshihiko Fukui.jpg,Toshihiko Fukui
Q1047651,Masaru Hayami,male,1925-03-24,11,2009-05-17,11,Masaru Hayami.jpg,Masaru Hayami
Q106479603,Kunio Arakaki,male,1956-06-19,11,,,,
Q107917854,Motohiko Saitō,male,1977-11-15,11,,,兵庫県 知事 齋藤元彦.jpg,Motohiko Saitō
Q108110359,Yutaka Arai,male,1975-02-28,11,,,,Yutaka Arai
Q108777328,Tsukasa Abe,male,1982-06-18,11,,,,
Q1091221,Chuichi Date,male,1939-01-20,11,,,Chuichi Date 20190624.jpg,Chūichi Date
Q109288222,神田潤一,male,,,,,,
Q109288290,上田英俊,male,,,,,,
Q109288314,Akihisa Shiozaki,male,1976-09-09,11,,,,
Q1093223,Tarō Yamamoto,male,1974-11-24,11,,,Taro Yamamoto 202006 (cropped).jpg,Tarō Yamamoto
Q109332674,Satoshi Honjō,male,1974-10-22,11,,,,
Q109335900,Sō Watanabe,male,,,,,,
Q109336845,Akiko Ōishi,female,1977-05-27,11,,,,
Q109342279,Kuniyoshi Azuma,male,1968-02-17,11,,,,
Q109344844,中野英幸,male,1961-09-06,11,,,Hideyuki Nakano 20220812.jpg,
Q109344952,Susumu Yamaguchi,male,1983-07-28,11,,,,
Q109345586,Maki Misaki,female,,,,,,
Q109345880,Japanese politician,male,1990-10-30,11,,,,Shin Tsuchida
Q109346697,古川直季,male,1968-08-31,11,,,,
Q109347399,Takuo Komori,male,1970-05-21,11,,,,
Q109348767,Hideto Kawasaki,male,1981-11-04,11,,,,
Q109349061,勝目康,male,1974-05-17,11,,,,
Q109349172,Jōji Uruma,male,1974-09-14,11,,,,
Q109349388,Taku Ikeshita,male,1975-04-10,11,,,,
Q109349708,Ryōhei Iwatani,male,1980-06-07,11,,,,
Q109350078,Yasuhiro Takami,male,1980-10-16,11,,,,
Q109359179,Junji Hasegawa,male,1968-08-05,11,,,,
Q109359669,Kaname Tsutsumi,female,1960-10-27,11,,,,
Q109360284,加藤竜祥,male,1980-02-10,11,,,,
Q109361078,Kureha Otsuki,female,1983-10-16,11,,,,
Q109361977,Yūki Baba,male,1992-10-15,11,,,,Yuki Baba
