catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Japan,Emperor,Naruhito,Q217096,2019-05-01,male,1960-02-23,,Emperor Naruhito and Empress Masako (cropped).jpg,Naruhito
Japan,Prime Minister,Fumio Kishida,Q359480,2021-11-10,male,1957-07-29,,Fumio Kishida 20211005.jpg,Fumio Kishida
Japan,"Minister of Agriculture, Forestry and Fisheries",Tetsuro Nomura,Q7706917,2022-08-10,male,1943-11-20,,農林水産大臣 野村哲郎（のむら てつろう）.jpg,Tetsuro Nomura
Japan,Minister of Defence,Yasukazu Hamada,Q1132836,2022-08-10,male,1955-10-21,,Yasukazu Hamada 20080924.jpg,Yasukazu Hamada
Japan,Minister for Digital Transformation,Taro Kono,Q1161024,2022-08-10,male,1963-01-10,,Tarō Kōno 20200916.jpg,Taro Kono
Japan,Minister for Economic Cooperation with Russia,Yasutoshi Nishimura,Q8050121,2022-08-10,male,1962-10-15,,Yasutoshi Nishimura 20190911.jpg,Yasutoshi Nishimura
Japan,"Minister of Economy, Trade and Industry",Yasutoshi Nishimura,Q8050121,2022-08-10,male,1962-10-15,,Yasutoshi Nishimura 20190911.jpg,Yasutoshi Nishimura
Japan,"Minister of Education, Culture, Sports, Science and Technology",Keiko Nagaoka,Q6383690,2022-08-10,female,1953-12-08,,Nagaoka Keiko (2018).png,Keiko Nagaoka
Japan,Minister of the Environment,Akihiro Nishimura,Q4700938,2022-08-10,male,1960-07-16,,Nishimura Akihiro (2019).png,Akihiro Nishimura (politician)
Japan,Minister of Finance,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,,Shunichi Suzuki 20211004.jpg,Shun'ichi Suzuki (politician)
Japan,Minister for Foreign Affairs,Yoshimasa Hayashi,Q1141271,2021-11-10,male,1961-01-19,,Yoshimasa Hayashi 20211110.jpg,Yoshimasa Hayashi
Japan,Minister for Green Transformation,Yasutoshi Nishimura,Q8050121,2022-08-10,male,1962-10-15,,Yasutoshi Nishimura 20190911.jpg,Yasutoshi Nishimura
Japan,"Minister of Health, Labour and Welfare",Katsunobu Kato,Q6378155,2022-08-10,male,1955-11-22,,Katsunobu Katō.jpg,Katsunobu Katō
Japan,Minister for Internal Affairs and Communications,Minoru Terada,Q6869306,2022-08-10,male,1958-01-24,,Terada minoru.jpg,Minoru Terada
Japan,Minister of Justice,Yasuhiro Hanashi,Q8049977,2022-08-10,male,1959-10-12,,Yasuhiro Hanashi.jpg,Yasuhiro Hanashi
Japan,"Minister of Land, Infrastructure, Transport and Tourism",Tetsuo Saito,Q926287,2021-10-04,male,1952-02-05,,Tetsuo Saitō.jpg,Tetsuo Saito
Japan,Minister for Reconstruction,Kenya Akiba,Q49996,2022-08-10,male,1962-07-03,,Akiba kenya.jpg,Kenya Akiba
Japan,Minister for the World Expo 2025,Naoki Okada,Q6964565,2022-08-10,male,1962-06-09,,Okada Naoki (2019).png,Naoki Okada
Japan,Minister for the World Horticultural Exhibition Yokohama 2027,Tetsuo Saito,Q926287,2022-08-10,male,1952-02-05,,Tetsuo Saitō.jpg,Tetsuo Saito
Japan,Minister in Charge of Administrative Reform,Naoki Okada,Q6964565,2022-08-10,male,1962-06-09,,Okada Naoki (2019).png,Naoki Okada
Japan,Minister in Charge of Building National Resilience,Koichi Tani,Q6426240,2022-08-10,male,1952-01-28,,Koichi Tani IMG 3880-2 20140117.JPG,Koichi Tani
