catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Jersey,Bailiff,Tim Le Cocq,Q60767976,2019,male,1956,,,Timothy Le Cocq
Jersey,Chief Minister,Kristina Moore,Q6438257,2022-07-12,female,,,,Kristina Moore
Jersey,Minister for Children and Education,Inna Gardiner,Q113039931,2022-07-12,female,,,,
Jersey,"Minister for Economic Development, Tourism, Sport and Culture",Kirsten Morel,Q113039990,2022-07-12,male,,,,
Jersey,Minister for External Relations,Philip Ozouf Jr.,Q3379061,2022-07-12,male,1970-03-25,,Royal Visit 2012 0015.jpg,Philip Ozouf
Jersey,Minister for Health and Social Services,Karen Wilson,Q113039977,2022-07-12,female,,,,
Jersey,Minister for Home Affairs,Helen Miles,Q113040072,2022-07-12,female,,,,
Jersey,Minister for Housing and Communities,David Warr,Q113039964,2022-07-12,male,,,,
Jersey,Minister for Infrastructure,Tom Binet,Q113039992,2022-07-12,male,,,,
Jersey,Minister for International Development,Carolyn Labey,Q5045403,2018,female,,,Assèrmentâtion des Membres d's Êtats 2011 Saint Hélyi Jèrri 11.jpg,Carolyn Labey
Jersey,Minister for Social Security,Elaine Millar,Q113040012,2022-07-12,female,,,,
Jersey,Minister for the Environment,Jonathan Renouf,Q113040032,2022-07-12,male,,,,
Jersey,Minister for Treasury and Resources,Ian Gorst,Q5015992,2022-07-12,male,,,Ian gorst in the royal square.JPG,Ian Gorst
