id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100146351,Betty Maina,female,,,,,,Betty Maina
Q100146396,Simon Chelugui,male,,,,,,Simon Chelugui
Q102290636,Robert Kariuki Kibochi,male,,,,,,Robert Kariuki Kibochi
Q1030776,Mohamed Yusuf Haji,male,1940-12-23,11,,,Yusufhaji.jpg,Mohamed Yusuf Haji
Q103732378,Elijah K. Sumbeiywo,male,,,2012,9,,Elijah K. Sumbeiywo
Q104554824,Lazarus Amayo,male,1955-03-23,11,,,,
Q105527734,John Oyioka,male,,,2021,9,,John Oyioka
Q105642336,Wanjiku Muhia,female,,,,,,Wanjiku Muhia
Q105972509,Patrick Khaemba,male,1955-12-14,11,,,,Patrick Khaemba
Q106462913,Josphat K. Maikara,male,,,,,,
Q106641905,Martha Koome,female,1960-06-03,11,,,Martha Koome 2022.jpg,Martha Koome
Q107222476,Rachel Shebesh,female,,,,,,Rachel Shebesh
Q107465958,Noordin Haji,male,1973-07-03,11,,,,Noordin Haji
Q107529095,Ali Korane,male,,,,,,Ali Korane
Q108739372,Nancy Gathungu,female,,,,,,Nancy Gathungu
Q109070160,Wilson Sossion,male,1969,9,,,,Wilson Sossion
Q109570540,Mohammad Ali Mohamed,male,,,,,,Mohammad Ali (Kenyan politician)
Q110996829,Martin Kimani,male,1971,9,,,Freedom of religion or belief (30134586570).jpg,Martin Kimani
Q111177823,Joe Aketch,male,,,,,,
Q111177824,Dick Waweru,male,,,,,,
Q111177826,John Ndirangu Kariuki,male,,,,,,
Q111177838,Benson Mutura,,1972,9,,,,
Q111177853,Lena Moi,female,,,,,,
Q111179918,David Ochieng Ouma,male,,,,,,
Q111179984,Halima Yussuf Mucheke,female,,,,,,
Q111179987,Jennifer Shamalla,female,,,,,,
Q111179989,Maina Kamanda,male,,,,,,
Q111179990,Nasri Sahal Ibrahim,female,,,,,,
Q111179991,Jacquiline Adhiambo Oduol,female,,,,,,
Q111179993,Sammy Kipkorir Seroney,male,,,,,,
Q111180002,Charles Kamuren,male,,,,,,
Q111180007,David Ole Sankok,male,,,,,,
Q111180017,Gideon Keter,male,,,,,Image 2020-07-01 at 6.38.37 PM.jpg,
Q111180034,Godfrey Osotsi,male,,,,,,
Q111180185,Daudi Rerimoi Chepkong'a Tonje,male,,,,,,
Q111180186,Joseph Raymond Edward Kibwana,male,,,,,,
Q111180187,Jeremiah Mutinda Kianga,male,,,,,,
Q111188192,Zipporah Jesang Kurgat Kering,female,,,,,,
Q111188206,Abass Sheikh Mohamed,male,,,,,,
Q111188207,Abdi Noor Mohammed Ali,male,,,,,,
Q111188208,Abdikadir Omar Aden,male,,,,,,
Q111188209,Abdikadir Ore Ahmed,male,,,,,,
Q111188210,Abdulaziz Ali Farah,male,,,,,,
Q111188211,Abdullahi Jaldesa Banticha,male,,,,,,
Q111188212,Adan Mohamed Nooru,male,,,,,,
Q111188213,Alice Nyanchoka Chae,female,,,,,,
Q111188214,Alice Wambui Ng'ang'a,female,,,,,,
Q111188215,Amina Abdalla,female,,,,,,
Q111188216,Andrew Toboso Anyanga,male,,,,,,
Q111188217,Annah Nyokabi Gathecha,female,,,,,,
Q111188218,Anthony Mutahi Kimaru,male,,,,,,
Q111188219,Arthur Papa Odera,male,,,,,,
Q111188220,Augostinho Neto Oyugi,male,,,,,,
Q111188221,Benard Kipkirui Bett,male,,,,,,
Q111188222,Benjamin Andola Andayi,male,,,,,,
Q111188223,Benjamin Kipkirui Langat,male,,,,,,
Q111188224,Benson Mutura Kangara,male,,,,,,
Q111188225,Bernard Munywoki Kitungi,male,,,,,,
Q111188226,Bishop Robert Mutemi Mutua,male,,,,,,
Q111188227,Bonface Okhiya Otsiula,male,,,,,,
Q111188228,Cecilia Chelangat Ngetich,female,,,,,,
Q111188229,Charles Mongare Geni,male,,,,,,
Q111188230,Daniel Kazungu Muzee,male,,,,,,
Q111188231,David Karithi,male,,,,,,
Q111188232,David Wafula Wekesa,male,,,,,,
Q111188233,Dennis Kariuki Waweru,male,,,,,,
Q111188234,Diriye Abdullahi Mohamed,male,,,,,,
Q111188235,Dorcas Luvalitsa Kedogo,female,,,,,,
Q111188236,Chris Munga Nyamaratandi Bichage,male,,,,,,
Q111188237,Hellen Sambili,female,,,,,,
Q111188238,Reginalda Nakhumicha Wanyonyi,female,,,,,,
Q111188239,Simon Ogari,male,,,,,,
Q111188240,Susan Mbinya Musyoka,female,,,,,,
Q111188241,Edwin Kipruto Barchilei,male,,,,,,
Q111188242,Ejidius Njogu Barua,male,,,,,,
Q111188243,Elias Bare Shill,male,,,,,,
Q111188244,Elijah Mosomi Moindi,male,,,,,,
Q111188245,Elisha Kipkorir Busienei,male,,,,,,
Q111188246,John Kiragu Chege,male,,,,,,
Q111188247,Stephen Muriuki Ngare,male,,,,,,
Q111188248,Eric Arap Keter,male,,,,,,
Q111188249,Esther Nyambura Gathogo,female,,,,,,
Q111188250,Eusilah Jepkosgei Ngeny,female,,,,,,
Q111188251,Florence Kajuju,female,,,,,,
Q111188252,Francis Kigo Njenga,male,,,,,,
Q111188253,Francis Mwangangi Kilonzo,male,,,,,,
Q111188254,Francis Waweru Nderitu,male,,,,,,
Q111188255,G.J. Munuve Mati,male,,,,,,
Q111188256,George Mike Wanjohi,male,,,,,,
Q111188257,George Oner Ogalo,male,,,,,,
Q111188258,George Washinton Mallan Omondi,male,,,,,,
Q111188259,Gideon Maitha,male,,,,,,
Q111188260,Halima Ware Duri,female,,,,,,
Q111188261,Harrison Garama Kombe,male,,,,,,
Q111188262,Hassan Abdi Dukicha,male,,,,,,
Q111188263,Hassan Aden Osman,male,,,,,,
Q111188264,Hassan Mohamed Mwanyoha,male,,,,,,
Q111188265,Hellen Chelangat Chepkwony,female,,,,,,
Q111188266,Hezron Awiti Bollo,male,,,,,,
Q111188267,Willy Mtengo,male,,,,,,
Q111188268,Ibrahim Abdi Saney,male,,,,,,
Q111188269,Ibrahim Ahmed Abass,male,,,,,,
Q111188270,Ibrahim Ahmed Sane,male,,,,,,
Q111188271,Jackson Kipkorir Rop,male,,,,,,
Q111188272,Jacob Waweru Macharia,male,,,,,,
Q111188273,James Kimaru Bett,male,,,,,,
Q111188274,James Ndungu Gethenji,male,,,,,,
Q111188275,Jane Agnes Wanjira Machira,female,,,,,,
Q111188276,Jared Odhiambo Opiyo,male,,,,,,
Q111188277,Joash Odhiambo Olum,male,,,,,,
Q111188278,Joe Musyimi Mutambu,male,,,,,,
Q111188279,Joel Onyancha,male,,,,,,
Q111188280,John Bomet Serut,male,,,,,,
Q111188281,John Karanja Kihagi,male,,,,,,
Q111188282,John Muriithi Waiganjo,male,,,,,,
Q111188283,John Njoroge Chege,male,,,,,,
Q111188284,John Ogutu Omondi,male,,,,,,
Q111188285,John Owuor Onyango Kobado,male,,,,,,
Q111188286,Johnson Arthur Sakaja,male,,,,,,
Q111188287,Jonathan Lelelit Lati,male,,,,,,
Q111188288,Joseph M'eruaki M'uthari,male,,,,,,
Q111188289,Joseph Mburu Kahangara,male,,,,,,
Q111188290,Joseph Ngugi Nyumu,male,,,,,,
Q111188291,Joseph Obiero Ndiege,male,,,,,,
Q111188292,Joseph Samal Lomwa,male,,,,,,
Q111188293,Joyce Wanjalah Lay,female,,,,,,
Q111188294,Julius Ndegwa Kariuki,male,,,,,,
Q111188295,Justice Kipsang Kemei,male,,,,,,
Q111188296,Ken Obura Mirenga,male,,,,,,
Q111188297,Lawrence Mpuru Aburi,male,,,,,,
Q111188298,Leonard Kipkosgei Sang,male,,,,,,
Q111188299,Lisamula Silverse Anami,male,,,,,,
Q111188300,Mahbub Fathia,female,,,,,,
Q111188301,Manson Nyamweya,male,,,,,,
Q111188302,Marcus Mutua Muluvi,male,,,,,,
Q111188303,Mary Emaase Otuch,female,,,,,,
Q111188304,Mary Njoki G Mbugua,female,,,,,,
Q111188305,Mary Sally Keraa,female,,,,,,
Q111188306,Mary Wambui Munene,female,,,,,,
Q111188307,Mathew Lekidime Lempurkel,male,,,,,,
Q111188308,Maweu Kyengo Katatha,male,,,,,,
Q111188309,Michael Aringo Onyura,male,,,,,,
Q111188310,Michael Manthi Kisoi,male,,,,,,
Q111188311,Mohamed Abdi Haji Mohamed,male,,,,,,
Q111188312,Mohamed Adan Huka,male,,,,,,
Q111188313,Mohamed Muktar Shidiye,male,,,,,,
Q111188315,Mwinga Gunga Chea,male,,,,,,
Q111188316,Nasra Ibrahim Ibren,female,,,,,,
Q111188317,Nicholas Ngikor Nixon,male,,,,,,
Q111188318,Patrick Keturet Ole Ntutu,male,,,,,,
Q111188319,Patrick Wangamati,male,,,,,,
Q111188320,Paul Kipchirchir Bii,male,,,,,,
Q111188321,Peter Kamande Mwangi,male,,,,,,
Q111188322,Peter Safari Shehe,male,,,,,,
Q111188323,Peter Weru Kinyua,male,,,,,,
Q111188324,Philip Lotiolo Ruto Rotino,male,,,,,,
Q111188325,Priscilla Nyokabi Kanyua,female,,,,,,
Q111188326,Protus Ewesit Akujah,male,,,,,,
Q111188327,Rachel Ameso Amolo,female,,,,,,
Q111188328,Raphael Milikau Otaalo,male,,,,,,
Q111188329,Rashid Juma Bedzimba,male,,,,,,
Q111188330,Regina Nthambi Muia,female,,,,,,
Q111188331,Regina Nyeris Changorok,female,,,,,,
Q111188332,Roba Duba Bonaya,male,,,,,,
Q111188333,Rose Nyamunga,female,,,,,,
Q111188334,Rose Rwamba Mitaru,female,,,,,,
Q111188335,Salim Idd Mustafa,male,,,,,,
Q111188336,Sammy Cheruiyot Koech,male,,,,,,
Q111188337,Samuel Gonzi Rai,male,,,,,,
Q111188338,Samuel Kamunye Gichigi,male,,,,,,
Q111188339,Samuel Kiprono Chepkonga,male,,,,,,
Q111188340,Samuel Mathenge Ndiritu,male,,,,,,
Q111188341,Shaaban Ali Isaack,male,,,,,,
Q111188342,Shadrack Roger Mwita Manga,male,,,,,,
Q111188343,Shakila Abdalla,female,,,,,,
Q111188344,Silvance Osele Onyango,male,,,,,,
Q111188345,Stephen Kengere Manoti,male,,,,,,
Q111188346,Stephen Kinyanjui Mburu Kk,male,,,,,,
Q111188347,Stephen Kirwa Bitok,male,,,,,,
Q111188348,Stephen Wachira Karani,male,,,,,,
Q111188349,Steven Kariuki,male,,,,,,
Q111188350,Suleiman Murunga Kasuti,male,,,,,,
Q111188351,Susan Kipketer Chebet,female,,,,,,
Q111188352,Timothy Moseti Bosire,male,,,,,,
Q111188353,Tirus Nyingi Ngahu,male,,,,,,
Q111188354,Tiyah Galgalo Ali,female,,,,,,
Q111188355,Winnie Karimi Njuguna,female,,,,,,
Q111188356,Zainab Kalekye Chidzuga,female,,,,,,
Q111188679,Agnes Zani,,,,,,,
Q111188680,Ali Bule,,,,,,,
Q111188681,Beatrice Elachi,,,,,,,
Q111188682,Boy Juma Boy,,,,,,,
Q111188683,Catherine Mukite Nabwola,,,,,,,
Q111188684,Dan Mwazo,,,,,,,
Q111188685,Dullo Fatuma Adam,,,,,,,
Q111188686,Elizabeth Ongoro Masha,,,,,,,
Q111188687,Emma Mbura Gertrude,,,,,,,
Q111188688,Halima Abdille Mohamud,,,,,,,
Q111188689,Harold Kimunge Kipchumba,,,,,,,
Q111188690,Hassan Omar,,,,,,,
Q111188691,Henry Ndiema,,,,,,,
Q111188692,Hosea Onchwangi,,,,,,,
Q111188693,Isaac Melly,,,,,,,
Q111188694,James Kiarie Mungai,,,,,,,
Q111188695,John Lonyangapuo,,,,,,,
Q111188696,Joy Adhiambo Gwendo,,,,,,,
Q111188697,Judith Achieng Sijeny,,,,,,,
Q111188698,Kanainza Nyongesa Daisy,,,,,,,
Q111188699,Lenny Kivuti,,,,,,,
Q111188700,Linet Kemunto Nyakeriga,,,,,,,
Q111188701,Mithika Linturi,,,,,,,
Q111188702,Mshenga Mvita Kisasa,,,,,,,
Q111188703,Muriuki Karue,,,,,,,
Q111188704,Paul Kimani,,,,,,,
Q111188705,Peter Mositet,,,,,,,
Q111188706,Sammy Leshore,,,,,,,
Q111188707,Stephen Kanyinge ole Ntutu,,,,,,,
Q111188708,Wilson Lessan,,,,,,,
Q111188709,Zipporah Jepchirchir Kittony,,,,,,,
Q111189201,Adolf Muchiri,,,,,,,
Q111189204,William Omondi,,,,,,,
Q111189739,David Njuguna Kiburi Mwaura,male,,,,,,
Q111189740,Francis Bayah,male,,,,,,
Q111189741,Walter Enock Nyambati Osebe,male,,,,,,
Q111189911,Patrick Maweu Musimba,male,,,,,,
Q111189927,Tong'i Richard Nyagaka,male,,,,,,
Q111189933,Stephen Kariuki,male,,,,,,
Q111190235,Paul Mugeke,,,,,,,
Q111190240,Reuben Ndolo,,,,,,,
Q111190306,Mwangi K.Waithaka,,,,,,,
Q111190328,Thirikwa Kamau,,,,,,,
Q111190337,Geoffrey Gachara Muchiri,,,,,,,
Q111190367,Eliud Matu Wamae,,,,,,,
Q111190376,David Muhika Mutahi,,,,,,,
Q111190382,Wanyiri Kihoro,,,,,,,
Q111190383,Peter Gichohi Mureithi,,,,,,,
Q111190387,Paul Gikonyo Muya,,,,,,,
Q111190389,John Matere Keriri,,,,,,,
Q111190391,Alfred Mwangi Nderitu,,,,,,,
Q111190393,Joshua Ngugi Toro,,,,,,,
Q111190398,Onesmus Kihara Mwangi,,,,,,,
Q111190415,Ignatius Ngenye Kariuki,,,,,,,
Q111190417,F. Njakwe Maina,,,,,,,
Q111190422,David Wakairu Murathe,,,,,,,
Q111190423,Moses Mwihia,,,,,,,
Q111190425,Stephen Rugendo Ndicho,,,,,,,
Q111190428,Njehu Gatabaki,,,,,,,
Q111190431,John Njuguna Wanjiku,,,,,,,
Q111190437,George Nyanja,,,,,,,
Q111190438,Simon Kanyingi Kuria,,,,,,,
Q111190441,Philip Gitonga,,,,,,,
Q111190442,James Viscount Kimathi,,,,,,,
Q111190450,Jembe Mwakalu,,,,,,,
