catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Kosovo,President,Vjosa Osmani,Q13047644,2021-04-04,female,1982-05-17,,Vjosa Osmani1.jpg,Vjosa Osmani
Kosovo,Prime Minister,Albin Kurti,Q441633,2021-03-22,male,1975-03-24,,PM Albin Kurti during the first meeting of the Government of the Republic of Kosovo 3 (cropped).jpg,Albin Kurti
Kosovo,"First Deputy Prime Minister for European Integration, Development and Dialogue",Besnik Bislimi,Q13037558,2021-03-22,male,1971-05-19,,,
Kosovo,Second Deputy Prime Minister and Minister of Foreign Affairs and Diaspora,Donika Gërvalla-Schwarz,Q106119866,2021-03-22,female,1971,,Donika Gërvalla-Schwarz (2021).jpg,Donika Gërvalla-Schwarz
Kosovo,Third Deputy Prime Minister for Minority Issues and Human Rights,Emilija Redžepi,Q43388670,2021-03-22,female,1973-07-15,,Emilija Redzepi.jpg,Emilija Redžepi
Kosovo,"Minister of Agriculture, Forestry and Rural Development",Faton Peci,Q107601196,2021-03-22,,,,,
Kosovo,Minister of Communities and Returns,Goran Rakić,Q95981055,2021-03-22,male,1971,,Minister Goran Rakić (cropped).jpg,Goran Rakić
Kosovo,"Minister of Culture, Youth and Sports",Hajrulla Çeku,Q61079310,2021-03-22,,,,Hc15 profili.jpg,
Kosovo,Minister of Defence,Armend Mehaj,Q107601179,2021-03-22,male,,,,
Kosovo,Minister of Economy,Artane Rizvanolli,Q107601172,2021-03-22,,,,,
Kosovo,"Minister of Education, Science, Technology and Innovation",Arbërie Nagavci,Q106407260,2021-03-22,female,1970-03-29,,Arberie Nagavci.jpg,Arbërie Nagavci
Kosovo,"Minister of Environment, Spatial Planning and Infrastructure",Liburn Aliu,Q13041571,2021-03-22,male,1975,,Liburn Aliu.jpg,Liburn Aliu
Kosovo,"Minister of Finance, Labor and Transfers",Hekuran Murati,Q107601152,2021-03-22,,,,,
Kosovo,Minister of Health,Rifat Latifi,Q16355211,2021-11-16,male,,,,
Kosovo,"Minister of Industry, Entrepreneurship and Trade",Rozeta Hajdari,Q107601124,2021-03-22,,,,,
Kosovo,Minister of Internal Affairs,Xhelal Sveçla,Q13047921,2021-03-22,male,,,Xhelal Sveçla.jpg,
Kosovo,Minister of Justice,Albulena Haxhiu,Q13036897,2021-03-22,female,1987-05-11,,Albulena Haxhiu.jpg,Albulena Haxhiu
Kosovo,Minister of Local Government Administration,Elbert Krasniqi,Q107601103,2021-03-22,,,,,
Kosovo,Minister of Regional Development,Fikrim Damka,Q61079964,2021-03-22,,,,,
Kosovo,Chairman of the Assembly,Glauk Konjufca,Q5567306,2021-03-22,male,1981-07,,Glauk Konjufca portrait.jpg,Glauk Konjufca
Kosovo,Commander of the Security Force,Rrahman Rama,Q93758753,2015-03-18,male,1967-06-05,,Minister of the Kosovo Security Force and Commander of the KSF lay a wreath at the Tomb of the Unknown Soldier in Arlington National Cemetery (25937035434) (cropped).jpg,Rrahman Rama
Kosovo,Governor of the Central Bank,Bedri Peci,Q109497111,2017,male,1971,,,
Kosovo,Mayor of Priština,Përparim Rama,Q108180514,2021-12-07,male,1976-01-20,,,Përparim Rama
