catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Latvia,President,Egils Levits,Q348043,2019-07-08,male,1955-06-30,,Зустріч Глави держави з Президентом Латвії та Прем’єр-міністром Польщі 05 (cropped).jpg,Egils Levits
Latvia,Prime Minister,Krišjānis Kariņš,Q3736499,2019-01-23,male,1964-12-13,,"Karins, Krisjanis-9702.jpg",Krišjānis Kariņš
Latvia,Minister of Agriculture,Didzis Šmits,Q58371520,2022-12-14,male,1975,,Saeimas 7.marta sēde (46392136425).jpg,
Latvia,Minister for Climate and Energy,Raimonds Čudars,Q47543987,2022-12-14,male,1974-07-04,,,
Latvia,Minister of Culture,Nauris Puntulis,Q56449573,2019-07-08,male,1961-07-17,,Nauris Puntulis in 2019.jpg,Nauris Puntulis
Latvia,Minister of Defence,Ināra Mūrniece,Q4308133,2022-12-14,female,1970-12-30,,11.Saeimas deputāte Ināra Mūrneice (6276356526).jpg,Ināra Mūrniece
Latvia,Minister of the Economy,Ilze Indriksone,Q58371485,2022-05-26,female,1974,,13.Saeimas deputātu svinīgais solījums (45056644474).jpg,
Latvia,Minister of Education and Science,Anda Čakša,Q24639958,2022-12-14,female,1974-07-11,,Anda Čakša.jpg,
Latvia,Minister for Environmental Protection and Regional Development,Māris Sprindžuks,Q115604250,2022-12-14,male,1971-08-04,,,
Latvia,Minister of Finance,Arvils Ašeradens,Q12667125,2022-12-14,male,1962-12-30,,Flickr - Saeima - 10.Saeimas deputāts Arvils Ašeradens.jpg,Arvils Ašeradens
Latvia,Minister of Foreign Affairs,Edgars Rinkēvičs,Q3047551,2011-10-25,male,1973-09-21,,Edgars Rinkēvičs 2019 (cropped).jpg,Edgars Rinkēvičs
Latvia,Minister of Health,Līga Meņģelsone,Q115727127,2022-12-14,female,1972,,Līga Meņģelsone 2022.jpg,
Latvia,Minister of the Interior,Māris Kučinskis,Q6112509,2022-12-14,male,1961-11-28,,Flickr - Saeima - 10.Saeimas deputāts Māris Kučinskis.jpg,Māris Kučinskis
Latvia,Minister of Justice,Inese Lībiņa-Egnere,Q4356359,2022-12-14,female,1977-09-25,,Inese Lībiņa-Egnere.jpg,Inese Lībiņa-Egnere
Latvia,Minister of Transport,Jānis Vitenbergs,Q58371528,2022-12-14,male,1985-05-08,,Jānis Vitenbergs in 2019.jpg,Jānis Vitenbergs
Latvia,Minister of Welfare,Evika Silina,Q61121565,2022-12-14,female,1975-08-03,,"Igaunijas, Latvijas, Lietuvas un Polijas parlamentu Eiropas lietu komisiju priekšsēdētāju tikšanās (27119537171).jpg",
Latvia,Chief of Staff to the Prime Minister,Jānis Patmalnieks,Q109248397,2019-01-24,male,1980,,,
Latvia,Speaker of the Saeima,Edvards Smiltēns,Q9250728,2022-11-01,male,1984-09-18,,Flickr - Saeima - 10.Saeimas deputāts Edvards Smiltēns.jpg,
Latvia,Commander of the National Guard,Egils Leščinskis,Q66988815,2019-05-30,male,1967-07-18,,Egils Leščinskis in 2019.jpg,Egils Leščinskis
Latvia,Governor of the National Bank,Mārtiņš Kazāks,Q78191477,2019-12-21,male,1973-09-19,,"Gada pārskats ""Latvijas valstij piederošie aktīvi 2009"" (4971284722).jpg",Mārtiņš Kazāks
Latvia,Mayor of Riga,Mārtiņš Staķis,Q58371519,2020-10-02,male,1979-07-04,,13.Saeima sanāk uz pirmo sēdi (30811926717) cropped.jpg,Mārtiņš Staķis
