catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Lesotho,King,Letsie III of Lesotho,Q57537,1996-01-15,male,1963-07-17,,Letsie III.jpg,Letsie III
Lesotho,Prime Minister,Sam Matekane,Q114588964,2022-10-28,male,1958-03-15,,Sam Matekane candidate (cropped).jpg,Sam Matekane
Lesotho,Deputy Prime Minister,Nthomeng Majara,Q42732928,2022-11-04,female,1963-06-08,,Nthomeng Majara.jpg,Nthomeng Majara
Lesotho,Minister of Agriculture and Food Security,Thabo Mofosi,Q115101302,2022-11-04,,,,,
Lesotho,Minister of Defence and National Security,Sam Matekane,Q114588964,2022-11-04,male,1958-03-15,,Sam Matekane candidate (cropped).jpg,Sam Matekane
Lesotho,Minister of Education and Training,Ntoi Rapapa,Q65091057,2022-11-04,male,,,,Ntoi Rapapa
Lesotho,Minister of Finance,Retselisitsoe Matlanyane,Q109821337,2022-11-04,male,,,,
Lesotho,Minister of Foreign Affairs,Mpotjoane Lejone,Q115101233,2022-11-04,,,,,
Lesotho,"Minister of Gender, Youth, Sports, Arts, Culture and Social Development",Pitso Lesaoana,Q115101356,2022-11-04,,,,,
Lesotho,Minister of Health,Selibe Mochoboroane,Q30702245,2022-11-04,male,,,,Selibe Mochoboroane
Lesotho,"Minister of Information, Communications, Science, Technology and Innovation",Nthati Moorosi,Q115101325,2022-11-04,,,,,
Lesotho,Minister of Justice,Nthomeng Majara,Q42732928,2022-11-04,female,1963-06-08,,Nthomeng Majara.jpg,Nthomeng Majara
Lesotho,"Minister of Local Government, Chieftainship, Home Affairs and Police",Lebona Lephema,Q115101400,2022-11-04,,,,,
Lesotho,Minister of Natural Resources,Mohlomi Moleko,Q115101506,2022-11-04,,,,,
Lesotho,Minister in the Prime Minister's Office,Limpho Tau,Q115101312,2022-11-04,,,,,
Lesotho,"Minister of Public Service, Labour and Employment",Richard Ramoeletsi,Q115101426,2022-11-04,,,,,
Lesotho,Minister of Public Works and Transport,Neo Matjato Moteane,Q115101492,2022-11-04,,,,,
Lesotho,"Minister of Trade, Industry, Business Development and Tourism",Mokhethi Shelile,Q115101285,2022-11-04,,,,,
Lesotho,President of the Senate,Mamonaheng Mokitimi,Q108744062,2017-07-11,female,1970,,,Mamonaheng Mokitimi
Lesotho,Speaker of the National Assembly,Sephiri Motanyane,Q108815284,2017-06-12,male,1939,,,Sephiri Motanyane
Lesotho,Governor of the Central Bank,Emmanuel Letete,Q115102321,2022-06,,,,,
Lesotho,Commander of the Defence Force,Mojalefa Letsoela,Q109821443,2018-01-23,male,,,,
