id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q105319569,Abdulhamid Dbeibeh,male,1959-02-13,11,,,Abdul Hamid Dbeibeh (15-04-2021).jpg,Abdul Hamid Dbeibeh
Q105319610,Mohamed al-Menfi,male,1976-03-03,11,,,Mohamed al-Menfi (cropped).jpg,Mohamed al-Menfi
Q105977287,Najla Mangoush,female,,7,,,Libyan Foreign Minister Mangoush.jpg,Najla Mangoush
Q108443110,Mohamed al-Ghariani,male,,,,,,
Q108443111,Ali Abu Zakouk,male,,,,,,
Q114775142,Salah Eddine al-Namroush,,,,,,,
Q114884632,Abd Al-Salam Abdullah Al-Lahi-Tiki,,,,,,,
Q114884633,Abdel Jumaa Amer,,,,,,,
Q114884634,Abdul Fattah Saleh Muhammad Al-Khawja,,,,,,,
Q114884635,Abdul Shafi Hussein Muhammad Al-Juifi,,,,,,,
Q114884636,Ahmed Ali Muhammad Omar,,,,,,,
Q114884637,Ahmed Abu Khuzam,,,,,,,
Q114884638,Ali Al-Abed Al-Reda Abu Azoum,,,,,,,
Q114884640,Ali Muhammad Miftah Al-Zinati,,,,,,,
Q114884641,Badr Al-Din Al-Sadiq Al-Toumi,,,,,,,
Q114884642,Fathallah Abd Al-Latif Al-Zani,,,,,,,
Q114884643,Halima Ibrahim Abdel Rahman,,,,,,,
Q114884644,Hamad Abdul-Razzaq Taher Al-Marimi,,,,,,,
Q114884645,Houria Khalifa Miloud,,,,,,,
Q114884646,Hussein Atiya Abdul Hafeez Al-Qatrani,,,,,,,
Q114884647,Ibrahim Al-Arabi Mounir,,,,,,,
Q114884648,Ijdid Maatouk Jadeed,,,,,,,
Q114884649,Imran Muhammad Abdul Anabi Al-Qeeb,,,,,,,
Q114884650,Kamel Braik Al-Hassi,,,,,,,
Q114884651,Khaled Ahmed Mazen,,,,,,,
Q114884652,Khaled Al-Mabrouk Abdullah,,,,,,,
Q114884653,Mabrouka Othman Oki,,,,,,,
Q114884654,Muhammad Ahmad Muhammad Aoun,,,,,,,
Q114884655,Muhammad Salem Al-Shahoubi,,,,,,,
Q114884656,Musa Muhammad Al-Maqrif,,,,,,,
Q114884657,Omar Ali Al-Ajili,,,,,,,
Q114884658,Ramadan Ahmed Boujenah,,,,,,,
Q114884659,Saeed Sifaw,,,,,,,
Q114884660,Salama Ibrahim Al-Ghwail,,,,,,,
Q114884661,Tariq Abdel Salam Mustafa Abu Flika,,,,,,,
Q114884662,Tawfiq Saeed Moftah Al-Dorsi,,,,,,,
