id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q108786855,Vladislav Kuznetsov,male,1969-03-18,11,,,,
Q110983683,Denis Miroshnichenko,male,1987-12-08,11,,,Denis Miroshnichenko.jpg,
Q110994764,Oleg Bugrov,male,,,,,,
Q16745486,Valery Bolotov,male,1970-02-13,11,2017-01-27,11,Valeri Bolotov.png,Valery Bolotov
Q17485835,Marat Bashirov,male,1964-01-20,11,,,,
Q17582456,Ihor Plotnytskiy,male,1964-06-26,11,,,Ihor Plotnytskiy.jpg,Igor Plotnitsky
Q18119637,Gennadij Tsypkalov,male,1973-06-21,11,2016-09-24,11,,Gennadiy Tsypkalov
Q18243283,Aleksey Karyakin,male,1980-04-07,11,,,Aleksey Karyakin.jpg,Aleksey Karyakin
Q18274766,Vasiliy Nikitin,male,1971-11-25,11,,,Василий Никитин.jpg,Vasily Nikitin
Q18707243,Aleksandr Bednov,male,1969-08-29,11,2015-01-01,11,Александр Беднов.jpg,Alexander Bednov
Q21855460,Sergey Kozlov,male,1963-11-07,11,,,Сергей Козлов ЛНР 2018 (cropped).png,Sergey Kozlov (politician)
Q28497550,Vladimir Degtyarenko,male,1982-04-05,11,,,Vladimir Degtyarenko.jpg,Vladimir Degtyarenko
Q28799078,Vladislav Daynego,male,1964-03-12,11,,,Vladislav Deynego.jpg,
Q43402379,Igor Kornet,male,1973-04-29,11,,,,
Q43590358,Leonid Pasechnik,male,1970-03-15,11,,,"Leonid Pasechnik (cropped, 2022-02-21).jpg",Leonid Pasechnik
