id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q103495356,Eisenhower Nduwa Mkaka,male,1973-09-12,11,,,Hon E. Mkaka.jpg,Eisenhower Nduwa Mkaka
Q105285313,Agnes Nyalonje,female,,,,,,Agnes Nyalonje
Q106623416,Wilson Banda,male,,,,,,
Q108438532,Vera Kamtukule,female,1981-12-31,11,,,Hon. Vera Kamtukule.jpg,Vera Kamtukule
Q108550752,Lobin C. Lowe,male,,,,,,Lobin C. Lowe
Q108906975,Clement Chiwaya,male,1971-05-16,11,2021-09-30,11,,Clement Chiwaya
Q109344941,Thabo Chakaka Nyirenda,male,1982,9,,,Thabo Chakaka Nyirenda.jpg,Thabo Chakaka Nyirenda
Q109729450,Titus Mvalo,male,,,,,,
Q109729458,Timothy Mtambo,male,,,,,,
Q109729497,Nancy Chaola Mdooko,female,,,,,,
Q109729501,Madalitso Wirima Kambauwa,female,,,,,,
Q109729515,Kezzie Kasambala Msukwa,male,,,,,,
Q109729519,Jean Muonaowauza Sendeza,female,,,,,,
Q109729542,Halima Alima Daud,female,,,,,,
Q109729568,Chrissie Kamanga Kalamula Kanyasho,female,,,,,,
Q109729577,Agnes Nkusa Nkhoma,female,,,,,,
Q109729582,Abida Sidik Mia,female,,,,,,
Q110732587,Newton Kambala,male,,,,,,
Q110732591,Albert Mbawala,male,,,,,,
Q110732685,Monica Chang’anamuno,female,,,,,,
Q110732701,Enock Phale,male,,,,,,
Q110732950,Mark Phiri,male,,,,,,
Q16202782,Lazarus Chakwera,male,1955-04-05,11,,,Lazarus Chakwera 2017.jpg,Lazarus Chakwera
Q16214780,Saulos Chilima,male,1973-02-12,11,,,"Saulos Klaus Chilima, vice president of Malawi speaks during the African Land Forces Summit 2017.jpg",Saulos Chilima
Q16216577,Sosten Gwengwe,male,1977-05-20,11,,,Sosten Gwengwe 2013 (cropped).jpg,Sosten Gwengwe
Q16733055,Henry Mussa,male,,,,,,Henry Mussa
Q17037425,Friday Jumbe,male,1955-04-04,11,,,Hon- Friday Anderson Jumbe 2014-06-21 14-39.jpg,Friday Jumbe
Q181586,Bingu wa Mutharika,male,1934-02-24,11,2012-04-05,11,Bingu Wa Mutharika - World Economic Forum on Africa 2008.jpg,Bingu wa Mutharika
Q18390332,Richard Msowoya,male,,,,,,Richard Msowoya
Q24006698,Felix Mlusu,male,1951-03-23,11,,,Felix Mlusu.jpg,Felix Mlusu
Q24565243,Gospel Kazako,male,1968-12-29,11,,,,Gospel Kazako
Q29982289,Grace Chiumia,female,1977,9,,,,Grace Chiumia
Q317107,Bakili Muluzi,male,1943-03-17,11,,,Bakili Muluzi Dialogue (cropped).jpg,Bakili Muluzi
Q40039690,Francis Kasaila,male,1968-10-28,11,,,,
Q4025959,Cassim Chilumpha,male,1958-11-29,11,,,,Cassim Chilumpha
Q4477067,Khumbo Kachali,male,1966,9,,,Khumbo-kachali1.jpg,Khumbo Kachali
Q45779063,Aboo Naliwa,male,,,,,,
Q45779418,Abubakar M'baya,male,,,,,,
Q45779442,Adbul Gaffar,male,,,,,,
Q45779467,Aggrey Masi,male,,,,,,
Q45779486,Agness Nyalonje,female,,,,,,
Q45779512,Aisha Adams,female,,,,,,
Q45779534,Akajuwe Banda,male,,,,,,
Q45779554,Alekeni Menyani,male,,,,,,
Q45779582,Alex Chitete,male,,,,,,
Q45779603,Alex Major,male,,,,,,
Q45779624,Alexander Dzonzi,male,,,,,,
Q45779646,Alice Ngoma,female,,,,,,
Q45779667,Allan Ngumuya,male,,,,,,
Q45779688,Amon Nkhata,male,,,,,,
Q45779701,Amos Mailosi,male,,,,,,
Q45779717,Angie Kaliati,male,,,,,,
Q45779733,Assan Lipande,male,,,,,,
Q45779759,Baudeni Mtonga,male,,,,,,
Q45779780,Beatrice Mwale,female,,,,,,
Q45779804,Benedicto Chambo,male,,,,,,
Q45779828,Bon Kalindo,male,,,,,,
Q45779853,Bonex Malunga,male,,,,,,
