catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Malaysia,Yang di_pertuan Agong (Monarch),Abdullah of Pahang,Q15467111,2019-01-31,male,1959-07-30,,King Abdullah of Pahang at the Enthronement of Naruhito (1).jpg,Abdullah of Pahang
Malaysia,Prime Minister,Anwar Ibrahim,Q299574,2022-11-24,male,1947-08-10,,Anwar Ibrahim (cropped 1).jpg,Anwar Ibrahim
Malaysia,Deputy Prime Minister,Ahmad Zahid Hamidi,Q4695503,2022-12-02,male,1953-01-14,,Dr Ahmad Zahid Hamidi.png,Ahmad Zahid Hamidi
Malaysia,Deputy Prime Minister,Fadillah Yusof,Q5429257,2022-12-02,male,1962-04-17,,Fadillah Yusof 2020.jpg,Fadillah Yusof
Malaysia,Minister of Agriculture and Food Industries,Mohamad Sabu,Q6890904,2022-12-02,male,1954-10-14,,Mohamad Sabu (cropped).jpg,Mohamad Sabu
Malaysia,Minister of Communications and Multimedia,Fahmi Fadzil,Q55611406,2022-12-03,male,1981-02-04,,Fahmi Fadzil .jpg,Fahmi Fadzil
Malaysia,Minister of Defence,Mohamad Hasan,Q6890888,2022-12-03,male,1956-05-02,,Mohamad Hasan.png,Mohamad Hasan (politician)
Malaysia,"Minister of Domestic Trade, Co-operatives and Consumerism",Salahuddin Ayub,Q7403483,2022-12-03,male,1961-12-01,,Datuk Seri Salahuddin Ayub.jpg,Salahuddin Ayub
Malaysia,Minister of Economy,Rafizi Ramli,Q12701614,2022-12-03,male,1977-09-14,,Rafizi Ramli.jpg,Rafizi Ramli
Malaysia,Minister of Education,Fadhlina Sidek,Q110127445,2022-12-03,female,,,,Fadhlina Sidek
Malaysia,Minister of Entrepreneur Development (Malaysia),Ewon Benedick,Q99771328,2022-12-03,male,1982,,,Ewon Benedick
Malaysia,Minister of Finance,Anwar Ibrahim,Q299574,2022-12-02,male,1947-08-10,,Anwar Ibrahim (cropped 1).jpg,Anwar Ibrahim
Malaysia,Minister of Foreign Affairs,Zambry Abdul Kadir,Q1054294,2022-12-03,male,1962-03-22,,,Zambry Abdul Kadir
Malaysia,Minister of Health,Zaliha Mustafa,Q115567056,2022-12-03,female,1964-06-08,,,Zaliha Mustafa
Malaysia,Minister of Higher Education,Mohamed Khaled Nordin,Q6891328,2022-12-03,male,1958-11-30,,Khaled Nordin 20 January 2010.jpg,Mohamed Khaled Nordin
Malaysia,Minister of Home Affairs,Saifuddin Nasution Ismail,Q7400038,2022-12-03,male,1963-12-07,,DSSNI 2018.png,Saifuddin Nasution Ismail
Malaysia,Minister of Human Resources,V. Sivakumar,Q7906250,2022-12-03,male,1970-12-05,,,V. Sivakumar
Malaysia,Minister of International Trade and Industry,Zafrul Aziz,Q8064320,2022-12-03,male,1973-06-25,,,Tengku Zafrul Aziz
Malaysia,Minister of National Unity,Aaron Ago Dagang,Q4661807,2022-12-03,male,1958-12-12,,,Aaron Ago Dagang
Malaysia,Minister of Natural Resources and Environment,Nik Nazmi Nik Ahmad,Q73137,2022-12-03,male,1982-01-12,,Nik Nazmi Nik Ahmad (2019).jpg,Nik Nazmi
Malaysia,Minister of Plantation Industries and Commodities,Fadillah Yusof,Q5429257,2022-12-03,male,1962-04-17,,Fadillah Yusof 2020.jpg,Fadillah Yusof
Malaysia,Minister of Rural and Regional Development,Ahmad Zahid Hamidi,Q4695503,2022-12-03,male,1953-01-14,,Dr Ahmad Zahid Hamidi.png,Ahmad Zahid Hamidi
Malaysia,"Minister of Science, Technology and Innovation",Chang Lih Kang,Q15942029,2022-12-03,male,1980-10-23,,Chang Lih Kang (cropped).JPG,Chang Lih Kang
Malaysia,Minister of Tourism and Culture,Tiong King Sing,Q7808735,2022-12-03,male,1961-09-03,,Tiong King Sing 2016.jpg,Tiong King Sing
Malaysia,Minister of Transport,Loke Siew Fook,Q11879080,2022-12-02,male,1976-02-05,,Anthony Loke 2019.png,Anthony Loke
