id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q108443113,Mohamed Aslam,male,,,,,,
Q109756059,Sheikh Imran Abdulla,male,,,,,,
Q109756122,Ibrahim Riffath,male,,,,,,
Q109756246,Ibrahim Hassan,male,,,,,,
Q109756274,Aishath Ali,female,,,,,Dr. Aishath Ali at the inauguration of the Principals' Scholarship Scheme in 2022.jpg,
Q109756386,Yumna Maumoon,female,,,,,,
Q109756433,Fayyaz Ismail,male,,,,,,
Q109756501,Aishath Mohamed Didi,female,,,,,,
Q109756534,Abdulla Mausoom,male,,,,,Abdulla Mausoom (cropped).jpg,
Q109756565,Ahmed Naseem,male,,,,,,
Q109756571,Hussain Rasheed Hassan,male,,,,,,
Q109756702,Ali Hashim,male,,,,,,
Q12300379,Abdulla Jihad,male,1964-01-03,11,,,,Abdulla Jihad
Q1255051,Ahmed Shaheed,male,1964-01-27,11,,,"Ahmed Shaheed, Human Rights Council Special Rapporteur on Iran (cropped).jpg",Ahmed Shaheed
Q152381,Mohamed Nasheed,male,1967-05-17,11,,,Mohamed Nasheed by UNDP.jpg,Mohamed Nasheed
Q16146747,Ahmed Mahloof,male,1980-03-26,11,,,Ahmed Mahloof.jpg,Ahmed Mahloof
Q16156922,Ahmed Zahir,male,,,,,,Ahmed Zahir
Q17517052,Mariya Ahmed Didi,female,1963,9,,,Minister Mariya as Minister of Defence.jpg,Mariya Ahmed Didi
Q17722041,Adam Shareef,male,,,,,,Adam Shareef
Q20675816,Ahmed Adeeb,male,1982-04-11,11,,,Adeeb with youths.jpg,Ahmed Adeeb
Q20744775,Ali Waheed,male,1984-07-20,11,,,,Ali Waheed
Q28163511,Abdulla Maseeh Mohamed,male,,,,,,Abdulla Maseeh Mohamed
Q297957,Maumoon Abdul Gayoom,male,1937-12-29,11,,,Maumoon-Abdul-Gayoom.jpg,Maumoon Abdul Gayoom
Q4665893,Abdulla Shahid,male,1962-05-26,11,,,Abdulla Shahid April 2021.png,Abdulla Shahid
Q4665894,Abdulla Shamaal,male,1969-07-05,11,,,Major General Abdulla Shamaal.jpg,Abdulla Shamaal
Q4665896,Abdulla Yameen,male,1959-05-21,11,,,Abdulla Yameen portrait.jpg,Abdulla Yameen
Q4742107,Ameen Faisal,male,1963-01-16,11,,,,Ameen Faisal
Q5437751,Fathimath Dhiyana Saeed,female,1974-11-22,11,,,"Fathimath Dhiyana Saeed in New Delhi on April 27, 2011.jpg",Fathimath Dhiyana Saeed
Q55614252,Ibrahim Mohamed Solih,male,1964-05-04,11,,,Ibrahim Mohamed Solih official portrait.jpg,Ibrahim Mohamed Solih
Q559061,Fathulla Jameel,male,1942-09-05,11,2012-03-01,11,,Fathulla Jameel
Q56752471,Faisal Naseem,male,1973-07-20,11,,,Faisal Naseem portrait.jpg,Faisal Naseem
Q57313656,Aishath Nahula,female,1982-03-12,11,,,Aishath Nahula - 2019 (49164324876) (cropped).jpg,Aishath Nahula
Q57515,Mohammed Waheed Hassan,male,1953-01-03,11,,,VPMaldivesWaheed.jpg,Mohammed Waheed Hassan
Q59660221,Shauna Aminath,female,,,,,,Shauna Aminath
Q6891274,Mohamed Jameel Ahmed,male,1969-10-13,11,,,,Mohamed Jameel Ahmed
Q6891402,Mohamed Nazim,male,,,,,Michele J. Sison with Mohamed Nazim.jpg,Mohamed Nazim
Q6893391,Mohammed Waheed Deen,male,,,,,USS John C. Stennis operations 130327-N-TC437-199.jpg,Mohammed Waheed Deen
Q6908520,Moosa Ali Jaleel,male,1960-06-26,11,,,,Moosa Ali Jaleel
Q7267003,Qasim Ibrahim,male,1951-08-30,11,,,"The Prime Minister, Shri Narendra Modi being received by dignitaries, on his arrival at Maldives, to attend the historic swearing-in ceremony of President-elect, Mr. Ibrahim Mohamed Solih, on November 17, 2018 (2) (cropped).JPG",Qasim Ibrahim
Q89875889,Ibrahim Ameer,male,,,,,IBRAHIMAMEER.png,Ibrahim Ameer
Q91915316,Farahanaz Faizal,female,,,,,Farahanaz Faizal.jpg,
Q96649000,Moosa Zameer,male,,,,,,Moosa Zameer
