catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Mali,President,Assimi Goïta,Q98497406,2021-05-24,male,1983,,"Assimi Goita, August 2021 (cropped).png",Assimi Goïta
Mali,Prime Minister,Choguel Kokalla Maïga,Q2964323,2022-12-05,male,1958-04-02,,Choguel Kokalla Maïga (cropped).jpg,Choguel Kokalla Maïga
Mali,Minister of Communications,Harouna Mamadou Toureh,Q114674184,2021-06-11,male,,,,
Mali,Minister of Culture and Tourism,Andogoly Guindo,Q114674176,2021-06-11,male,,,,
Mali,Minister of Defence,Sadio Camara,Q100152366,2021-06-11,male,1979,,"Ministro de Defensa de Malí, Sadio Camara (cropped).jpg",Sadio Camara
Mali,Minister of Economy and Finance,Alousséni Sanou,Q106580823,2020-10-05,male,1964,,,
Mali,Minister of Education,Sidibé Dédéou Ousmane,Q107710573,2021-06-11,female,1958-12-05,,,
Mali,"Minister of Entrepreneurship, Employment, and Training",Bakary Doumbia,Q114674177,2021-06-11,male,,,,
Mali,Minister of the Environment,Modibo Koné,Q114674189,2021-06-11,male,,,,
Mali,Minister of Foreign Affairs,Abdoulaye Diop,Q2821367,2021-06-11,male,1965-09-17,,Abdoulaye Diop (Malian minister).png,Abdoulaye Diop
Mali,Minister of Health,Diéminatou Sangaré,Q107710432,2021-06-11,female,1966,,,
Mali,Minister of Higher Education and Scientific Research,Amadou Keïta,Q114674175,2021-06-11,male,,,,
Mali,Minister of Industry and Trade,Mahmoud Ould Mohamed,Q114674188,2021-06-11,male,,,,
Mali,Minister of Internal Security and Civil Protection,Daouda Aly Mohammedine,Q114674179,2021-06-11,male,,,,
Mali,Minister of Justice,Mamadou Kassogue,Q113669743,2021-06-11,male,,,,
Mali,Minister of Labour,Diawara Aoua Paul Diallo,Q114674181,2021-06-11,female,,,,
Mali,Minister of Malians Abroad and African Integration,Hamdou Ag Ilène,Q114674183,2021-06-11,male,,,,
Mali,"Minister of Mining, Energy, and Water",Lamine Seydou Traoré,Q114674186,2021-06-11,male,,,,
Mali,Minister of Reconciliation,Ismaël Wagué,Q98491629,2020-10-05,male,,,Comité national pour le salut du Peuple - Ismaël Wagué (cropped).jpg,Ismaël Wagué
Mali,Minister of Religious Affairs,Mahamadou Koné,Q114674187,2021-06-11,male,,,,
Mali,Minister of Rural Development,Modibo Keïta,Q114674242,2021-06-11,male,,,,
Mali,Minister of State Reforms,Ibrahim Ikassa Maïga,Q114674185,2021-06-11,male,,,,
Mali,Minister of Territorial Administration and Decentralisation,Abdoulaye Maïga,Q113577661,2021-06,male,1981-05-12,,,Abdoulaye Maïga (officer)
Mali,Minister of Town Planning and Housing,Bréhima Kamena,Q114674178,2021-06-11,male,,,,
Mali,Minister of Transport and Infrastructure,Dembéle Madina Sissoko,Q114674180,2021-06-11,female,,,,
Mali,"Minister of Women, Children, and the Family",Wadidié Founè Coulibaly,Q114674192,2021-06-11,female,,,,
Mali,Minister of Youth and Sport,Moussa Ag Attaher,Q114674190,2021-06-11,male,,,,
Mali,Minister Delegate to the Prime Minister,Fatoumata Sékou Dicko,Q114674182,2021-06-11,female,,,,
Mali,Minister Delegate to the Minister of Health,Oumarou Diarra,Q114674191,2021-06-11,male,,,,
Mali,Minister Delegate to the Minister of Rural Development,Youba Ba,Q114674193,2021-06-11,male,,,,
