catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Mauritania,President,Mohamed Ould Ghazouani,Q12241106,2019-08-01,male,1956-12-31,,Мухаммед Ульд Газуани 02 (18-02-2022).jpg,Mohamed Ould Ghazouani
Mauritania,Prime Minister,Mohamed Ould Bilal,Q98137599,2020-08-06,male,1963-12-10,,محمد ولد بلال (2022) (cropped).jpg,Mohamed Ould Bilal
Mauritania,Minister of Agriculture,Yahya Ould Ahmed El Waghef,Q1371357,2022-09-06,male,1960-06-30,,Yahya Ould Ahmed El Waghef mauritanie.jpg,Yahya Ould Ahmed El Waghef
Mauritania,"Minister of Culture, Youth, Sports and Relations with Parliament",Mohamed Ould Soueidatt,Q114293085,2022-09-06,,,,,
Mauritania,"Minister of Digital Transformation, Innovation, and Modernization of Administration",Moktar Ahmed Yedali,Q114293087,2022-09-06,,,,,
Mauritania,Minister of Economic Affairs and Promotion of Productive Sectors,Ousmane Mamoudou Kane,Q114293092,2022-04-01,male,,,,
Mauritania,Minister of Employment and Vocational Training,Niang Mamoudou,Q114293091,2022-09-06,male,,,,
Mauritania,Minister of Energy and Oil,Abdessalam Ould Mohamed Saleh,Q114293058,2022-04-01,,,,,
Mauritania,Minister of Environment and Sustainable Development,Lalya Ali Camara,Q114293074,2022-09-06,,,,,
Mauritania,Minister of Equipement and Transports,Nany Ould Chrougha,Q114293090,2022-09-06,male,,,,
Mauritania,Minister of Finance,Isselmou Ould Mohamed M'bady,Q114293072,2022-04-01,,,,,
Mauritania,Minister of Fishing and Maritime Economy,Mohamed Ould Abedeen Ould Ameyev,Q114293084,2022-04-01,,,,,
Mauritania,Minister of Foreign Affairs,Mohamed Salem Ould Merzoug,Q114107123,2022-03-29,male,,,محمد سالم ولد مرزوك.jpg,
Mauritania,Minister of Health,Moktar Ould Dahi,Q114293088,2022-04-01,male,,,,
Mauritania,Minister of Higher Education and Scientific Research,Mohamed Lemine Ould Aboye Ould Cheikh El Hadrami,Q3318670,2022-04-01,male,1963-12-31,,,
Mauritania,"Minister of Housing, Urbanism and Land Planning",Baba Ahmed Ould Sidi Mohamed,Q5715910,2022-04-01,male,1962,,,
Mauritania,Minister of Islamic Affairs and Original Education,Dah Ould Sidi Ould Amar Taleb,Q114293065,2022-04-01,,,,,
Mauritania,Minister of Justice,Mohamed Mahmoud Ould Cheikh Abdoullah Ould Boya,Q114293081,2022-04-01,,,,,
Mauritania,Minister of Livestock,Mohamed Ould Abdalahi Ould Ethmane,Q114293083,2022-09-26,,,,,
Mauritania,Minister of National Defense,Hanana Ould Sidi,Q114293069,2022-04-01,,,,,
Mauritania,Minister of National Education and Reform of Education System,Brahim Vall Ould Mohamed Lemine,Q114293062,2022-09-26,,,,,
Mauritania,Minister of Public Service and Labor,Zeinebou Mint Ahmednah,Q114293094,2022-09-26,,,,,
Mauritania,Minister of Social Action,Khattar Ould Cheibani,Q114293073,2022-04-01,,,,,
Mauritania,"Minister of Trade, Industry, Handicrafts, and Tourism",Lamrabott Ould Bennahi,Q114293076,2022-04-01,,,,,
Mauritania,Minister of Water and Sanitation,Sidi Mohamed Ould Taleb Omar,Q114293093,2022-04-01,male,,,,
Mauritania,Minister of the Interior and Decentralisation,Mohamed Ahmed Ould Mohamed Lemine,Q114293078,2022-04-01,,,,,
Mauritania,Minister Counsellor at the Presidency of the Republic,Coumba Ba,Q114293066,2022-04-01,,,,,
Mauritania,Minister Counsellor at the Presidency of the Republic,Naha Mint Mouknass,Q12194248,2022-04-01,female,1969-03-10,,Naha Mint Mouknass.jpg,Naha Mint Mouknass
Mauritania,Minister Secretary-General of Government,Lam Moctar Alhousseyni,Q114293075,2022-09-26,,,,,
Mauritania,Minister Secretary-General of the Presidency of the Republic,Moulaye Ould Mohamed Laghdaf,Q440509,2022-09-06,male,1957-12-12,,,Moulaye Ould Mohamed Laghdaf
Mauritania,Government Spokesperson,Nany Ould Chrougha,Q114293090,2022-09-06,male,,,,
Mauritania,Commissioner for Food Security,Fatimetou Mint Mahfoudh Ould Khattri,Q114293067,2022-04-01,,,,,
Mauritania,"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",Cheikh Ahmedou Ould Ahmed Salem Ould Sidi,Q114293063,2022-04-01,,,,,
Mauritania,General Representative for National Solidarity and Anti-Exclusion,Mohamed Ali Ould Sidi Mohamed,Q6891015,2022-04-01,male,,,,Mohamed Ali Ould Sidi Mohamed
Mauritania,Governor of the Central Bank of Mauritania,Mohamed Lemine Ould Dhehby,Q114293080,2022-03-31,,,,,
