id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107013878,Soomilduth Bholah,male,,,,,,
Q107021905,Soodesh Satkam Callichurn,male,,,,,,
Q107043086,Maneesh Gobin,male,,,,,,
Q107043473,Teeruthraj Hurdoyal,male,,,,,,
Q109908127,Mahendranuth Sharma Hurreeram,male,,,,,,
Q109908137,Sudheer Maudhoo,male,,,,,,
Q109908150,Darsanand Balgobin,male,,,,,,
Q109908276,Kalpana Devi Koonjoo-Shah,female,,,,,,
Q109908401,Mahen Kumar Seeruttun,male,,,,,,
Q109908412,Jean Christophe Stephan Toussaint,male,,,,,,
Q109908422,Avinash Teeluck,male,,,,,,
Q109908425,Georges Pierre Lesjongard,male,,,,,,
Q109908494,Sooroojdev Phokeer,male,1951,9,,,,Sooroojdev Phokeer
Q109908528,Harvesh Seegolam,male,,8,,,,
Q113517844,Premnath Ramnah,,,,,,,
Q113517845,Ramesh Jeewoolall,,,,,,,
Q138970,Paul Bérenger,male,1945-03-26,11,,,"The former Prime Minister and Leader of MMM, Mr. Paul Berenger calling on the President, Shri Ram Nath Kovind, at Port Louis, in Mauritius on March 13, 2018 (cropped).jpg",Paul Bérenger
Q15733912,Alan Ganoo,male,1951-01-17,11,,,Alan Ganoo.jpg,Alan Ganoo
Q15965859,Ariranga Pillay,male,1945-06-14,11,,,Ariranga Pillay.jpg,Ariranga Pillay
Q16107085,Razack Peeroo,male,1945-04-16,11,,,,Razack Peeroo
Q16628312,Raouf Bundhun,male,1937-01-14,11,,,Raouf.jpg,Raouf Bundhun
Q20022984,Ameenah Gurib-Fakim,female,1959-10-17,11,,,Ameenah Gurib-Fakim.jpg,Ameenah Gurib-Fakim
Q204598,Karl Offmann,male,1940-11-25,11,2022-03-12,11,President Offmann (cropped).jpg,Karl Offmann
Q217566,Anerood Jugnauth,male,1930-03-29,11,2021-06-03,11,President of Mauritius Rt.Hon Sir Anerood Jugnauth (cropped).jpg,Anerood Jugnauth
Q23775991,Ivan Collendavelloo,male,1950-07-16,11,,,,Ivan Collendavelloo
Q27662367,Barlen Vyapoory,male,1945,9,,,Paramasivum Vyapoory - 2019 (cropped).jpg,Barlen Vyapoory
Q3163283,Jaya Krishna Cuttaree,male,1941-06-22,11,2018-12-19,11,Jaya Krishna Cuttaree.jpg,Jaya Krishna Cuttaree
Q323628,Cassam Uteem,male,1941-03-22,11,,,Cassam Uteem (cropped).jpg,Cassam Uteem
Q3275413,Madan Dulloo,male,1949,9,,,Madan Dulloo.jpg,Madan Dulloo
Q3302902,Maya Hanoomanjee,female,1952-10-05,11,,,Mrs. Santi Bai Hanoomanjee 2018 (cropped).jpg,Maya Hanoomanjee
Q3335632,Nando Bodha,male,1954-02-03,11,,,,Nando Bodha
Q3401447,Pravind Jugnauth,male,1961-12-25,11,,,Pravind Jugnauth.jpg,Pravind Jugnauth
Q3561012,Seetanah Lutchmeenaraidoo,male,1944-05-24,11,,,Seetanah Lutchmeenaraidoo.jpg,Vishnu Lutchmeenaraidoo
Q4515105,Angidi Chettiar,male,1928-04-29,11,2010-09-15,11,,Angidi Chettiar
Q4764635,Anil Gayan,male,1948-10-22,11,,,,Anil Gayan
Q57545,Kailash Purryag,male,1947-12-12,11,,,"President of the Republic of Mauritius, Mr. Rajkeswur Purryag (cropped).jpg",Kailash Purryag
Q57836,Navin Ramgoolam,male,1947-07-14,11,,,Navinchandra Ramgoolam portrait 2.jpg,Navin Ramgoolam
Q58260,Arvin Boolell,male,1953-05-26,11,,,"Arvin Boolell, 2013 (cropped).jpg",Arvin Boolell
Q6516249,Leela Devi Dookhun,female,1961-04-16,11,,,,Leela Devi Dookhun
Q692241,Monique Ohsan Bellepeau,female,1942,9,,,,Monique Ohsan Bellepeau
Q76879207,Renganaden Padayachy,male,1971-02-07,11,,,,Renganaden Padayachy
Q77311543,Prithvirajsing Roopun,male,1959-05-24,11,,,Prithvirajsing Roopun.png,Prithvirajsing Roopun
Q77334982,Eddy Boissezon,male,1952-03,10,,,,Eddy Boissézon
Q78788683,Louis Obeegadoo,male,1961-05-18,11,,,,
Q79520762,Eddy Balancy,male,1953-05-06,11,,,,Eddy Balancy
Q80207081,Fazila Jeewa-Daureeawoo,female,,,,,,Fazila Jeewa-Daureeawoo
Q85854164,Mohammad Anwar Husnoo,male,,,,,,
Q98228558,Kavy Ramano,male,,,,,,
Q98915763,Kailesh Jagutpal,male,1969-11-01,11,,,,Kailesh Jagutpal
